# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       5.897320873923e-04      -9.996631421050e-01      -1.906532461556e+00      -1.906729316081e+00      -9.574430864678e-01      -1.825037385683e+00      -1.906013243036e+00       5.711262287183e-01       5.710763012293e-01 
       6.301400513409e-04      -1.001320974411e+00      -2.175736033002e+00      -2.175985794054e+00      -9.520834173578e-01      -2.070312162849e+00      -2.175059808390e+00       5.708221104022e-01       5.707834669031e-01 
       6.734263498083e-04      -9.866422955456e-01      -2.483610154155e+00      -2.483926104971e+00      -9.301924796626e-01      -2.347401511714e+00      -2.482737892414e+00       5.704822201618e-01       5.704540485996e-01 
       7.197851957643e-04      -9.556790082930e-01      -2.835639965629e+00      -2.836038252775e+00      -8.922623531142e-01      -2.659919006194e+00      -2.834524672679e+00       5.701031269844e-01       5.700842368712e-01 
       7.694000560484e-04      -9.104445686873e-01      -3.237871167486e+00      -3.238371171180e+00      -8.409108533253e-01      -3.011597947140e+00      -3.236456687305e+00       5.696813557556e-01       5.696701877215e-01 
       8.224371645858e-04      -8.553453478369e-01      -3.696878673822e+00      -3.697503291634e+00      -7.812937834533e-01      -3.406197217062e+00      -3.695098293093e+00       5.692134526130e-01       5.692081378323e-01 
       8.790388005590e-04      -7.972194632354e-01      -4.219705738152e+00      -4.220481546171e+00      -7.210728335189e-01      -3.847388656539e+00      -4.217480488094e+00       5.686960469383e-01       5.686945270038e-01 
       9.393168607785e-04      -7.446994257135e-01      -4.813772152438e+00      -4.814729361045e+00      -6.696464914940e-01      -4.338634309184e+00      -4.811008607972e+00       5.681259172503e-01       5.681261249195e-01 
       1.003347333412e-03      -7.067021506151e-01      -5.486753302072e+00      -5.487925447979e+00      -6.364485896624e-01      -4.883065897668e+00      -5.483340678080e+00       5.675000573528e-01       5.675001417529e-01 
       1.071166270046e-03      -6.901049798954e-01      -6.246435658860e+00      -6.247859025279e+00      -6.284054645257e-01      -5.483381411544e+00      -6.242242106095e+00       5.668157515225e-01       5.668143108199e-01 
       1.142767736947e-03      -6.970997799342e-01      -7.100557861797e+00      -7.102270617563e+00      -6.471121969741e-01      -6.141773296586e+00      -7.095426056310e+00       5.660706691863e-01       5.660669357661e-01 
       1.218104013123e-03      -7.232025414384e-01      -8.056648961520e+00      -8.058690104993e+00      -6.867955819930e-01      -6.859898660388e+00      -8.050391491969e+00       5.652629902582e-01       5.652569079631e-01 
       1.297088030040e-03      -7.571490831159e-01      -9.121876102759e+00      -9.124284325779e+00      -7.343733187537e-01      -7.638894199168e+00      -9.114271565105e+00       5.643915508656e-01       5.643836997791e-01 
       1.379597773116e-03      -7.835898147103e-01      -1.030290021570e+01      -1.030571293197e+01      -7.725375728937e-01      -8.479420715773e+00      -1.029369128921e+01       5.634553068880e-01       5.634466713731e-01 
       1.465482147216e-03      -7.884377694603e-01      -1.160577963407e+01      -1.160903229337e+01      -7.856208053249e-01      -9.381741566097e+00      -1.159467408337e+01       5.624541455180e-01       5.624457766296e-01 
       1.554567688694e-03      -7.651778017363e-01      -1.303594694344e+01      -1.303967257487e+01      -7.663471653782e-01      -1.034582971592e+01      -1.302262160543e+01       5.613909568696e-01       5.613836294944e-01 
       1.646665496857e-03      -7.191748752893e-01      -1.459810906449e+01      -1.460233889754e+01      -7.203039651573e-01      -1.137137951197e+01      -1.458221678028e+01       5.602680408162e-01       5.602620235932e-01 
       1.741577841598e-03      -6.670872363462e-01      -1.629626600796e+01      -1.630103040095e+01      -6.651088585884e-01      -1.245783898490e+01      -1.627744266383e+01       5.590883469647e-01       5.590833710796e-01 
       1.839104046123e-03      -6.303534880119e-01      -1.813373067885e+01      -1.813906099663e+01      -6.233678563875e-01      -1.360438340805e+01      -1.811160056323e+01       5.578551859539e-01       5.578506236742e-01 
       1.939045405158e-03      -6.249591588152e-01      -2.011316834531e+01      -2.011909913290e+01      -6.119234395899e-01      -1.480985247679e+01      -2.008734571827e+01       5.565719610744e-01       5.565671351153e-01 
       2.041209047508e-03      -6.524705964939e-01      -2.223664843176e+01      -2.224322009223e+01      -6.327439722007e-01      -1.607266815926e+01      -2.220673577506e+01       5.552419851956e-01       5.552364708518e-01 
       2.145410768168e-03      -6.977583598740e-01      -2.450570315021e+01      -2.451296458836e+01      -6.709865742545e-01      -1.739075656612e+01      -2.447128795704e+01       5.538684105502e-01       5.538621959238e-01 
       2.251476932713e-03      -7.358026477342e-01      -2.692138756896e+01      -2.692939869299e+01      -7.023804464505e-01      -1.876149783557e+01      -2.688204086115e+01       5.524542498517e-01       5.524476899147e-01 
       2.359245598051e-03      -7.448168436185e-01      -2.948434202333e+01      -2.949317515784e+01      -7.066540494616e-01      -2.018172532130e+01      -2.943962020953e+01       5.510025022760e-01       5.509961051206e-01 
       2.468567006640e-03      -7.185449351340e-01      -3.219484450193e+01      -3.220458575952e+01      -6.794368752445e-01      -2.164777679811e+01      -3.214429545393e+01       5.495161326540e-01       5.495102979304e-01 
       2.579303604901e-03      -6.701793611815e-01      -3.505286570517e+01      -3.506361474825e+01      -6.351385920161e-01      -2.315560419639e+01      -3.499603507180e+01       5.479981097930e-01       5.479929554782e-01 
       2.691329719073e-03      -6.248660125618e-01      -3.805811702476e+01      -3.806998550216e+01      -5.983690319618e-01      -2.470092262035e+01      -3.799455126622e+01       5.464513332848e-01       5.464466895708e-01 
       2.804530999458e-03      -6.047322170945e-01      -4.121008989979e+01      -4.122319993935e+01      -5.886760054155e-01      -2.627937715284e+01      -4.113933472581e+01       5.448785093949e-01       5.448740624948e-01 
       2.918803721038e-03      -6.155944603625e-01      -4.450808954892e+01      -4.452257046804e+01      -6.081768330986e-01      -2.788670557913e+01      -4.442968280993e+01       5.432820501990e-01       5.432775387179e-01 
       3.034054007417e-03      -6.439146584668e-01      -4.795127424461e+01      -4.796726021419e+01      -6.402872808115e-01      -2.951888434081e+01      -4.786473903612e+01       5.416642015511e-01       5.416595497945e-01 
       3.150197027005e-03      -6.662589965978e-01      -5.153866751021e+01      -5.155629413829e+01      -6.607202541636e-01      -3.117221736862e+01      -5.144350800256e+01       5.400269212228e-01       5.400222430876e-01 
       3.267156195714e-03      -6.652073648786e-01      -5.526919446387e+01      -5.528859696762e+01      -6.536594794413e-01      -3.284339865474e+01      -5.516489870594e+01       5.383721405243e-01       5.383676308053e-01 
       3.384862409045e-03      -6.410939409814e-01      -5.914168733624e+01      -5.916299871666e+01      -6.222434916340e-01      -3.452950967884e+01      -5.902773410528e+01       5.367016616055e-01       5.366974560999e-01 
       3.503253317780e-03      -6.114748682777e-01      -6.315491160231e+01      -6.317826275362e+01      -5.861084557561e-01      -3.622799531566e+01      -6.303077845701e+01       5.350172713484e-01       5.350133658645e-01 
       3.622272655202e-03      -5.985191667463e-01      -6.730756350824e+01      -6.733308334051e+01      -5.675998670343e-01      -3.793659892782e+01      -6.717273018533e+01       5.333205535426e-01       5.333168244426e-01 
       3.741869619321e-03      -6.129796231034e-01      -7.159830119596e+01      -7.162611846449e+01      -5.762341959537e-01      -3.965330862078e+01      -7.145224847172e+01       5.316130285735e-01       5.316093285173e-01 
       3.861998310469e-03      -6.459897894014e-01      -7.602573035089e+01      -7.605597686328e+01      -6.023066336522e-01      -4.137628020362e+01      -7.586793692960e+01       5.298959546208e-01       5.298922124054e-01 
       3.982617222655e-03      -6.746529421661e-01      -8.058842934438e+01      -8.062124275103e+01      -6.241468496328e-01      -4.310379462244e+01      -8.041837002549e+01       5.281704927968e-01       5.281667514334e-01 
       4.103688785824e-03      -6.776840972937e-01      -8.528494076687e+01      -8.532046762528e+01      -6.237632241511e-01      -4.483422274127e+01      -8.510209016374e+01       5.264376536851e-01       5.264340274633e-01 
       4.225178955423e-03      -6.501375798626e-01      -9.011380570057e+01      -9.015220587382e+01      -6.006063280547e-01      -4.656616768687e+01      -8.991764867954e+01       5.246985303626e-01       5.246951045545e-01 
       4.347056845410e-03      -6.067933712048e-01      -9.507351911221e+01      -9.511496715481e+01      -5.753185638114e-01      -4.828982438965e+01      -9.486352094511e+01       5.229538578748e-01       5.229510668980e-01 
       4.469294400732e-03      -5.717962193757e-01      -1.001625905688e+02      -1.002072786886e+02      -5.694078347577e-01      -4.999396510025e+01      -9.993819615695e+01       5.212043228395e-01       5.212021193696e-01 
       4.591866105418e-03      -5.619674433519e-01      -1.053794990887e+02      -1.054276367207e+02      -5.890255609061e-01      -5.167843551353e+01      -1.051401803779e+02       5.194507474625e-01       5.194489297007e-01 
       4.714748722622e-03      -5.757616177177e-01      -1.107227399368e+02      -1.107745540464e+02      -6.220031452004e-01      -5.334241148862e+01      -1.104679866705e+02       5.176939581277e-01       5.176923766984e-01 
       4.837921063216e-03      -5.956418897018e-01      -1.161908004638e+02      -1.162465347393e+02      -6.469764927676e-01      -5.498477561557e+01      -1.159201126564e+02       5.159346376344e-01       5.159332329126e-01 
       4.961363779812e-03      -6.017800947332e-01      -1.217821705976e+02      -1.218420817223e+02      -6.484811243782e-01      -5.660413730732e+01      -1.214950533579e+02       5.141733939839e-01       5.141721790129e-01 
       5.085059183374e-03      -5.867869340493e-01      -1.274953279444e+02      -1.275596854146e+02      -6.276311482562e-01      -5.819886212693e+01      -1.271912946057e+02       5.124107387038e-01       5.124097445620e-01 
       5.208991079894e-03      -5.605107674259e-01      -1.333287899619e+02      -1.333978709403e+02      -6.008998968833e-01      -5.976715581880e+01      -1.330073628319e+02       5.106472917911e-01       5.106465154029e-01 
       5.333144624820e-03      -5.415497629611e-01      -1.392810401064e+02      -1.393551279572e+02      -5.879600186917e-01      -6.130706791424e+01      -1.389417517341e+02       5.088834804943e-01       5.088828691364e-01 
       5.457506193240e-03      -5.421905550617e-01      -1.453506231821e+02      -1.454300057050e+02      -5.974540060958e-01      -6.281659885429e+01      -1.449930121550e+02       5.071198864405e-01       5.071193642324e-01 
       5.582063263989e-03      -5.584105605875e-01      -1.515360392723e+02      -1.516210063368e+02      -6.210648848925e-01      -6.429371899429e+01      -1.511596426381e+02       5.053568357541e-01       5.053563475950e-01 
       5.706804316112e-03      -5.727743095576e-01      -1.578358204021e+02      -1.579266650160e+02      -6.401047418162e-01      -6.573645377487e+01      -1.574401699979e+02       5.035947009175e-01       5.035942395235e-01 
       5.831718736247e-03      -5.681551068975e-01      -1.642485265176e+02      -1.643455442507e+02      -6.395610858692e-01      -6.714295426598e+01      -1.638331490262e+02       5.018338834955e-01       5.018334806541e-01 
       5.956796735702e-03      -5.417750498602e-01      -1.707726364435e+02      -1.708761288050e+02      -6.209758090755e-01      -6.851151546960e+01      -1.703370622713e+02       5.000745169980e-01       5.000742093845e-01 
       6.082029276119e-03      -5.064473366112e-01      -1.774067784456e+02      -1.775170545486e+02      -6.049260097269e-01      -6.984073876512e+01      -1.769505492329e+02       4.983171918744e-01       4.983169925951e-01 
       6.207408002756e-03      -5.079652972829e-01      -1.841495516986e+02      -1.842669288989e+02      -5.341481913504e-01      -7.112961789630e+01      -1.836722340164e+02       4.965618924002e-01       4.965616862429e-01 
       6.332925184544e-03      -5.167508933283e-01      -1.909993388510e+02      -1.911241513931e+02      -5.057455293505e-01      -7.237728633997e+01      -1.905005074482e+02       4.948089620798e-01       4.948087512935e-01 
       6.458573660149e-03      -5.157868350807e-01      -1.979547305747e+02      -1.980873257402e+02      -5.022391938186e-01      -7.358347350749e+01      -1.974339707538e+02       4.930586713404e-01       4.930584831783e-01 
       6.584346789399e-03      -5.136453379873e-01      -2.050144091912e+02      -2.051551533048e+02      -5.008158876010e-01      -7.474853173397e+01      -2.044713332188e+02       4.913113938798e-01       4.913112274530e-01 
       6.710238409469e-03      -5.118930041637e-01      -2.121768749532e+02      -2.123261542026e+02      -4.989354959594e-01      -7.587326103754e+01      -2.116111233320e+02       4.895671148417e-01       4.895669660940e-01 
       6.836242795317e-03      -5.100350964974e-01      -2.194407497061e+02      -2.195989702495e+02      -4.971571271837e-01      -7.695910026734e+01      -2.188519927707e+02       4.878261161380e-01       4.878259826323e-01 
       6.962354623925e-03      -5.081995912749e-01      -2.268046259125e+02      -2.269722131510e+02      -4.953696709787e-01      -7.800808674328e+01      -2.261925663199e+02       4.860885642670e-01       4.860884437395e-01 
       7.088568941917e-03      -5.063699058248e-01      -2.342670247388e+02      -2.344444215876e+02      -4.935850186767e-01      -7.902284170628e+01      -2.336313989507e+02       4.843544480621e-01       4.843543386439e-01 
       7.214881136221e-03      -5.045444163917e-01      -2.418266699909e+02      -2.420143370720e+02      -4.918051995187e-01      -8.000664195425e+01      -2.411672504232e+02       4.826241561223e-01       4.826240562478e-01 
       7.341286907449e-03      -5.027237135647e-01      -2.494821035415e+02      -2.496805148043e+02      -4.900298921737e-01      -8.096323486982e+01      -2.487986979049e+02       4.808976597436e-01       4.808975680943e-01 
       7.467782245706e-03      -5.009079297662e-01      -2.572320238365e+02      -2.574416613882e+02      -4.882594489268e-01      -8.189688721135e+01      -2.565244723805e+02       4.791752088087e-01       4.791751242721e-01 
       7.594363408599e-03      -4.990973315795e-01      -2.650751138586e+02      -2.652964729953e+02      -4.864940756629e-01      -8.281223848026e+01      -2.643432953649e+02       4.774569908267e-01       4.774569124609e-01 
       7.721026901212e-03      -4.972919920040e-01      -2.730100111557e+02      -2.732435902994e+02      -4.847338575727e-01      -8.371418597613e+01      -2.722538358700e+02       4.757430642743e-01       4.757429912799e-01 
       7.847769457842e-03      -4.954919007399e-01      -2.810353132480e+02      -2.812816214182e+02      -4.829787817584e-01      -8.460777421874e+01      -2.802547300220e+02       4.740334113033e-01       4.740333429993e-01 
