# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.044373177903e-05      -2.114171776193e+00      -1.585629341530e+00      -1.585629341522e+00      -2.114171757401e+00      -1.586111787009e+00      -1.585723446688e+00       4.717846791281e-01       4.716966111741e-01 
       2.330927604903e-05      -2.119356055816e+00      -1.589529598128e+00      -1.589529598889e+00      -2.119355562262e+00      -1.590012972745e+00      -1.589623931449e+00       4.717896608748e-01       4.717018450413e-01 
       3.621997333865e-05      -2.128528850489e+00      -1.596470467284e+00      -1.596470471867e+00      -2.128525930347e+00      -1.596954582485e+00      -1.596565195335e+00       4.717857894774e-01       4.716984262492e-01 
       4.921047778906e-05      -2.141673860220e+00      -1.606507365412e+00      -1.606507381592e+00      -2.141663896815e+00      -1.606990503858e+00      -1.606602639339e+00       4.717752691611e-01       4.716885575118e-01 
       6.231601551152e-05      -2.158759006854e+00      -1.619715062783e+00      -1.619715104578e+00      -2.158733534227e+00      -1.620193318718e+00      -1.619811010489e+00       4.717650551465e-01       4.716791923575e-01 
       7.557269794060e-05      -2.179792683731e+00      -1.636236137433e+00      -1.636236227612e+00      -2.179737984791e+00      -1.636702484936e+00      -1.636332856720e+00       4.717510331754e-01       4.716662239269e-01 
       8.901784518625e-05      -2.204754541904e+00      -1.656231840478e+00      -1.656232013825e+00      -2.204650172206e+00      -1.656675186504e+00      -1.656329389256e+00       4.717354710144e-01       4.716519232176e-01 
       1.026903236755e-04      -2.233618262773e+00      -1.679907418865e+00      -1.679907724935e+00      -2.233435331509e+00      -1.680311331183e+00      -1.680005803022e+00       4.717195210415e-01       4.716374481615e-01 
       1.166309024082e-04      -2.266362695532e+00      -1.707528558827e+00      -1.707529066476e+00      -2.266062075143e+00      -1.707869984271e+00      -1.707627720623e+00       4.716989802890e-01       4.716186021863e-01 
       1.308826321835e-04      -2.302915841544e+00      -1.739392994811e+00      -1.739393797489e+00      -2.302445727411e+00      -1.739640024540e+00      -1.739492792795e+00       4.716755558789e-01       4.715971005864e-01 
