# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.045004358465e-05      -1.706227128702e+00      -1.279670520936e+00      -1.279670520956e+00      -1.706227119824e+00      -1.279920997173e+00       5.736417960756e-01       5.732911746689e-01 
       2.333031646003e-05      -1.709419906406e+00      -1.282069226197e+00      -1.282069226695e+00      -1.709419690542e+00      -1.282320169071e+00       5.736336520679e-01       5.732836221569e-01 
       3.625588232309e-05      -1.714998177076e+00      -1.286273572701e+00      -1.286273575874e+00      -1.714996917555e+00      -1.286525324360e+00       5.736331341915e-01       5.732841430136e-01 
       4.926151484748e-05      -1.723041882939e+00      -1.292366744788e+00      -1.292366756152e+00      -1.723037572378e+00      -1.292619647997e+00       5.736250743130e-01       5.732775989277e-01 
       6.238256282054e-05      -1.733568651038e+00      -1.300395794921e+00      -1.300395824322e+00      -1.733557579292e+00      -1.300650178417e+00       5.736131620480e-01       5.732676697452e-01 
       7.565526530539e-05      -1.746632869767e+00      -1.310448601952e+00      -1.310448666227e+00      -1.746608970213e+00      -1.310704780146e+00       5.735945081349e-01       5.732514889433e-01 
       8.911707687974e-05      -1.762285768273e+00      -1.322625816883e+00      -1.322625941710e+00      -1.762239864264e+00      -1.322884081887e+00       5.735695410023e-01       5.732295062216e-01 
       1.028070072767e-04      -1.780561648494e+00      -1.337029509948e+00      -1.337029730238e+00      -1.780480840706e+00      -1.337290120987e+00       5.735466960758e-01       5.732101518937e-01 
       1.167659797859e-04      -1.801538641583e+00      -1.353819270258e+00      -1.353819635865e+00      -1.801405052817e+00      -1.354082450151e+00       5.735240631059e-01       5.731915564729e-01 
       1.310372128073e-04      -1.825334382664e+00      -1.373209125199e+00      -1.373209702915e+00      -1.825124087353e+00      -1.373475053022e+00       5.734916233877e-01       5.731637330368e-01 
       1.456666289547e-04      -1.852004013071e+00      -1.395396607860e+00      -1.395397489255e+00      -1.851685561657e+00      -1.395665398201e+00       5.734563894859e-01       5.731337225812e-01 
       1.607032960497e-04      -1.881632482600e+00      -1.420638792703e+00      -1.420640093851e+00      -1.881165365934e+00      -1.420910477603e+00       5.734184298694e-01       5.731016245224e-01 
       1.761999041630e-04      -1.914309304822e+00      -1.449247742166e+00      -1.449249628426e+00      -1.913641483168e+00      -1.449522261851e+00       5.733737864554e-01       5.730635296351e-01 
       1.922132824965e-04      -1.950096017521e+00      -1.481571176142e+00      -1.481573824020e+00      -1.949161987244e+00      -1.481848308976e+00       5.733237260237e-01       5.730207465958e-01 
       2.088049592348e-04      -1.989048336313e+00      -1.518020609493e+00      -1.518024278924e+00      -1.987765841408e+00      -1.518299991370e+00       5.732679576090e-01       5.729730225792e-01 
       2.260417664219e-04      -2.031181897503e+00      -1.559078706022e+00      -1.559083717592e+00      -2.029448085707e+00      -1.559359744887e+00       5.732040620189e-01       5.729180008175e-01 
       2.439964902501e-04      -2.076468262333e+00      -1.605296025238e+00      -1.605302802540e+00      -2.074155810797e+00      -1.605577870191e+00       5.731341068057e-01       5.728577919222e-01 
       2.627485646742e-04      -2.124827335474e+00      -1.657327052572e+00      -1.657336115440e+00      -2.121779546911e+00      -1.657608495614e+00       5.730554065966e-01       5.727897638318e-01 
       2.823848027128e-04      -2.176083683011e+00      -1.715926140328e+00      -1.715938159437e+00      -2.172108412456e+00      -1.716205546402e+00       5.729674231487e-01       5.727134304139e-01 
       3.030001548299e-04      -2.229958831696e+00      -1.781973331403e+00      -1.781989151723e+00      -2.224822393565e+00      -1.782248522437e+00       5.728694368758e-01       5.726281150312e-01 
       3.246984770434e-04      -2.286025991689e+00      -1.856496977235e+00      -1.856517675783e+00      -2.279445656574e+00      -1.856765104947e+00       5.727591338439e-01       5.725315438755e-01 
       3.475932824573e-04      -2.343675380710e+00      -1.940689747466e+00      -1.940716692003e+00      -2.335312263052e+00      -1.940947137301e+00       5.726363657361e-01       5.724235909328e-01 
       3.718084384017e-04      -2.402073427973e+00      -2.035942494462e+00      -2.035977415332e+00      -2.391525270678e+00      -2.036184456767e+00       5.725006354799e-01       5.723037623273e-01 
       3.974787570252e-04      -2.460121696312e+00      -2.143883367802e+00      -2.143928422250e+00      -2.446916572778e+00      -2.144103955772e+00       5.723477052730e-01       5.721677989123e-01 
       4.247504100439e-04      -2.516405814426e+00      -2.266396336336e+00      -2.266454436349e+00      -2.499998401664e+00      -2.266588286346e+00       5.721768918380e-01       5.720149540012e-01 
       4.537810789379e-04      -2.569184500252e+00      -2.405674700588e+00      -2.405749256089e+00      -2.548959525140e+00      -2.405828842467e+00       5.719863147047e-01       5.718432324373e-01 
       4.847397315668e-04      -2.616375550059e+00      -2.564258948565e+00      -2.564354349204e+00      -2.591656569569e+00      -2.564364210656e+00       5.717739299635e-01       5.716504126147e-01 
       5.178058974855e-04      -2.655601497439e+00      -2.745083849477e+00      -2.745205926512e+00      -2.625673456313e+00      -2.745127249346e+00       5.715368656670e-01       5.714333677563e-01 
       5.531683013105e-04      -2.684309150927e+00      -2.951524974336e+00      -2.951680694965e+00      -2.648461120663e+00      -2.951491008782e+00       5.712727480826e-01       5.711893782446e-01 
       5.910227121702e-04      -2.699976670672e+00      -3.187442096934e+00      -3.187640014626e+00      -2.657566628491e+00      -3.187312872061e+00       5.709791913364e-01       5.709156155081e-01 
       6.315688849627e-04      -2.700445095678e+00      -3.457218153028e+00      -3.457469509486e+00      -2.650995014573e+00      -3.456974243897e+00       5.706529066773e-01       5.706082538314e-01 
       6.750065137884e-04      -2.684393660863e+00      -3.765791033167e+00      -3.766109036652e+00      -2.627716927532e+00      -3.765411071037e+00       5.702917058725e-01       5.702644889667e-01 
       7.215301959429e-04      -2.651895920628e+00      -4.118664490637e+00      -4.119065546678e+00      -2.588251650710e+00      -4.118126726196e+00       5.698924915221e-01       5.698805678080e-01 
       7.713235180257e-04      -2.605017063367e+00      -4.521906762017e+00      -4.522410060163e+00      -2.535276046294e+00      -4.521189594145e+00       5.694533952020e-01       5.694539880936e-01 
       8.245525173319e-04      -2.548229975436e+00      -4.982114453911e+00      -4.982742881809e+00      -2.474018450971e+00      -4.981198339961e+00       5.689715548662e-01       5.689813653082e-01 
       8.813589235833e-04      -2.488436903598e+00      -5.506344267049e+00      -5.507126200920e+00      -2.412210657721e+00      -5.505214409594e+00       5.684429309345e-01       5.684583540779e-01 
       9.418537183337e-04      -2.434347248019e+00      -6.102050033083e+00      -6.103014553446e+00      -2.359325326781e+00      -6.100693150227e+00       5.678680497928e-01       5.678854962061e-01 
       1.006111625261e-03      -2.394880710915e+00      -6.776924993187e+00      -6.778105096548e+00      -2.324790630838e+00      -6.775331953521e+00       5.672434743549e-01       5.672597675666e-01 
       1.074167130425e-03      -2.376841519431e+00      -7.538766385235e+00      -7.540200034330e+00      -2.315444289765e+00      -7.536931677752e+00       5.665660940061e-01       5.665788744123e-01 
