# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.053275999661e-05      -1.600784183269e+00      -1.200588158388e+00      -1.200588158385e+00      -1.600784182811e+00      -1.201290216633e+00       5.998720445196e-01       5.987870670005e-01 
       2.353367978878e-05      -1.601875410032e+00      -1.201407054327e+00      -1.201407054340e+00      -1.601875399620e+00      -1.202109590324e+00       5.998709400298e-01       5.987865664913e-01 
       3.658113420873e-05      -1.603814941506e+00      -1.202864120314e+00      -1.202864120513e+00      -1.603814879848e+00      -1.203567502814e+00       5.998667025926e-01       5.987834161210e-01 
       4.971088695145e-05      -1.606623458958e+00      -1.204977659265e+00      -1.204977660176e+00      -1.606623245725e+00      -1.205682261447e+00       5.998576374238e-01       5.987759548604e-01 
       6.295930386358e-05      -1.610306483738e+00      -1.207755852852e+00      -1.207755855442e+00      -1.610305932564e+00      -1.208462043541e+00       5.998478015510e-01       5.987682213018e-01 
       7.636368325188e-05      -1.614914520432e+00      -1.211242316120e+00      -1.211242322159e+00      -1.614913322701e+00      -1.211950476814e+00       5.998319196128e-01       5.987549777898e-01 
       8.996259693745e-05      -1.620474383194e+00      -1.215464900496e+00      -1.215464912881e+00      -1.620472068436e+00      -1.216175411710e+00       5.998126267223e-01       5.987388983651e-01 
       1.037962466700e-04      -1.627026953191e+00      -1.220463109100e+00      -1.220463130969e+00      -1.627022863420e+00      -1.221176353835e+00       5.997916627130e-01       5.987216763828e-01 
       1.179068405510e-04      -1.634624353493e+00      -1.226288737207e+00      -1.226288773195e+00      -1.634617567904e+00      -1.227005100114e+00       5.997697743769e-01       5.987041417584e-01 
       1.323389941499e-04      -1.643346127124e+00      -1.233017441718e+00      -1.233017498691e+00      -1.643335390404e+00      -1.233737315905e+00       5.997433213084e-01       5.986827119536e-01 
       1.471401609971e-04      -1.653260335012e+00      -1.240719800413e+00      -1.240719887574e+00      -1.653243984005e+00      -1.241443576252e+00       5.997144211107e-01       5.986595368578e-01 
       1.623610970701e-04      -1.664459294789e+00      -1.249490065327e+00      -1.249490193660e+00      -1.664435159634e+00      -1.250218130937e+00       5.996818399202e-01       5.986334406461e-01 
       1.780563636773e-04      -1.677051781345e+00      -1.259441814897e+00      -1.259441998001e+00      -1.677017043431e+00      -1.260174551709e+00       5.996430818899e-01       5.986020041339e-01 
       1.942848727279e-04      -1.691141655138e+00      -1.270693734819e+00      -1.270693998411e+00      -1.691092629964e+00      -1.271431507859e+00       5.995999013927e-01       5.985670708414e-01 
       2.111104776259e-04      -1.706863290966e+00      -1.283395710059e+00      -1.283396075318e+00      -1.706795355746e+00      -1.284138852640e+00       5.995507891090e-01       5.985271858315e-01 
       2.286026118135e-04      -1.724352916222e+00      -1.297716481373e+00      -1.297716973479e+00      -1.724260168224e+00      -1.298465272228e+00       5.994956638242e-01       5.984824065366e-01 
