# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.045004358465e-05      -1.317129351251e-03      -9.883609224469e-04      -9.883609554133e-04      -1.317108952610e-03      -9.884575034553e-04       4.719067415923e-01       4.717614200210e-01 
       2.333031646003e-05      -6.551353640712e-03      -4.926270239946e-03      -4.926271058685e-03      -6.550847734500e-03      -4.926748139830e-03       4.719032785489e-01       4.717583957633e-01 
       3.625588232309e-05      -1.576336400374e-02      -1.189678668305e-02      -1.189679145546e-02      -1.576042236398e-02      -1.189792593308e-02       4.718971246854e-01       4.717530161986e-01 
       4.926151484748e-05      -2.894671118007e-02      -2.196251604685e-02      -2.196253229886e-02      -2.893672937247e-02      -2.196457976160e-02       4.718882400516e-01       4.717452442594e-01 
       6.238256282054e-05      -4.609655202419e-02      -3.521963893260e-02      -3.521968068369e-02      -4.607102923353e-02      -3.522286557651e-02       4.718765632886e-01       4.717350232290e-01 
       7.565526530539e-05      -6.720687375042e-02      -5.179963245288e-02      -5.179972265134e-02      -6.715205880879e-02      -5.180422702592e-02       4.718619918001e-01       4.717222568771e-01 
       8.911707687974e-05      -9.226671524325e-02      -7.187171419634e-02      -7.187188757631e-02      -9.216209999330e-02      -7.187783793012e-02       4.718444079164e-01       4.717068355009e-01 
       1.028070072767e-04      -1.212551981648e-01      -9.564606636541e-02      -9.564637286380e-02      -1.210718222250e-01      -9.565382446368e-02       4.718236521023e-01       4.716886089914e-01 
       1.167659797859e-04      -1.541351671102e-01      -1.233779351326e-01      -1.233784440503e-01      -1.538336873899e-01      -1.233873620406e-01       4.717995381249e-01       4.716674018924e-01 
       1.310372128073e-04      -1.908451546268e-01      -1.553727119430e-01      -1.553735170675e-01      -1.903736400621e-01      -1.553837535443e-01       4.717718461582e-01       4.716430062599e-01 
       1.456666289547e-04      -2.312893476259e-01      -1.919921389532e-01      -1.919933648955e-01      -2.305807699070e-01      -1.920046309866e-01       4.717403190318e-01       4.716151775901e-01 
       1.607032960497e-04      -2.753252009711e-01      -2.336618113261e-01      -2.336636214107e-01      -2.742945958860e-01      -2.336754532349e-01       4.717046595615e-01       4.715836317474e-01 
       1.761999041630e-04      -3.227483443886e-01      -2.808801835185e-01      -2.808827897127e-01      -3.212896017776e-01      -2.808945069002e-01       4.716645247940e-01       4.715480386713e-01 
       1.922132824965e-04      -3.732743465086e-01      -3.342293322228e-01      -3.342330075797e-01      -3.712566807437e-01      -3.342436628483e-01       4.716195235755e-01       4.715080191836e-01 
       2.088049592348e-04      -4.265170098408e-01      -3.943877682159e-01      -3.943928624022e-01      -4.237812190710e-01      -3.944011804924e-01       4.715692090984e-01       4.714631365608e-01 
       2.260417664219e-04      -4.819632980826e-01      -4.621456493101e-01      -4.621526085670e-01      -4.783177548950e-01      -4.621569126274e-01       4.715130757273e-01       4.714128921390e-01 
       2.439964902501e-04      -5.389446263961e-01      -5.384227911113e-01      -5.384321831514e-01      -5.341614763310e-01      -5.384303066623e-01       4.714505501709e-01       4.713567148316e-01 
       2.627485646742e-04      -5.966054676062e-01      -6.242899432651e-01      -6.243024885161e-01      -5.904174493737e-01      -6.242916708353e-01       4.713809873818e-01       4.712939550052e-01 
       2.823848027128e-04      -6.538713280845e-01      -7.209938376007e-01      -7.210104497181e-01      -6.459693913172e-01      -7.209872135259e-01       4.713036616352e-01       4.712238730410e-01 
       3.030001548299e-04      -7.094178608857e-01      -8.299865837150e-01      -8.300084195948e-01      -6.994512730001e-01      -8.299684294605e-01       4.712177612366e-01       4.711456309514e-01 
       3.246984770434e-04      -7.616474058233e-01      -9.529599986601e-01      -9.529885223317e-01      -7.492271033600e-01      -9.529264245471e-01       4.711223811384e-01       4.710582813730e-01 
       3.475932824573e-04      -8.086797443620e-01      -1.091885470164e+00      -1.091922533154e+00      -7.933871074185e-01      -1.091831779244e+00       4.710165155622e-01       4.709607560483e-01 
