# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.713235180257e-04      -9.511664532255e-01      -1.355430089180e+00      -1.355626594697e+00      -9.240647563988e-01      -1.354986754405e+00       5.948016645051e-01       5.944949433524e-01 
       8.245525173319e-04      -9.912612414485e-01      -1.547882337964e+00      -1.548130845562e+00      -9.582028962825e-01      -1.547255857414e+00       5.942875928760e-01       5.940326869325e-01 
       8.813589235833e-04      -1.020049024421e+00      -1.767123346523e+00      -1.767436147984e+00      -9.801191600164e-01      -1.766267670582e+00       5.937186934771e-01       5.935154308778e-01 
       9.418537183337e-04      -1.035143452250e+00      -2.016265314433e+00      -2.016656841549e+00      -9.874572816677e-01      -2.015128152978e+00       5.930924759493e-01       5.929393208180e-01 
       1.006111625261e-03      -1.034898762235e+00      -2.298525736029e+00      -2.299012590709e+00      -9.786779131590e-01      -2.297049561413e+00       5.924072196496e-01       5.923010977085e-01 
       1.074167130425e-03      -1.018900728475e+00      -2.617166569990e+00      -2.617767411757e+00      -9.535624798330e-01      -2.615290316707e+00       5.916620658672e-01       5.915982966505e-01 
       1.146012510269e-03      -9.884220298042e-01      -2.975427633172e+00      -2.976162904846e+00      -9.136688649857e-01      -2.973089026724e+00       5.908570320553e-01       5.908294112764e-01 
       1.221598126720e-03      -9.467137153974e-01      -3.376459110885e+00      -3.377350611479e+00      -8.626043266869e-01      -3.373597383049e+00       5.899929305249e-01       5.899939932665e-01 
       1.300834972303e-03      -8.989858622734e-01      -3.823258452874e+00      -3.824328750166e+00      -8.059692356719e-01      -3.819816963687e+00       5.890712071198e-01       5.890926782510e-01 
       1.383599172303e-03      -8.519677703211e-01      -4.318609976770e+00      -4.319881861284e+00      -7.508567592255e-01      -4.314538278696e+00       5.880928867846e-01       5.881262902979e-01 
       1.469737934874e-03      -8.130067504733e-01      -4.865048400560e+00      -4.866544294896e+00      -7.048848670044e-01      -4.860302956569e+00       5.870594534271e-01       5.870968154469e-01 
       1.559076324033e-03      -7.888020974632e-01      -5.464846099638e+00      -5.466587616166e+00      -6.748683754664e-01      -5.459389251160e+00       5.859741920066e-01       5.860087402196e-01 
       1.651424225675e-03      -7.839594074505e-01      -6.119974500782e+00      -6.121982349843e+00      -6.653553001147e-01      -6.113771656943e+00       5.848387524912e-01       5.848655024999e-01 
       1.746582964833e-03      -7.997714526761e-01      -6.832110929462e+00      -6.834405520739e+00      -6.774025405755e-01      -6.825126540120e+00       5.836545003683e-01       5.836706208087e-01 
       1.844351177716e-03      -8.335096317830e-01      -7.602647083241e+00      -7.605249304094e+00      -7.079544948548e-01      -7.594839761995e+00       5.824225741491e-01       5.824274592852e-01 
       1.944529704896e-03      -8.785841002914e-01      -8.432704594181e+00      -8.435637299629e+00      -7.501077333124e-01      -8.424023116790e+00       5.811440327093e-01       5.811390590094e-01 
       2.046925420592e-03      -9.256399751404e-01      -9.323155804363e+00      -9.326445592454e+00      -7.943415676862e-01      -9.313537005982e+00       5.798200406991e-01       5.798080460708e-01 
       2.151354028418e-03      -9.644588238726e-01      -1.027464758579e+01      -1.027832673059e+01      -8.305270411649e-01      -1.026401720974e+01       5.784520665856e-01       5.784366462600e-01 
       2.257641930146e-03      -9.862694544703e-01      -1.128762597510e+01      -1.129173440930e+01      -8.502756041851e-01      -1.127590293938e+01       5.770420116319e-01       5.770267617062e-01 
       2.365627314046e-03      -9.858888789715e-01      -1.236236216232e+01      -1.236694887719e+01      -8.490243493428e-01      -1.234946540300e+01       5.755923069251e-01       5.755801567442e-01 
       2.475160621195e-03      -9.631189355439e-01      -1.349897368116e+01      -1.350409789347e+01      -8.272777389076e-01      -1.348483072354e+01       5.741057449720e-01       5.740984964412e-01 
       2.586104540896e-03      -9.229414481009e-01      -1.469744979516e+01      -1.470318122647e+01      -7.905851154371e-01      -1.468200469419e+01       5.725854869506e-01       5.725836335923e-01 
       2.698333668320e-03      -8.743922595823e-01      -1.595766906948e+01      -1.596408736675e+01      -7.481942987472e-01      -1.594088781601e+01       5.710347425221e-01       5.710375763393e-01 
       2.811733934794e-03      -8.283067829506e-01      -1.727941839509e+01      -1.728661224318e+01      -7.106535000898e-01      -1.726129064126e+01       5.694566274607e-01       5.694625837360e-01 
       2.926201898116e-03      -7.945610824647e-01      -1.866241071021e+01      -1.867047603620e+01      -6.870357048578e-01      -1.864294664583e+01       5.678540410189e-01       5.678611774709e-01 
       3.041643959153e-03      -7.794506839161e-01      -2.010629237669e+01      -2.011533068287e+01      -6.824694771524e-01      -2.008551594991e+01       5.662293782422e-01       5.662358728652e-01 
       3.157975553037e-03      -7.840444272196e-01      -2.161065774139e+01      -2.162077433646e+01      -6.967698401789e-01      -2.158859752390e+01       5.645846347353e-01       5.645891850210e-01 
       3.275120348689e-03      -8.039609920310e-01      -2.317506281131e+01      -2.318636516015e+01      -7.245568824529e-01      -2.315174282089e+01       5.629215643252e-01       5.629236077844e-01 
       3.393009479076e-03      -8.306265494862e-01      -2.479902189340e+01      -2.481161884710e+01      -7.568087799960e-01      -2.477445518615e+01       5.612415088588e-01       5.612412374590e-01 
       3.511580816066e-03      -8.537618862722e-01      -2.648202320613e+01      -2.649602476025e+01      -7.834891737461e-01      -2.645620962372e+01       5.595457760515e-01       5.595439643937e-01 
       3.630778297517e-03      -8.643408297678e-01      -2.822352627378e+01      -2.823904407436e+01      -7.964409718163e-01      -2.819645512604e+01       5.578355758478e-01       5.578332890439e-01 
