# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       5.897320873923e-04      -2.328595319045e+00      -1.995443966005e+00      -1.995518137498e+00      -2.317266572503e+00      -1.962901012781e+00      -1.995646974882e+00       5.963800257284e-01       5.960188215955e-01 
       6.301400513409e-04      -2.387521551289e+00      -2.107269818875e+00      -2.107364667748e+00      -2.373331925217e+00      -2.061781003560e+00      -2.107385046886e+00       5.960735670914e-01       5.957388805159e-01 
       6.734263498083e-04      -2.444890299374e+00      -2.235176727342e+00      -2.235297493233e+00      -2.427208480380e+00      -2.172895294458e+00      -2.235175663464e+00       5.957281890717e-01       5.954218255884e-01 
       7.197851957643e-04      -2.498663158297e+00      -2.381449306977e+00      -2.381603454904e+00      -2.476759357053e+00      -2.297445251017e+00      -2.381296601036e+00       5.953388540504e-01       5.950624037300e-01 
       7.694000560484e-04      -2.546437337973e+00      -2.548606157962e+00      -2.548801225529e+00      -2.519497915718e+00      -2.436602567778e+00      -2.548256087206e+00       5.949030936534e-01       5.946577964651e-01 
       8.224371645858e-04      -2.585555309507e+00      -2.739389512094e+00      -2.739635802376e+00      -2.552696537831e+00      -2.591452594643e+00      -2.738786410458e+00       5.944150699304e-01       5.942016761359e-01 
       8.790388005590e-04      -2.613316741374e+00      -2.956733332685e+00      -2.957044409237e+00      -2.573625834352e+00      -2.762927612594e+00      -2.955810226655e+00       5.938704406131e-01       5.936890564782e-01 
       9.393168607785e-04      -2.627329327289e+00      -3.203734014945e+00      -3.204123275290e+00      -2.579925531148e+00      -2.951755027699e+00      -3.202408192954e+00       5.932678586851e-01       5.931177978740e-01 
       1.003347333412e-03      -2.625921755458e+00      -3.483595866408e+00      -3.484078927341e+00      -2.570025794962e+00      -3.158389233290e+00      -3.481769673889e+00       5.926036353306e-01       5.924833137391e-01 
       1.071166270046e-03      -2.608628060062e+00      -3.799565482630e+00      -3.800162242725e+00      -2.543653275522e+00      -3.382966458102e+00      -3.797127417429e+00       5.918744551510e-01       5.917813411246e-01 
       1.142767736947e-03      -2.576671182807e+00      -4.154878901932e+00      -4.155608210096e+00      -2.502312740659e+00      -3.625304645562e+00      -4.151699206245e+00       5.910807853420e-01       5.910114293687e-01 
       1.218104013123e-03      -2.533223497847e+00      -4.552676717868e+00      -4.553561572519e+00      -2.449530171428e+00      -3.884896703334e+00      -4.548612472740e+00       5.902207846952e-01       5.901709624277e-01 
       1.297088030040e-03      -2.483429253643e+00      -4.995956728317e+00      -4.997019907787e+00      -2.390837931716e+00      -4.160983473213e+00      -4.990849521415e+00       5.892954679884e-01       5.892604260281e-01 
       1.379597773116e-03      -2.433968709461e+00      -5.487511257395e+00      -5.488772585168e+00      -2.333278334936e+00      -4.452632543868e+00      -5.481186546409e+00       5.883063740971e-01       5.882811742888e-01 
       1.465482147216e-03      -2.392149454813e+00      -6.029860181887e+00      -6.031346077944e+00      -2.284435451027e+00      -4.758821350230e+00      -6.022136932303e+00       5.872521535649e-01       5.872320792754e-01 
       1.554567688694e-03      -2.364708281057e+00      -6.625295365558e+00      -6.627026245405e+00      -2.251162900593e+00      -5.078614941033e+00      -6.615976611142e+00       5.861380481507e-01       5.861190114228e-01 
       1.646665496857e-03      -2.356323089296e+00      -7.275791192284e+00      -7.277787313086e+00      -2.238084745479e+00      -5.411216795218e+00      -7.264669516305e+00       5.849661289970e-01       5.849450236013e-01 
       1.741577841598e-03      -2.368397092537e+00      -7.983027429823e+00      -7.985309506473e+00      -2.246375811594e+00      -5.756066097310e+00      -7.969885317075e+00       5.837386406675e-01       5.837135724528e-01 
       1.839104046123e-03      -2.398339256570e+00      -8.748402595847e+00      -8.750990743387e+00      -2.273119550577e+00      -6.112877314760e+00      -8.733010861943e+00       5.824582323652e-01       5.824285845950e-01 
       1.939045405158e-03      -2.439686846564e+00      -9.573040819853e+00      -9.575957125523e+00      -2.311536864260e+00      -6.481618049164e+00      -9.555160057290e+00       5.811272970694e-01       5.810936135308e-01 
       2.041209047508e-03      -2.483169694868e+00      -1.045780441421e+01      -1.046107888357e+01      -2.352185646632e+00      -6.862441473928e+00      -1.043718982021e+01       5.797479392141e-01       5.797116433464e-01 
       2.145410768168e-03      -2.518585526432e+00      -1.140336410034e+01      -1.140702476985e+01      -2.384946506567e+00      -7.255613752220e+00      -1.137975792106e+01       5.783239734153e-01       5.782869751483e-01 
       2.251476932713e-03      -2.537100865193e+00      -1.241015435868e+01      -1.241424126091e+01      -2.401358622457e+00      -7.661340236430e+00      -1.238329981631e+01       5.768573339385e-01       5.768215959954e-01 
