# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.873729679868e-04      -2.629116638179e+00      -3.501457367772e+00      -3.501677822373e+00      -2.590056444689e+00      -3.500863627534e+00       5.878414957505e-01       5.877792275152e-01 
       8.421998673975e-04      -2.608455503476e+00      -3.827801429721e+00      -3.828077055543e+00      -2.563017696105e+00      -3.826947338496e+00       5.873227997316e-01       5.872865954754e-01 
       9.007093182056e-04      -2.572139746082e+00      -4.199748314477e+00      -4.200089621556e+00      -2.520144473740e+00      -4.198588902193e+00       5.867546602304e-01       5.867407177012e-01 
       9.630041199809e-04      -2.523558236722e+00      -4.622528746392e+00      -4.622948023049e+00      -2.465140072680e+00      -4.621019040194e+00       5.861348301718e-01       5.861384188063e-01 
       1.029147955289e-03      -2.468615826789e+00      -5.101520473110e+00      -5.102032005058e+00      -2.404274540085e+00      -5.099617780311e+00       5.854607631224e-01       5.854764956312e-01 
       1.099161863790e-03      -2.415348693819e+00      -5.642145000027e+00      -5.642763618830e+00      -2.345958169112e+00      -5.639809518533e+00       5.847323424746e-01       5.847546013966e-01 
       1.173022954524e-03      -2.372784814601e+00      -6.249757594867e+00      -6.250496901728e+00      -2.299523585703e+00      -6.246951817524e+00       5.839494714905e-01       5.839729571731e-01 
       1.250665538385e-03      -2.349038732518e+00      -6.929514480088e+00      -6.930390932283e+00      -2.273255261706e+00      -6.926205969156e+00       5.831101369589e-01       5.831304560605e-01 
       1.331984558723e-03      -2.349020665919e+00      -7.686302880209e+00      -7.687330541581e+00      -2.272042798400e+00      -7.682457190056e+00       5.822150143574e-01       5.822291938736e-01 
       1.416840917448e-03      -2.372318064104e+00      -8.524603397217e+00      -8.525796725506e+00      -2.295272799585e+00      -8.520182046901e+00       5.812617040632e-01       5.812685036913e-01 
       1.505068096713e-03      -2.412225398068e+00      -9.448501533096e+00      -9.449873914384e+00      -2.335940673558e+00      -9.443455555975e+00       5.802514487452e-01       5.802513695037e-01 
       1.596479395556e-03      -2.456572437433e+00      -1.046157713054e+01      -1.046314816920e+01      -2.381610072325e+00      -1.045584888710e+01       5.791831751871e-01       5.791781271154e-01 
       1.690875136461e-03      -2.490659959560e+00      -1.156696011479e+01      -1.156874314894e+01      -2.417506253235e+00      -1.156047099562e+01       5.780601307020e-01       5.780528158318e-01 
       1.788049319934e-03      -2.501705168585e+00      -1.276723799990e+01      -1.276925546387e+01      -2.431041463676e+00      -1.275990365139e+01       5.768821657465e-01       5.768753179415e-01 
       1.887795373344e-03      -2.483402715698e+00      -1.406455484087e+01      -1.406683256465e+01      -2.416338481441e+00      -1.405628651206e+01       5.756518750038e-01       5.756475570966e-01 
       1.989910812467e-03      -2.438793362054e+00      -1.546059873550e+01      -1.546317152426e+01      -2.376891418810e+00      -1.545131660307e+01       5.743717978630e-01       5.743709468730e-01 
       2.094200780843e-03      -2.379965005667e+00      -1.695667730828e+01      -1.695958340401e+01      -2.324971313249e+00      -1.694631398038e+01       5.730454338498e-01       5.730477729688e-01 
