# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE               BB               phiphi           Tphi             Ephi             
 883 2.8975993474e-10 2.7748560351e-12 7.0875580434e-12 1.4369297156e-14 1.0327696527e-14 3.2975639054e-15 1.3080252328e-16
 884 2.8816322728e-10 2.8112608691e-12 7.2047804476e-12 1.4369351717e-14 1.0284171938e-14 3.2711206586e-15 1.3415986809e-16
 885 2.8655719477e-10 2.8480423230e-12 7.3178526105e-12 1.4369186424e-14 1.0240872256e-14 3.2447075493e-15 1.3747300158e-16
 886 2.8494232588e-10 2.8851853854e-12 7.4267359799e-12 1.4368803494e-14 1.0197795909e-14 3.2183262704e-15 1.4074031623e-16
 887 2.8331911384e-10 2.9226748967e-12 7.5313918611e-12 1.4368205172e-14 1.0154941296e-14 3.1919785246e-15 1.4396019248e-16
 888 2.8168805646e-10 2.9604955483e-12 7.6317814163e-12 1.4367393730e-14 1.0112306778e-14 3.1656660239e-15 1.4713099871e-16
 889 2.8004965614e-10 2.9986318827e-12 7.7278656647e-12 1.4366371468e-14 1.0069890687e-14 3.1393904902e-15 1.5025109115e-16
 890 2.7840441989e-10 3.0370682925e-12 7.8196054823e-12 1.4365140712e-14 1.0027691321e-14 3.1131536549e-15 1.5331881392e-16
 891 2.7675285932e-10 3.0757890203e-12 7.9069616014e-12 1.4363703816e-14 9.9857069443e-15 3.0869572592e-15 1.5633249897e-16
 892 2.7509547611e-10 3.1147783092e-12 7.9899011471e-12 1.4362063294e-14 9.9439359360e-15 3.0608031159e-15 1.5929100848e-16
 893 2.7343271810e-10 3.1540208566e-12 8.0684173641e-12 1.4360222207e-14 9.9023772292e-15 3.0346932963e-15 1.6219537197e-16
 894 2.7176502250e-10 3.1935013671e-12 8.1425102125e-12 1.4358183781e-14 9.8610298778e-15 3.0086299465e-15 1.6504717591e-16
 895 2.7009283040e-10 3.2332044013e-12 8.2121798609e-12 1.4355951277e-14 9.8198929098e-15 2.9826152258e-15 1.6784802379e-16
 896 2.6841658680e-10 3.2731143761e-12 8.2774266878e-12 1.4353527990e-14 9.7789653279e-15 2.9566513065e-15 1.7059953617e-16
 897 2.6673674057e-10 3.3132155639e-12 8.3382512818e-12 1.4350917253e-14 9.7382461089e-15 2.9307403740e-15 1.7330335069e-16
 898 2.6505374451e-10 3.3534920920e-12 8.3946544427e-12 1.4348122431e-14 9.6977342039e-15 2.9048846272e-15 1.7596112218e-16
 899 2.6336805533e-10 3.3939279428e-12 8.4466371823e-12 1.4345146926e-14 9.6574285378e-15 2.8790862778e-15 1.7857452265e-16
 900 2.6168013368e-10 3.4345069529e-12 8.4942007251e-12 1.4341994177e-14 9.6173280097e-15 2.8533475510e-15 1.8114524140e-16
 901 2.5999044415e-10 3.4752128129e-12 8.5373465089e-12 1.4338667654e-14 9.5774314926e-15 2.8276706852e-15 1.8367498501e-16
 902 2.5829945529e-10 3.5160290668e-12 8.5760761860e-12 1.4335170868e-14 9.5377378332e-15 2.8020579320e-15 1.8616547744e-16
 903 2.5660763961e-10 3.5569391120e-12 8.6103916236e-12 1.4331507362e-14 9.4982458519e-15 2.7765115566e-15 1.8861846005e-16
 904 2.5491547359e-10 3.5979261984e-12 8.6402949048e-12 1.4327680717e-14 9.4589543429e-15 2.7510338372e-15 1.9103569165e-16
 905 2.5322343770e-10 3.6389734282e-12 8.6657883293e-12 1.4323694549e-14 9.4198620737e-15 2.7256270657e-15 1.9341894860e-16
 906 2.5153201640e-10 3.6800637558e-12 8.6868744141e-12 1.4319552511e-14 9.3809677853e-15 2.7002935471e-15 1.9577002476e-16
 907 2.4984169818e-10 3.7211799869e-12 8.7035558945e-12 1.4315258290e-14 9.3422701921e-15 2.6750356003e-15 1.9809073166e-16
 908 2.4815297551e-10 3.7623047783e-12 8.7158357248e-12 1.4310815612e-14 9.3037679818e-15 2.6498555571e-15 2.0038289846e-16
 909 2.4646634493e-10 3.8034206376e-12 8.7237170788e-12 1.4306228237e-14 9.2654598152e-15 2.6247557633e-15 2.0264837204e-16
 910 2.4478230699e-10 3.8445099226e-12 8.7272033510e-12 1.4301499964e-14 9.2273443260e-15 2.5997385779e-15 2.0488901702e-16
 911 2.4310136629e-10 3.8855548410e-12 8.7262981573e-12 1.4296634627e-14 9.1894201211e-15 2.5748063736e-15 2.0710671588e-16
 912 2.4142403150e-10 3.9265374502e-12 8.7210053354e-12 1.4291636097e-14 9.1516857803e-15 2.5499615366e-15 2.0930336892e-16
 913 2.3975081536e-10 3.9674396565e-12 8.7113289461e-12 1.4286508281e-14 9.1141398560e-15 2.5252064669e-15 2.1148089436e-16
 914 2.3808223470e-10 4.0082432148e-12 8.6972732737e-12 1.4281255124e-14 9.0767808735e-15 2.5005435780e-15 2.1364122841e-16
 915 2.3641878328e-10 4.0489304408e-12 8.6788478681e-12 1.4275880585e-14 9.0396074546e-15 2.4759747767e-15 2.1578578503e-16
 916 2.3476084991e-10 4.0894863606e-12 8.6560827564e-12 1.4270388564e-14 9.0026186919e-15 2.4514998935e-15 2.1791382593e-16
 917 2.3310879908e-10 4.1298965941e-12 8.6290134754e-12 1.4264782977e-14 8.9658137806e-15 2.4271182272e-15 2.2002406467e-16
 918 2.3146299795e-10 4.1701466462e-12 8.5976760542e-12 1.4259067773e-14 8.9291918943e-15 2.4028290629e-15 2.2211520456e-16
 919 2.2982381641e-10 4.2102219057e-12 8.5621070155e-12 1.4253246938e-14 8.8927521860e-15 2.3786316721e-15 2.2418593856e-16
 920 2.2819162702e-10 4.2501076457e-12 8.5223433775e-12 1.4247324496e-14 8.8564937868e-15 2.3545253126e-15 2.2623494931e-16
 921 2.2656680510e-10 4.2897890228e-12 8.4784226548e-12 1.4241304504e-14 8.8204158071e-15 2.3305092283e-15 2.2826090911e-16
 922 2.2494972865e-10 4.3292510769e-12 8.4303828606e-12 1.4235191059e-14 8.7845173352e-15 2.3065826494e-15 2.3026247982e-16
 923 2.2334077843e-10 4.3684787311e-12 8.3782625077e-12 1.4228988293e-14 8.7487974385e-15 2.2827447921e-15 2.3223831291e-16
 924 2.2174033791e-10 4.4074567910e-12 8.3221006100e-12 1.4222700373e-14 8.7132551625e-15 2.2589948588e-15 2.3418704941e-16
 925 2.2014879334e-10 4.4461699451e-12 8.2619366843e-12 1.4216331506e-14 8.6778895310e-15 2.2353320380e-15 2.3610731985e-16
 926 2.1856653367e-10 4.4846027635e-12 8.1978107519e-12 1.4209885934e-14 8.6426995464e-15 2.2117555040e-15 2.3799774430e-16
 927 2.1699395064e-10 4.5227396986e-12 8.1297633394e-12 1.4203367936e-14 8.6076841889e-15 2.1882644172e-15 2.3985693225e-16
 928 2.1543143874e-10 4.5605650841e-12 8.0578354809e-12 1.4196781829e-14 8.5728424173e-15 2.1648579238e-15 2.4168348269e-16
 929 2.1387939524e-10 4.5980631350e-12 7.9820687195e-12 1.4190131965e-14 8.5381731679e-15 2.1415351560e-15 2.4347598399e-16
 930 2.1233822017e-10 4.6352179473e-12 7.9025051082e-12 1.4183422735e-14 8.5036753556e-15 2.1182952318e-15 2.4523301392e-16
 931 2.1080831635e-10 4.6720134974e-12 7.8191872119e-12 1.4176658568e-14 8.4693478726e-15 2.0951372548e-15 2.4695313963e-16
 932 2.0929008940e-10 4.7084336422e-12 7.7321581089e-12 1.4169843928e-14 8.4351895895e-15 2.0720603144e-15 2.4863491759e-16
 933 2.0778394772e-10 4.7444621187e-12 7.6414613923e-12 1.4162983319e-14 8.4011993543e-15 2.0490634857e-15 2.5027689360e-16
 934 2.0629030253e-10 4.7800825435e-12 7.5471411713e-12 1.4156081282e-14 8.3673759928e-15 2.0261458296e-15 2.5187760271e-16
 935 2.0480956783e-10 4.8152784126e-12 7.4492420730e-12 1.4149142395e-14 8.3337183084e-15 2.0033063922e-15 2.5343556926e-16
 936 2.0334216048e-10 4.8500331012e-12 7.3478092439e-12 1.4142171273e-14 8.3002250821e-15 1.9805442054e-15 2.5494930681e-16
 937 2.0188850012e-10 4.8843298631e-12 7.2428883511e-12 1.4135172571e-14 8.2668950723e-15 1.9578582867e-15 2.5641731810e-16
 938 2.0044897494e-10 4.9181529909e-12 7.1345278968e-12 1.4128150799e-14 8.2337271187e-15 1.9352481954e-15 2.5783836670e-16
 939 1.9902383813e-10 4.9514913149e-12 7.0227861970e-12 1.4121109766e-14 8.2007204559e-15 1.9127157127e-15 2.5921229638e-16
 940 1.9761330979e-10 4.9843347575e-12 6.9077245139e-12 1.4114053129e-14 8.1678744042e-15 1.8902631877e-15 2.6053922441e-16
 941 1.9621761110e-10 5.0166731788e-12 6.7894047558e-12 1.4106984575e-14 8.1351882667e-15 1.8678929837e-15 2.6181927112e-16
 942 1.9483696436e-10 5.0484963754e-12 6.6678894779e-12 1.4099907818e-14 8.1026613287e-15 1.8456074776e-15 2.6305255987e-16
 943 1.9347159295e-10 5.0797940810e-12 6.5432418852e-12 1.4092826602e-14 8.0702928581e-15 1.8234090606e-15 2.6423921711e-16
 944 1.9212172132e-10 5.1105559663e-12 6.4155258332e-12 1.4085744701e-14 8.0380821050e-15 1.8013001377e-15 2.6537937234e-16
 945 1.9078757505e-10 5.1407716381e-12 6.2848058307e-12 1.4078665915e-14 8.0060283020e-15 1.7792831279e-15 2.6647315818e-16
 946 1.8946938081e-10 5.1704306400e-12 6.1511470410e-12 1.4071594078e-14 7.9741306636e-15 1.7573604643e-15 2.6752071030e-16
 947 1.8816736636e-10 5.1995224518e-12 6.0146152840e-12 1.4064533049e-14 7.9423883867e-15 1.7355345942e-15 2.6852216752e-16
 948 1.8688176057e-10 5.2280364895e-12 5.8752770378e-12 1.4057486719e-14 7.9108006502e-15 1.7138079788e-15 2.6947767173e-16
 949 1.8561279342e-10 5.2559621049e-12 5.7331994409e-12 1.4050459007e-14 7.8793666150e-15 1.6921830937e-15 2.7038736797e-16
 950 1.8436069598e-10 5.2832885860e-12 5.5884502935e-12 1.4043453864e-14 7.8480854240e-15 1.6706624284e-15 2.7125140443e-16
 951 1.8312570045e-10 5.3100051562e-12 5.4410980598e-12 1.4036475268e-14 7.8169562022e-15 1.6492484868e-15 2.7206993241e-16
 952 1.8190804014e-10 5.3361009748e-12 5.2912118696e-12 1.4029527227e-14 7.7859780561e-15 1.6279437870e-15 2.7284310638e-16
 953 1.8070794945e-10 5.3615651362e-12 5.1388615199e-12 1.4022613780e-14 7.7551500744e-15 1.6067508613e-15 2.7357108397e-16
 954 1.7952566392e-10 5.3863866703e-12 4.9841174772e-12 1.4015738995e-14 7.7244713273e-15 1.5856722563e-15 2.7425402600e-16
 955 1.7836142020e-10 5.4105545421e-12 4.8270508790e-12 1.4008906971e-14 7.6939408666e-15 1.5647105331e-15 2.7489209646e-16
 956 1.7721545606e-10 5.4340576515e-12 4.6677335357e-12 1.4002121836e-14 7.6635577260e-15 1.5438682669e-15 2.7548546253e-16
 957 1.7608801038e-10 5.4568848335e-12 4.5062379323e-12 1.3995387748e-14 7.6333209206e-15 1.5231480474e-15 2.7603429461e-16
 958 1.7497932319e-10 5.4790248574e-12 4.3426372304e-12 1.3988708895e-14 7.6032294469e-15 1.5025524788e-15 2.7653876630e-16
 959 1.7388963562e-10 5.5004664274e-12 4.1770052700e-12 1.3982089497e-14 7.5732822831e-15 1.4820841796e-15 2.7699905444e-16
 960 1.7281918994e-10 5.5211981819e-12 4.0094165712e-12 1.3975533801e-14 7.5434783886e-15 1.4617457829e-15 2.7741533907e-16
 961 1.7176822955e-10 5.5412086938e-12 3.8399463361e-12 1.3969046088e-14 7.5138167042e-15 1.4415399362e-15 2.7778780351e-16
 962 1.7073696514e-10 5.5604878108e-12 3.6686696711e-12 1.3962630370e-14 7.4842962401e-15 1.4214688182e-15 2.7811675764e-16
 963 1.6972547254e-10 5.5790307003e-12 3.4956592375e-12 1.3956289490e-14 7.4549163421e-15 1.4015326798e-15 2.7840300992e-16
 964 1.6873379334e-10 5.5968338660e-12 3.3209875688e-12 1.3950026013e-14 7.4256764296e-15 1.3817312811e-15 2.7864750105e-16
 965 1.6776196855e-10 5.6138938123e-12 3.1447278487e-12 1.3943842519e-14 7.3965759071e-15 1.3620643726e-15 2.7885118117e-16
 966 1.6681003865e-10 5.6302070444e-12 2.9669539131e-12 1.3937741603e-14 7.3676141649e-15 1.3425316951e-15 2.7901500994e-16
 967 1.6587804354e-10 5.6457700686e-12 2.7877402512e-12 1.3931725875e-14 7.3387905785e-15 1.3231329796e-15 2.7913995650e-16
 968 1.6496602255e-10 5.6605793919e-12 2.6071620077e-12 1.3925797964e-14 7.3101045090e-15 1.3038679478e-15 2.7922699955e-16
 969 1.6407401447e-10 5.6746315223e-12 2.4252949846e-12 1.3919960511e-14 7.2815553026e-15 1.2847363114e-15 2.7927712733e-16
 970 1.6320205749e-10 5.6879229689e-12 2.2422156425e-12 1.3914216176e-14 7.2531422908e-15 1.2657377724e-15 2.7929133769e-16
 971 1.6235018925e-10 5.7004502417e-12 2.0580011025e-12 1.3908567632e-14 7.2248647903e-15 1.2468720230e-15 2.7927063808e-16
 972 1.6151844682e-10 5.7122098517e-12 1.8727291481e-12 1.3903017572e-14 7.1967221032e-15 1.2281387458e-15 2.7921604560e-16
 973 1.6070686669e-10 5.7231983110e-12 1.6864782267e-12 1.3897568700e-14 7.1687135164e-15 1.2095376132e-15 2.7912858701e-16
 974 1.5991548476e-10 5.7334121327e-12 1.4993274514e-12 1.3892223741e-14 7.1408383020e-15 1.1910682880e-15 2.7900929877e-16
 975 1.5914433637e-10 5.7428478313e-12 1.3113566026e-12 1.3886985433e-14 7.1130957172e-15 1.1727304229e-15 2.7885922704e-16
 976 1.5839345626e-10 5.7515019222e-12 1.1226461300e-12 1.3881856530e-14 7.0854850041e-15 1.1545236610e-15 2.7867942775e-16
 977 1.5766287862e-10 5.7593709218e-12 9.3327715397e-13 1.3876839804e-14 7.0580053898e-15 1.1364476349e-15 2.7847096658e-16
 978 1.5695263700e-10 5.7664513482e-12 7.4333146756e-13 1.3871938041e-14 7.0306560862e-15 1.1185019676e-15 2.7823491902e-16
 979 1.5626276442e-10 5.7727397202e-12 5.5289153803e-13 1.3867154046e-14 7.0034362899e-15 1.1006862720e-15 2.7797237037e-16
 980 1.5559329326e-10 5.7782325583e-12 3.6204050865e-13 1.3862490638e-14 6.9763451827e-15 1.0830001508e-15 2.7768441578e-16
 981 1.5494425533e-10 5.7829263840e-12 1.7086220040e-13 1.3857950652e-14 6.9493819307e-15 1.0654431966e-15 2.7737216029e-16
 982 1.5431568185e-10 5.7868177201e-12 -2.0558886322e-14 1.3853536942e-14 6.9225456849e-15 1.0480149921e-15 2.7703671881e-16
 983 1.5370760344e-10 5.7899030910e-12 -2.1213756996e-13 1.3849252375e-14 6.8958355810e-15 1.0307151094e-15 2.7667921621e-16
 984 1.5312005010e-10 5.7921790222e-12 -4.0378798609e-13 1.3845099837e-14 6.8692507392e-15 1.0135431109e-15 2.7630078727e-16
 985 1.5255305125e-10 5.7936420408e-12 -5.9542358573e-13 1.3841082228e-14 6.8427902641e-15 9.9649854839e-16 2.7590257680e-16
 986 1.5200660997e-10 5.7942898799e-12 -7.8696097603e-13 1.3837202123e-14 6.8164533191e-15 9.7958108056e-16 2.7548558353e-16
 987 1.5148062546e-10 5.7941251126e-12 -9.7833150830e-13 1.3833460726e-14 6.7902393486e-15 9.6279082581e-16 2.7505018954e-16
 988 1.5097496940e-10 5.7931515722e-12 -1.1694698583e-12 1.3829858901e-14 6.7641478588e-15 9.4612801447e-16 2.7459662398e-16
 989 1.5048951165e-10 5.7913731522e-12 -1.3603101979e-12 1.3826397507e-14 6.7381783441e-15 9.2959287220e-16 2.7412511843e-16
 990 1.5002412016e-10 5.7887938066e-12 -1.5507861943e-12 1.3823077407e-14 6.7123302865e-15 9.1318562001e-16 2.7363590695e-16
 991 1.4957866102e-10 5.7854175504e-12 -1.7408310082e-12 1.3819899462e-14 6.6866031559e-15 8.9690647423e-16 2.7312922606e-16
 992 1.4915299842e-10 5.7812484593e-12 -1.9303772928e-12 1.3816864533e-14 6.6609964103e-15 8.8075564649e-16 2.7260531477e-16
 993 1.4874699467e-10 5.7762906699e-12 -2.1193571929e-12 1.3813973480e-14 6.6355094954e-15 8.6473334368e-16 2.7206441457e-16
 994 1.4836051020e-10 5.7705483805e-12 -2.3077023431e-12 1.3811227163e-14 6.6101418444e-15 8.4883976798e-16 2.7150676943e-16
 995 1.4799340352e-10 5.7640258504e-12 -2.4953438668e-12 1.3808626442e-14 6.5848928787e-15 8.3307511679e-16 2.7093262583e-16
 996 1.4764553122e-10 5.7567274008e-12 -2.6822123751e-12 1.3806172177e-14 6.5597620070e-15 8.1743958276e-16 2.7034223277e-16
 997 1.4731674802e-10 5.7486574144e-12 -2.8682379652e-12 1.3803865227e-14 6.5347486259e-15 8.0193335374e-16 2.6973584173e-16
 998 1.4700690669e-10 5.7398203362e-12 -3.0533502197e-12 1.3801706451e-14 6.5098521195e-15 7.8655661276e-16 2.6911370672e-16
 999 1.4671585808e-10 5.7302206731e-12 -3.2374782047e-12 1.3799696706e-14 6.4850718594e-15 7.7130953805e-16 2.6847608429e-16
1000 1.4644345112e-10 5.7198629943e-12 -3.4205504691e-12 1.3797836852e-14 6.4604072051e-15 7.5619230296e-16 2.6782323351e-16
1001 1.4618953282e-10 5.7087519317e-12 -3.6024950430e-12 1.3796127745e-14 6.4358575031e-15 7.4120507600e-16 2.6715541597e-16
1002 1.4595394823e-10 5.6968921796e-12 -3.7832394365e-12 1.3794570243e-14 6.4114220877e-15 7.2634802080e-16 2.6647289584e-16
1003 1.4573654045e-10 5.6842884953e-12 -3.9627106390e-12 1.3793165204e-14 6.3871002805e-15 7.1162129608e-16 2.6577593982e-16
1004 1.4553715066e-10 5.6709456992e-12 -4.1408351169e-12 1.3791913483e-14 6.3628913904e-15 6.9702505565e-16 2.6506481716e-16
1005 1.4535561805e-10 5.6568686746e-12 -4.3175388134e-12 1.3790815936e-14 6.3387947140e-15 6.8255944837e-16 2.6433979970e-16
1006 1.4519177989e-10 5.6420623685e-12 -4.4927471467e-12 1.3789873419e-14 6.3148095347e-15 6.6822461818e-16 2.6360116184e-16
1007 1.4504547144e-10 5.6265317913e-12 -4.6663850088e-12 1.3789086788e-14 6.2909351235e-15 6.5402070401e-16 2.6284918055e-16
1008 1.4491652601e-10 5.6102820171e-12 -4.8383767644e-12 1.3788456897e-14 6.2671707386e-15 6.3994783982e-16 2.6208413540e-16
1009 1.4480477495e-10 5.5933181840e-12 -5.0086462495e-12 1.3787984601e-14 6.2435156253e-15 6.2600615456e-16 2.6130630853e-16
1010 1.4471004759e-10 5.5756454941e-12 -5.1771167704e-12 1.3787670753e-14 6.2199690160e-15 6.1219577217e-16 2.6051598470e-16
1011 1.4463215886e-10 5.5572699892e-12 -5.3437169258e-12 1.3787515902e-14 6.1965301937e-15 5.9851700230e-16 2.5971324829e-16
1012 1.4457087173e-10 5.5382008898e-12 -5.5083981693e-12 1.3787519370e-14 6.1731986822e-15 5.8497091577e-16 2.5889737116e-16
1013 1.4452593420e-10 5.5184482901e-12 -5.6711174982e-12 1.3787680163e-14 6.1499740585e-15 5.7155877738e-16 2.5806741597e-16
1014 1.4449709164e-10 5.4980223862e-12 -5.8318316524e-12 1.3787997270e-14 6.1268558897e-15 5.5828185597e-16 2.5722243834e-16
1015 1.4448408687e-10 5.4769334760e-12 -5.9904971141e-12 1.3788469664e-14 6.1038437326e-15 5.4514142433e-16 2.5636148680e-16
1016 1.4448666004e-10 5.4551919598e-12 -6.1470701067e-12 1.3789096304e-14 6.0809371343e-15 5.3213875929e-16 2.5548360284e-16
1017 1.4450454873e-10 5.4328083404e-12 -6.3015065946e-12 1.3789876136e-14 6.0581356316e-15 5.1927514165e-16 2.5458782083e-16
1018 1.4453748787e-10 5.4097932235e-12 -6.4537622828e-12 1.3790808086e-14 6.0354387512e-15 5.0655185626e-16 2.5367316803e-16
1019 1.4458520977e-10 5.3861573178e-12 -6.6037926158e-12 1.3791891070e-14 6.0128460095e-15 4.9397019194e-16 2.5273866457e-16
1020 1.4464744409e-10 5.3619114352e-12 -6.7515527776e-12 1.3793123985e-14 5.9903569131e-15 4.8153144156e-16 2.5178332343e-16
1021 1.4472391786e-10 5.3370664914e-12 -6.8969976908e-12 1.3794505715e-14 5.9679709581e-15 4.6923690199e-16 2.5080615042e-16
1022 1.4481435544e-10 5.3116335059e-12 -7.0400820160e-12 1.3796035125e-14 5.9456876304e-15 4.5708787416e-16 2.4980614419e-16
1023 1.4491847853e-10 5.2856236024e-12 -7.1807601516e-12 1.3797711070e-14 5.9235064056e-15 4.4508566300e-16 2.4878229617e-16
1024 1.4503600620e-10 5.2590480090e-12 -7.3189862328e-12 1.3799532385e-14 5.9014267491e-15 4.3323157748e-16 2.4773359057e-16
1025 1.4516665480e-10 5.2319180583e-12 -7.4547141314e-12 1.3801497892e-14 5.8794481159e-15 4.2152693063e-16 2.4665900438e-16
1026 1.4531013803e-10 5.2042451881e-12 -7.5878974550e-12 1.3803606396e-14 5.8575699505e-15 4.0997303949e-16 2.4555750734e-16
1027 1.4546616688e-10 5.1760409413e-12 -7.7184895465e-12 1.3805856688e-14 5.8357916873e-15 3.9857122519e-16 2.4442806190e-16
1028 1.4563444968e-10 5.1473169663e-12 -7.8464434836e-12 1.3808247541e-14 5.8141127501e-15 3.8732281288e-16 2.4326962326e-16
1029 1.4581469202e-10 5.1180850173e-12 -7.9717120784e-12 1.3810777714e-14 5.7925325521e-15 3.7622913178e-16 2.4208113929e-16
1030 1.4600659681e-10 5.0883569543e-12 -8.0942478762e-12 1.3813445951e-14 5.7710504961e-15 3.6529151518e-16 2.4086155055e-16
1031 1.4620986424e-10 5.0581447438e-12 -8.2140031558e-12 1.3816250979e-14 5.7496659745e-15 3.5451130041e-16 2.3960979026e-16
1032 1.4642419177e-10 5.0274604589e-12 -8.3309299282e-12 1.3819191509e-14 5.7283783691e-15 3.4388982890e-16 2.3832478430e-16
1033 1.4664927413e-10 4.9963162793e-12 -8.4449799366e-12 1.3822266236e-14 5.7071870509e-15 3.3342844615e-16 2.3700545115e-16
1034 1.4688480334e-10 4.9647244920e-12 -8.5561046555e-12 1.3825473841e-14 5.6860913805e-15 3.2312850171e-16 2.3565070194e-16
1035 1.4713046864e-10 4.9326974912e-12 -8.6642552903e-12 1.3828812987e-14 5.6650907078e-15 3.1299134926e-16 2.3425944037e-16
1036 1.4738595990e-10 4.9002479046e-12 -8.7693889950e-12 1.3832282143e-14 5.6441844240e-15 3.0301778777e-16 2.3283103859e-16
1037 1.4765097767e-10 4.8673889723e-12 -8.8714876241e-12 1.3835879045e-14 5.6233721185e-15 2.9320637675e-16 2.3136677207e-16
1038 1.4792522322e-10 4.8341341741e-12 -8.9705392440e-12 1.3839601227e-14 5.6026534244e-15 2.8355509726e-16 2.2986840494e-16
1039 1.4820839521e-10 4.8004971036e-12 -9.0665319388e-12 1.3843446198e-14 5.5820279660e-15 2.7406190852e-16 2.2833771597e-16
1040 1.4850018969e-10 4.7664914691e-12 -9.1594538106e-12 1.3847411441e-14 5.5614953597e-15 2.6472474778e-16 2.2677649862e-16
1041 1.4880030008e-10 4.7321310940e-12 -9.2492929792e-12 1.3851494419e-14 5.5410552132e-15 2.5554153033e-16 2.2518656107e-16
1042 1.4910841714e-10 4.6974299164e-12 -9.3360375826e-12 1.3855692564e-14 5.5207071259e-15 2.4651014940e-16 2.2356972625e-16
1043 1.4942422903e-10 4.6624019901e-12 -9.4196757770e-12 1.3860003290e-14 5.5004506887e-15 2.3762847613e-16 2.2192783187e-16
1044 1.4974742123e-10 4.6270614845e-12 -9.5001957371e-12 1.3864423981e-14 5.4802854838e-15 2.2889435945e-16 2.2026273051e-16
1045 1.5007767659e-10 4.5914226849e-12 -9.5775856558e-12 1.3868951999e-14 5.4602110853e-15 2.2030562613e-16 2.1857628956e-16
1046 1.5041467528e-10 4.5554999929e-12 -9.6518337450e-12 1.3873584680e-14 5.4402270584e-15 2.1186008061e-16 2.1687039137e-16
1047 1.5075809483e-10 4.5193079266e-12 -9.7229282349e-12 1.3878319335e-14 5.4203329599e-15 2.0355550500e-16 2.1514693317e-16
1048 1.5110761006e-10 4.4828611210e-12 -9.7908573748e-12 1.3883153252e-14 5.4005283380e-15 1.9538965905e-16 2.1340782720e-16
1049 1.5146289314e-10 4.4461743281e-12 -9.8556094332e-12 1.3888083691e-14 5.3808127322e-15 1.8736028000e-16 2.1165500070e-16
1050 1.5182361355e-10 4.4092624172e-12 -9.9171726975e-12 1.3893107889e-14 5.3611856735e-15 1.7946508261e-16 2.0989039594e-16
1051 1.5218943806e-10 4.3721403754e-12 -9.9755354745e-12 1.3898223057e-14 5.3416466840e-15 1.7170175907e-16 2.0811597030e-16
1052 1.5256003076e-10 4.3348233077e-12 -1.0030686090e-11 1.3903426380e-14 5.3221952775e-15 1.6406797893e-16 2.0633369625e-16
1053 1.5293505303e-10 4.2973264373e-12 -1.0082612891e-11 1.3908715019e-14 5.3028309586e-15 1.5656138905e-16 2.0454556142e-16
1054 1.5331416352e-10 4.2596651059e-12 -1.0131304241e-11 1.3914086109e-14 5.2835532235e-15 1.4917961356e-16 2.0275356864e-16
1055 1.5369701819e-10 4.2218547740e-12 -1.0176748527e-11 1.3919536760e-14 5.2643615594e-15 1.4192025378e-16 2.0095973595e-16
1056 1.5408327026e-10 4.1839110211e-12 -1.0218934153e-11 1.3925064056e-14 5.2452554450e-15 1.3478088815e-16 1.9916609665e-16
1057 1.5447257021e-10 4.1458495461e-12 -1.0257849545e-11 1.3930665055e-14 5.2262343499e-15 1.2775907223e-16 1.9737469936e-16
1058 1.5486456579e-10 4.1076861676e-12 -1.0293483149e-11 1.3936336791e-14 5.2072977349e-15 1.2085233856e-16 1.9558760801e-16
1059 1.5525890201e-10 4.0694368239e-12 -1.0325823429e-11 1.3942076271e-14 5.1884450520e-15 1.1405819667e-16 1.9380690191e-16
1060 1.5565522112e-10 4.0311175737e-12 -1.0354858873e-11 1.3947880476e-14 5.1696757444e-15 1.0737413300e-16 1.9203467577e-16
1061 1.5605317896e-10 3.9927440846e-12 -1.0380583121e-11 1.3953746346e-14 5.1509892897e-15 1.0079812634e-16 1.9027252228e-16
1062 1.5645249424e-10 3.9543300912e-12 -1.0403010448e-11 1.3959670726e-14 5.1323853325e-15 9.4330202171e-17 1.8851997204e-16
1063 1.5685289994e-10 3.9158889165e-12 -1.0422160494e-11 1.3965650421e-14 5.1138635534e-15 8.7970899618e-17 1.8677603220e-16
1064 1.5725412697e-10 3.8774339814e-12 -1.0438053156e-11 1.3971682207e-14 5.0954236263e-15 8.1720757891e-17 1.8503970199e-16
1065 1.5765590422e-10 3.8389788055e-12 -1.0450708585e-11 1.3977762833e-14 5.0770652180e-15 7.5580316264e-17 1.8330997268e-16
1066 1.5805795855e-10 3.8005370066e-12 -1.0460147186e-11 1.3983889024e-14 5.0587879882e-15 6.9550114080e-17 1.8158582755e-16
1067 1.5846001474e-10 3.7621223014e-12 -1.0466389621e-11 1.3990057473e-14 5.0405915896e-15 6.3630690748e-17 1.7986624192e-16
1068 1.5886179553e-10 3.7237485056e-12 -1.0469456810e-11 1.3996264852e-14 5.0224756677e-15 5.7822585734e-17 1.7815018305e-16
1069 1.5926302160e-10 3.6854295343e-12 -1.0469369927e-11 1.4002507800e-14 5.0044398608e-15 5.2126338566e-17 1.7643661020e-16
1070 1.5966341156e-10 3.6471794018e-12 -1.0466150408e-11 1.4008782933e-14 4.9864838004e-15 4.6542488823e-17 1.7472447457e-16
