# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE               BB               phiphi           Tphi             Ephi             
  43 1.6864044800e-10 9.5094817732e-15 1.8879593085e-13 8.1229404977e-17 7.6525998682e-11 8.4525417717e-12 -1.2132964835e-14
  44 1.7126654185e-10 1.0265021418e-14 1.7558953799e-13 8.5060774201e-17 7.2969946111e-11 8.0898623588e-12 -1.2445384935e-14
  45 1.7391719110e-10 1.1057043357e-14 1.6071125952e-13 8.8981674159e-17 6.9634140817e-11 7.7487531685e-12 -1.2600095619e-14
  46 1.7659275606e-10 1.1886102485e-14 1.4410304123e-13 9.2992073485e-17 6.6501278104e-11 7.4272260475e-12 -1.2557116686e-14
  47 1.7929319942e-10 1.2752824410e-14 1.2575074401e-13 9.7091932947e-17 6.3555705931e-11 7.1240306175e-12 -1.2345092664e-14
  48 1.8201874254e-10 1.3657844096e-14 1.0566614710e-13 1.0128120641e-16 6.0783245927e-11 6.8379673432e-12 -1.2005713833e-14
  49 1.8476952945e-10 1.4601756250e-14 8.3840610179e-14 1.0555984140e-16 5.8171025383e-11 6.5679859351e-12 -1.1633506178e-14
  50 1.8754553253e-10 1.5585006246e-14 6.0325166208e-14 1.0992778015e-16 5.5707338158e-11 6.3127686232e-12 -1.1250013863e-14
  51 1.9034706250e-10 1.6607906993e-14 3.5130033381e-14 1.1438496021e-16 5.3381517744e-11 6.0711557812e-12 -1.0917056866e-14
  52 1.9317406665e-10 1.7670617722e-14 8.2769627249e-15 1.1893131545e-16 5.1183829232e-11 5.8426586308e-12 -1.0651008113e-14
  53 1.9602717054e-10 1.8773177763e-14 -2.0259217892e-14 1.2356677675e-16 4.9105374097e-11 5.6264611598e-12 -1.0488634835e-14
  54 1.9890619277e-10 1.9915515951e-14 -5.0483129543e-14 1.2829127294e-16 4.7138003879e-11 5.4214723708e-12 -1.0409300628e-14
  55 2.0181194089e-10 2.1097488481e-14 -8.2411062765e-14 1.3310473158e-16 4.5274246908e-11 5.2268488574e-12 -1.0403954558e-14
  56 2.0474416557e-10 2.2318916333e-14 -1.1609422492e-13 1.3800707981e-16 4.3507242637e-11 5.0420119544e-12 -1.0416456618e-14
  57 2.0770402696e-10 2.3579560376e-14 -1.5155357809e-13 1.4299824528e-16 4.1830680998e-11 4.8665527250e-12 -1.0434299954e-14
  58 2.1069120398e-10 2.4879164460e-14 -1.8881583678e-13 1.4807815688e-16 4.0238750531e-11 4.6997408388e-12 -1.0433945419e-14
  59 2.1370655509e-10 2.6217449212e-14 -2.2789976676e-13 1.5324674576e-16 3.8726095415e-11 4.5406626868e-12 -1.0402636248e-14
  60 2.1675001009e-10 2.7594114917e-14 -2.6879688328e-13 1.5850394607e-16 3.7287766076e-11 4.3889739691e-12 -1.0318341896e-14
  61 2.1982236244e-10 2.9008834507e-14 -3.1154963313e-13 1.6384969599e-16 3.5919191685e-11 4.2445871179e-12 -1.0225859457e-14
  62 2.2292375592e-10 3.0461210855e-14 -3.5608226494e-13 1.6928393846e-16 3.4616139241e-11 4.1069479921e-12 -1.0078253484e-14
  63 2.2605432703e-10 3.1950821705e-14 -4.0242454058e-13 1.7480662227e-16 3.3374685839e-11 3.9753927211e-12 -9.9335657860e-15
  64 2.2921473968e-10 3.3477146859e-14 -4.5053646053e-13 1.8041770270e-16 3.2191197789e-11 3.8496344057e-12 -9.7877507451e-15
  65 2.3240485335e-10 3.5039599898e-14 -5.0039402223e-13 1.8611714270e-16 3.1062293468e-11 3.7295238732e-12 -9.6517236061e-15
  66 2.3562554665e-10 3.6637480496e-14 -5.5195953082e-13 1.9190491342e-16 2.9984834881e-11 3.6149341781e-12 -9.5504892991e-15
  67 2.3887640473e-10 3.8270077841e-14 -6.0524406218e-13 1.9778099540e-16 2.8955900290e-11 3.5053512489e-12 -9.4521045115e-15
  68 2.4215842745e-10 3.9936556980e-14 -6.6021374676e-13 2.0374537901e-16 2.7972767954e-11 3.4001793363e-12 -9.3716390544e-15
  69 2.4547108819e-10 4.1636002163e-14 -7.1683271940e-13 2.0979806573e-16 2.7032900681e-11 3.2994838747e-12 -9.2871348446e-15
  70 2.4881554978e-10 4.3367502893e-14 -7.7513021938e-13 2.1593906838e-16 2.6133931927e-11 3.2032739010e-12 -9.2293938624e-15
  71 2.5219137010e-10 4.5130057368e-14 -8.3506800160e-13 2.2216841248e-16 2.5273649088e-11 3.1110833067e-12 -9.1746578023e-15
  72 2.5559909616e-10 4.6922588998e-14 -8.9662779598e-13 2.2848613637e-16 2.4449985170e-11 3.0224646736e-12 -9.1189662495e-15
  73 2.5903887687e-10 4.8744041956e-14 -9.5979040495e-13 2.3489229259e-16 2.3661006662e-11 2.9372468192e-12 -9.0542051335e-15
  74 2.6251085569e-10 5.0593231136e-14 -1.0245108441e-12 2.4138694788e-16 2.2904902236e-11 2.8556314094e-12 -9.0006090951e-15
  75 2.6601550308e-10 5.2469030223e-14 -1.0907912806e-12 2.4797018452e-16 2.2179975009e-11 2.7773923497e-12 -8.9173597190e-15
  76 2.6955235525e-10 5.4370152607e-14 -1.1585828558e-12 2.5464210035e-16 2.1484632313e-11 2.7020775397e-12 -8.8323352245e-15
  77 2.7312235233e-10 5.6295372902e-14 -1.2278479651e-12 2.6140281001e-16 2.0817380267e-11 2.6294664711e-12 -8.7444596612e-15
  78 2.7672492720e-10 5.8243303277e-14 -1.2985301484e-12 2.6825244476e-16 2.0176783070e-11 2.5596817927e-12 -8.6453506793e-15
  79 2.8036021892e-10 6.0212564615e-14 -1.3705911259e-12 2.7519115411e-16 1.9561619418e-11 2.4926404624e-12 -8.5496970670e-15
  80 2.8402849259e-10 6.2201743856e-14 -1.4439975460e-12 2.8221910494e-16 1.8970533497e-11 2.4281468151e-12 -8.4732021176e-15
  81 2.8772980096e-10 6.4209352504e-14 -1.5187099880e-12 2.8933648336e-16 1.8402439595e-11 2.3659834894e-12 -8.4067563736e-15
  82 2.9146402345e-10 6.6233841582e-14 -1.5946840024e-12 2.9654349410e-16 1.7856171149e-11 2.3059639917e-12 -8.3366713699e-15
  83 2.9523122877e-10 6.8273625048e-14 -1.6718646615e-12 3.0384036168e-16 1.7330759895e-11 2.2481705483e-12 -8.2609943113e-15
  84 2.9903138875e-10 7.0327072641e-14 -1.7501976449e-12 3.1122733019e-16 1.6825160876e-11 2.1926564962e-12 -8.1816053592e-15
  85 3.0286445429e-10 7.2392537449e-14 -1.8296491711e-12 3.1870466404e-16 1.6338511427e-11 2.1390858566e-12 -8.1032876691e-15
  86 3.0673027068e-10 7.4468330220e-14 -1.9101840377e-12 3.2627264806e-16 1.5869884964e-11 2.0871145163e-12 -8.0308931533e-15
  87 3.1062883714e-10 7.6552719673e-14 -1.9917382753e-12 3.3393158770e-16 1.5418509973e-11 2.0369316572e-12 -7.9653268297e-15
  88 3.1456005265e-10 7.8643938195e-14 -2.0742449902e-12 3.4168180954e-16 1.4983559047e-11 1.9887442353e-12 -7.9051546246e-15
  89 3.1852373172e-10 8.0740226533e-14 -2.1576642814e-12 3.4952366096e-16 1.4564341078e-11 1.9422276272e-12 -7.8436454814e-15
  90 3.2251957216e-10 8.2839789228e-14 -2.2419550175e-12 3.5745751099e-16 1.4160116791e-11 1.8970123357e-12 -7.7738986926e-15
  91 3.2654738177e-10 8.4940768258e-14 -2.3270407938e-12 3.6548374949e-16 1.3770265837e-11 1.8532514428e-12 -7.6957063895e-15
  92 3.3060688948e-10 8.7041275295e-14 -2.4128426425e-12 3.7360278835e-16 1.3394125902e-11 1.8111443267e-12 -7.6115853756e-15
  93 3.3469782744e-10 8.9139466075e-14 -2.4993181753e-12 3.8181506010e-16 1.3031138650e-11 1.7704912145e-12 -7.5277928753e-15
  94 3.3881982390e-10 9.1233467889e-14 -2.5864246521e-12 3.9012101958e-16 1.2680709189e-11 1.7310277632e-12 -7.4508929919e-15
  95 3.4297250229e-10 9.3321319415e-14 -2.6740762275e-12 3.9852114190e-16 1.2342334368e-11 1.6927415805e-12 -7.3833712625e-15
  96 3.4715542102e-10 9.5401043245e-14 -2.7621866816e-12 4.0701592456e-16 1.2015479174e-11 1.6556772285e-12 -7.3241544122e-15
  97 3.5136828698e-10 9.7470781797e-14 -2.8507244300e-12 4.1560588484e-16 1.1699689243e-11 1.6198577524e-12 -7.2616465567e-15
  98 3.5561072506e-10 9.9528649992e-14 -2.9396526547e-12 4.2429156233e-16 1.1394482263e-11 1.5852524447e-12 -7.1856025058e-15
  99 3.5988221571e-10 1.0157256710e-13 -3.0288480214e-12 4.3307351573e-16 1.1099447103e-11 1.5516504725e-12 -7.1053644146e-15
 100 3.6418216109e-10 1.0360049047e-13 -3.1181974753e-12 4.4195232582e-16 1.0814148096e-11 1.5188703634e-12 -7.0335489225e-15
 101 3.6851017333e-10 1.0561083752e-13 -3.2077407559e-12 4.5092859168e-16 1.0538212605e-11 1.4871119850e-12 -6.9726639039e-15
 102 3.7286580166e-10 1.0760181113e-13 -3.2974816515e-12 4.6000293410e-16 1.0271246441e-11 1.4565626811e-12 -6.9196140453e-15
 103 3.7724841759e-10 1.0957019167e-13 -3.3870869459e-12 4.6917599117e-16 1.0012911424e-11 1.4269123028e-12 -6.8590943707e-15
 104 3.8165731144e-10 1.1151359900e-13 -3.4763624789e-12 4.7844842221e-16 9.7628503546e-12 1.3978369526e-12 -6.7788861990e-15
 105 3.8609196888e-10 1.1343498076e-13 -3.5661152603e-12 4.8782090278e-16 9.5207556167e-12 1.3695816523e-12 -6.6958156612e-15
 106 3.9055181680e-10 1.1533632413e-13 -3.6569872193e-12 4.9729412924e-16 9.2863027851e-12 1.3424243579e-12 -6.6285803114e-15
 107 3.9503610701e-10 1.1720891660e-13 -3.7476763166e-12 5.0686881398e-16 9.0592118213e-12 1.3161157255e-12 -6.5683537557e-15
 108 3.9954400395e-10 1.1904346893e-13 -3.8367726873e-12 5.1654568922e-16 8.8391878421e-12 1.2903483114e-12 -6.5021714033e-15
 109 4.0407480673e-10 1.2084137491e-13 -3.9247922193e-12 5.2632549966e-16 8.6259754472e-12 1.2652162169e-12 -6.4321803310e-15
 110 4.0862777982e-10 1.2260576872e-13 -4.0125606092e-12 5.3620900845e-16 8.4193060393e-12 1.2408771859e-12 -6.3639446776e-15
 111 4.1320216378e-10 1.2433454321e-13 -4.0999426530e-12 5.4619699047e-16 8.2189463431e-12 1.2173001343e-12 -6.2999787664e-15
 112 4.1779712731e-10 1.2602453349e-13 -4.1866085330e-12 5.5629023821e-16 8.0246512998e-12 1.1943908275e-12 -6.2407432981e-15
 113 4.2241182592e-10 1.2767408162e-13 -4.2725052277e-12 5.6648955440e-16 7.8362072363e-12 1.1720190741e-12 -6.1812546992e-15
 114 4.2704537859e-10 1.2928186231e-13 -4.3576364729e-12 5.7679575798e-16 7.6533903127e-12 1.1501013224e-12 -6.1163616646e-15
 115 4.3169701778e-10 1.3084621861e-13 -4.4419307235e-12 5.8720967589e-16 7.4760065235e-12 1.1288149326e-12 -6.0470382403e-15
 116 4.3636592454e-10 1.3236543772e-13 -4.5252966516e-12 5.9773215020e-16 7.3038516015e-12 1.1083202181e-12 -5.9761314538e-15
 117 4.4105116127e-10 1.3383791315e-13 -4.6076453508e-12 6.0836403115e-16 7.1367410490e-12 1.0883993917e-12 -5.9072855923e-15
 118 4.4575172054e-10 1.3526209521e-13 -4.6888921100e-12 6.1910618167e-16 6.9744844708e-12 1.0687967683e-12 -5.8432491188e-15
 119 4.5046666464e-10 1.3663651282e-13 -4.7689696604e-12 6.2995946421e-16 6.8169315635e-12 1.0495577812e-12 -5.7816847753e-15
 120 4.5519499883e-10 1.3795973673e-13 -4.8478156837e-12 6.4092475587e-16 6.6639157887e-12 1.0308100719e-12 -5.7187413441e-15
 121 4.5993565640e-10 1.3923037223e-13 -4.9253647432e-12 6.5200294682e-16 6.5152550542e-12 1.0126529492e-12 -5.6515298605e-15
 122 4.6468759373e-10 1.4044707530e-13 -5.0015366293e-12 6.6319491904e-16 6.3708164873e-12 9.9505053033e-13 -5.5819783087e-15
 123 4.6944970086e-10 1.4160854083e-13 -5.0762467343e-12 6.7450156551e-16 6.2304573999e-12 9.7792624660e-13 -5.5134181911e-15
 124 4.7422081843e-10 1.4271351429e-13 -5.1494130976e-12 6.8592379000e-16 6.0940212122e-12 9.6120579187e-13 -5.4484391373e-15
 125 4.7899989128e-10 1.4376083974e-13 -5.2209671089e-12 6.9746248508e-16 5.9613899787e-12 9.4484854578e-13 -5.3858972679e-15
 126 4.8378582741e-10 1.4474941985e-13 -5.2908440603e-12 7.0911855187e-16 5.8324363397e-12 9.2881940293e-13 -5.3235723696e-15
 127 4.8857748985e-10 1.4567821228e-13 -5.3589781788e-12 7.2089289948e-16 5.7070212621e-12 9.1309659156e-13 -5.2595738147e-15
