# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4000,
# i.e. number of multipoles equal to 3999
#  l TT               EE               TE               BB               phiphi           Tphi             
  24 1.2367696123e-10 1.2370151635e-15 1.9977599128e-13 0.0000000000e+00 2.3455012782e-10 -2.3829912266e-11
  25 1.2575952579e-10 1.4304448601e-15 2.0665863843e-13 0.0000000000e+00 2.1793939290e-10 -2.2249430224e-11
  26 1.2788032412e-10 1.6483763398e-15 2.1386879631e-13 0.0000000000e+00 2.0298302867e-10 -2.0818074434e-11
  27 1.3003717948e-10 1.8898156592e-15 2.2110270322e-13 0.0000000000e+00 1.8943350203e-10 -1.9517717406e-11
  28 1.3222844892e-10 2.1545641087e-15 2.2800130441e-13 0.0000000000e+00 1.7711741957e-10 -1.8332363646e-11
  29 1.3445242817e-10 2.4424888398e-15 2.3419360740e-13 0.0000000000e+00 1.6591321025e-10 -1.7247713694e-11
  30 1.3670799632e-10 2.7533719277e-15 2.3935021758e-13 0.0000000000e+00 1.5569328798e-10 -1.6252012410e-11
  31 1.3899429294e-10 3.0872833193e-15 2.4323618181e-13 0.0000000000e+00 1.4632442952e-10 -1.5335384207e-11
  32 1.4131041277e-10 3.4450509517e-15 2.4572468495e-13 0.0000000000e+00 1.3772544422e-10 -1.4489484886e-11
  33 1.4365520427e-10 3.8283854351e-15 2.4675822393e-13 0.0000000000e+00 1.2981518936e-10 -1.3706864301e-11
  34 1.4602783020e-10 4.2395479857e-15 2.4638330793e-13 0.0000000000e+00 1.2251125974e-10 -1.2981518588e-11
  35 1.4842727854e-10 4.6808297174e-15 2.4468379611e-13 0.0000000000e+00 1.1577522121e-10 -1.2308597775e-11
  36 1.5085298033e-10 5.1540911714e-15 2.4175453495e-13 0.0000000000e+00 1.0955089503e-10 -1.1683632837e-11
  37 1.5330386710e-10 5.6606009638e-15 2.3767141563e-13 0.0000000000e+00 1.0376886081e-10 -1.1102503676e-11
  38 1.5577960419e-10 6.2011002144e-15 2.3247254100e-13 0.0000000000e+00 9.8399571938e-11 -1.0561238351e-11
  39 1.5827962135e-10 6.7760182030e-15 2.2614779497e-13 0.0000000000e+00 9.3404451928e-11 -1.0056744661e-11
  40 1.6080403017e-10 7.3856505868e-15 2.1863883308e-13 0.0000000000e+00 8.8750152951e-11 -9.5861253801e-12
  41 1.6335240276e-10 8.0302635659e-15 2.0985298529e-13 0.0000000000e+00 8.4377696235e-11 -9.2509677818e-12
  42 1.6592510567e-10 8.7131412289e-15 2.0063451684e-13 0.0000000000e+00 8.0321482223e-11 -8.8390222145e-12
  43 1.6852199127e-10 9.4290216801e-15 1.8903989202e-13 0.0000000000e+00 7.6525999712e-11 -8.4526306650e-12
  44 1.7114348759e-10 1.0180862969e-14 1.7584987908e-13 0.0000000000e+00 7.2969947251e-11 -8.0899402012e-12
  45 1.7378954321e-10 1.0969113331e-14 1.6098755537e-13 0.0000000000e+00 6.9634142055e-11 -7.7488404896e-12
  46 1.7646042102e-10 1.1794330286e-14 1.4439609387e-13 0.0000000000e+00 6.6501279427e-11 -7.4273255897e-12
  47 1.7915617036e-10 1.2657138086e-14 1.2606045690e-13 0.0000000000e+00 6.3555707328e-11 -7.1241232087e-12
  48 1.8187693925e-10 1.3558176811e-14 1.0599233363e-13 0.0000000000e+00 6.0783247386e-11 -6.8380424174e-12
  49 1.8462293020e-10 1.4498040996e-14 8.4183519351e-14 0.0000000000e+00 5.8171026895e-11 -6.5680576669e-12
  50 1.8739410604e-10 1.5477179957e-14 6.0684347724e-14 0.0000000000e+00 5.5707339714e-11 -6.3128532884e-12
  51 1.9019075111e-10 1.6495905275e-14 3.5506062526e-14 0.0000000000e+00 5.3381519336e-11 -6.0712469997e-12
  52 1.9301286945e-10 1.7554379630e-14 8.6685543928e-15 0.0000000000e+00 5.1183830852e-11 -5.8427382356e-12
