# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000,
# i.e. number of multipoles equal to 2999
#  l TT               EE               TE               BB               phiphi           Tphi             
   2 1.3192006236e-10 6.2650309628e-15 4.0007483136e-13 2.5297501624e-19 8.1762965521e-09 -4.6969063252e-10
   3 1.2472403096e-10 9.8297504802e-15 4.9390257647e-13 5.0512295423e-19 5.0142288202e-09 -3.3415868305e-10
   4 1.1770879336e-10 1.0564846763e-14 5.0233508782e-13 8.4078860977e-19 3.4888336071e-09 -2.5444797743e-10
   5 1.1231454887e-10 8.9160951731e-15 4.6048203507e-13 1.2601831207e-18 2.6054128255e-09 -2.0204609557e-10
   6 1.0848592279e-10 6.2469275601e-15 3.9608266162e-13 1.7636167631e-18 2.0367913278e-09 -1.6512096227e-10
   7 1.0595132313e-10 3.7874435110e-15 3.2700107215e-13 2.3513295321e-18 1.6440407352e-09 -1.3783132093e-10
   8 1.0439560301e-10 2.1388603002e-15 2.6313463945e-13 3.0234736431e-18 1.3598681609e-09 -1.1701485813e-10
   9 1.0361982535e-10 1.3093587477e-15 2.1013661518e-13 3.7801687634e-18 1.1459100151e-09 -1.0071023472e-10
  10 1.0344512546e-10 1.0012184453e-15 1.7064013517e-13 4.6215549153e-18 9.8016955088e-10 -8.7684629062e-11
  11 1.0372059184e-10 8.9951455542e-16 1.4478151950e-13 5.5478108185e-18 8.4873156961e-10 -7.7113620933e-11
  12 1.0434506178e-10 8.2189290884e-16 1.3110158871e-13 6.5591452418e-18 7.4256965815e-10 -6.8410486073e-11
  13 1.0524170045e-10 7.2494330417e-16 1.2710862730e-13 7.6557806894e-18 6.5535929272e-10 -6.1150404202e-11
  14 1.0635445034e-10 6.3678229074e-16 1.2990827747e-13 8.8379431895e-18 5.8275506069e-10 -5.5019235288e-11
  15 1.0764387681e-10 5.8954793894e-16 1.3676566092e-13 1.0105859853e-17 5.2159907001e-10 -4.9782556598e-11
  16 1.0907598143e-10 5.8907776362e-16 1.4542967573e-13 1.1459760328e-17 4.6955659277e-10 -4.5264332092e-11
  17 1.1062657859e-10 6.1972780077e-16 1.5430471299e-13 1.2899877092e-17 4.2486968578e-10 -4.1329610012e-11
  18 1.1228365303e-10 6.6309795104e-16 1.6250215611e-13 1.4426443599e-17 3.8619062355e-10 -3.7874374135e-11
  19 1.1402589301e-10 7.1157489017e-16 1.6968769150e-13 1.6039690800e-17 3.5247384293e-10 -3.4821907358e-11
  20 1.1584726741e-10 7.6985602600e-16 1.7599015404e-13 1.7739844542e-17 3.2289453400e-10 -3.2109631248e-11
  21 1.1773364289e-10 8.4827518420e-16 1.8175610769e-13 1.9527124049e-17 2.9679640793e-10 -2.9690415668e-11
  22 1.1967969414e-10 9.5526201627e-16 1.8742311907e-13 2.1401742024e-17 2.7364784463e-10 -2.7524538323e-11
  23 1.2167705126e-10 1.0938179022e-15 1.9334882003e-13 2.3363904708e-17 2.5301686591e-10 -2.5580257399e-11
  24 1.2372058358e-10 1.2624315938e-15 1.9973990497e-13 2.5413812082e-17 2.3455012782e-10 -2.3829912266e-11
  25 1.2580639585e-10 1.4579960709e-15 2.0661698425e-13 2.7551657074e-17 2.1793939290e-10 -2.2249430224e-11
  26 1.2793053147e-10 1.6781485133e-15 2.1382086335e-13 2.9777624967e-17 2.0298302867e-10 -2.0818074434e-11
  27 1.3009081139e-10 1.9218951102e-15 2.2104777323e-13 3.2091892091e-17 1.8943350203e-10 -1.9517717406e-11
  28 1.3228559031e-10 2.1890371633e-15 2.2793867884e-13 3.4494625290e-17 1.7711741957e-10 -1.8332363646e-11
  29 1.3451316172e-10 2.4794418333e-15 2.3412262995e-13 3.6985980898e-17 1.6591321025e-10 -1.7247713694e-11
  30 1.3677240243e-10 2.7928912391e-15 2.3927028625e-13 3.9566104326e-17 1.5569328798e-10 -1.6252012410e-11
  31 1.3906244971e-10 3.1294553140e-15 2.4314674530e-13 4.2235129139e-17 1.4632442952e-10 -1.5335384207e-11
  32 1.4138239608e-10 3.4899617651e-15 2.4562522879e-13 4.4993176865e-17 1.3772544422e-10 -1.4489484886e-11
  33 1.4373108789e-10 3.8761206487e-15 2.4664825959e-13 4.7840356255e-17 1.2981518936e-10 -1.3706864301e-11
  34 1.4610768579e-10 4.2901923226e-15 2.4626234567e-13 5.0776763508e-17 1.2251125974e-10 -1.2981518588e-11
  35 1.4851117575e-10 4.7344668551e-15 2.4455133055e-13 5.3802482179e-17 1.1577522121e-10 -1.2308597775e-11
  36 1.5094098670e-10 5.2108037058e-15 2.4161003657e-13 5.6917583775e-17 1.0955089503e-10 -1.1683632837e-11
  37 1.5339604834e-10 5.7204704662e-15 2.3751433221e-13 6.0122127790e-17 1.0376886081e-10 -1.1102503676e-11
  38 1.5587602392e-10 6.2642073122e-15 2.3230230812e-13 6.3416162394e-17 9.8399571938e-11 -1.0561238351e-11
  39 1.5838034125e-10 6.8424426168e-15 2.2596385473e-13 6.6799724316e-17 9.3404451928e-11 -1.0056744661e-11
  40 1.6090910972e-10 7.4554711164e-15 2.1844065795e-13 7.0272839382e-17 8.8750152951e-11 -9.5861253801e-12
  41 1.6346189949e-10 8.1035580032e-15 2.0964009002e-13 7.3835522559e-17 8.4377696235e-11 -9.2509677818e-12
  42 1.6603907481e-10 8.7899849103e-15 2.0040604105e-13 7.7487778703e-17 8.0321482223e-11 -8.8390222145e-12
  43 1.6864048594e-10 9.5094913722e-15 1.8879590712e-13 8.1229603101e-17 7.6525999712e-11 -8.4526306650e-12
  44 1.7126655852e-10 1.0265033048e-14 1.7559015817e-13 8.5060981532e-17 7.2969947251e-11 -8.0899402012e-12
  45 1.7391723901e-10 1.1057056763e-14 1.6071195251e-13 8.8981890910e-17 6.9634142055e-11 -7.7488404896e-12
  46 1.7659278794e-10 1.1886118491e-14 1.4410455321e-13 9.2992299869e-17 6.6501279427e-11 -7.4273255897e-12
  47 1.7929325238e-10 1.2752840780e-14 1.2575299659e-13 9.7092169177e-17 6.3555707328e-11 -7.1241232087e-12
  48 1.8201877804e-10 1.3657861865e-14 1.0566903460e-13 1.0128145270e-16 6.0783247386e-11 -6.8380424174e-12
  49 1.8476956504e-10 1.4601774329e-14 8.3844540502e-14 1.0556009796e-16 5.8171026895e-11 -6.5680576669e-12
  50 1.8754557396e-10 1.5585025496e-14 6.0329891848e-14 1.0992804720e-16 5.5707339714e-11 -6.3128532884e-12
  51 1.9034708662e-10 1.6607924925e-14 3.5136402097e-14 1.1438523797e-16 5.3381519336e-11 -6.0712469997e-12
  52 1.9317410472e-10 1.7670633262e-14 8.2840293890e-15 1.1893160414e-16 5.1183830852e-11 -5.8427382356e-12
  53 1.9602716724e-10 1.8773190660e-14 -2.0250906757e-14 1.2356707659e-16 4.9105375740e-11 -5.6265269860e-12
