#x	dN/dlog[10,x] (elec)	dN/dlog[10,x] (phot)	dN/dlog[10,x] (oth)
1.412e-07	0.00000e+00	0.00000e+00	0.00000e+00
1.585e-07	0.00000e+00	0.00000e+00	0.00000e+00
1.778e-07	0.00000e+00	0.00000e+00	0.00000e+00
1.995e-07	0.00000e+00	0.00000e+00	0.00000e+00
2.239e-07	0.00000e+00	0.00000e+00	0.00000e+00
2.512e-07	0.00000e+00	0.00000e+00	0.00000e+00
2.818e-07	0.00000e+00	0.00000e+00	0.00000e+00
3.162e-07	0.00000e+00	0.00000e+00	0.00000e+00
3.548e-07	0.00000e+00	0.00000e+00	0.00000e+00
3.981e-07	0.00000e+00	0.00000e+00	0.00000e+00
4.467e-07	0.00000e+00	0.00000e+00	0.00000e+00
5.012e-07	0.00000e+00	0.00000e+00	0.00000e+00
5.623e-07	0.00000e+00	4.59563e-06	0.00000e+00
6.310e-07	0.00000e+00	0.00000e+00	0.00000e+00
7.080e-07	0.00000e+00	0.00000e+00	0.00000e+00
7.943e-07	0.00000e+00	4.59563e-06	0.00000e+00
8.912e-07	0.00000e+00	9.19125e-06	0.00000e+00
1.000e-06	0.00000e+00	0.00000e+00	0.00000e+00
1.122e-06	0.00000e+00	4.59563e-06	0.00000e+00
1.259e-06	0.00000e+00	4.59563e-06	0.00000e+00
1.412e-06	0.00000e+00	0.00000e+00	0.00000e+00
1.585e-06	0.00000e+00	0.00000e+00	0.00000e+00
1.778e-06	0.00000e+00	0.00000e+00	0.00000e+00
1.995e-06	0.00000e+00	1.37869e-05	0.00000e+00
2.239e-06	0.00000e+00	4.59563e-06	0.00000e+00
2.512e-06	0.00000e+00	1.37869e-05	0.00000e+00
2.818e-06	0.00000e+00	0.00000e+00	0.00000e+00
3.162e-06	0.00000e+00	4.59563e-06	0.00000e+00
3.548e-06	0.00000e+00	1.37869e-05	0.00000e+00
3.981e-06	0.00000e+00	4.59563e-06	0.00000e+00
4.467e-06	0.00000e+00	1.83825e-05	0.00000e+00
5.012e-06	0.00000e+00	0.00000e+00	0.00000e+00
5.623e-06	0.00000e+00	1.83825e-05	0.00000e+00
6.310e-06	0.00000e+00	1.83825e-05	0.00000e+00
7.080e-06	0.00000e+00	9.19125e-06	0.00000e+00
7.943e-06	0.00000e+00	1.83825e-05	0.00000e+00
8.912e-06	0.00000e+00	2.75738e-05	0.00000e+00
1.000e-05	0.00000e+00	5.05519e-05	0.00000e+00
1.122e-05	0.00000e+00	3.21694e-05	0.00000e+00
1.259e-05	0.00000e+00	2.29781e-05	0.00000e+00
1.412e-05	0.00000e+00	2.75738e-05	0.00000e+00
1.585e-05	0.00000e+00	4.59563e-05	0.00000e+00
1.778e-05	0.00000e+00	3.21694e-05	0.00000e+00
1.995e-05	9.19125e-06	2.29781e-05	0.00000e+00
2.239e-05	0.00000e+00	5.05519e-05	0.00000e+00
2.512e-05	4.59563e-06	4.59563e-05	0.00000e+00
2.818e-05	0.00000e+00	4.59563e-05	0.00000e+00
3.162e-05	0.00000e+00	3.67650e-05	0.00000e+00
3.548e-05	0.00000e+00	9.65082e-05	0.00000e+00
3.981e-05	0.00000e+00	1.05699e-04	0.00000e+00
4.467e-05	4.59563e-06	9.65082e-05	0.00000e+00
5.012e-05	0.00000e+00	7.81256e-05	0.00000e+00
5.623e-05	0.00000e+00	1.28678e-04	0.00000e+00
6.310e-05	4.59563e-06	9.19125e-05	0.00000e+00
7.080e-05	0.00000e+00	1.42464e-04	0.00000e+00
7.943e-05	4.59563e-06	1.88421e-04	0.00000e+00
8.912e-05	4.59563e-06	1.65443e-04	0.00000e+00
1.000e-04	9.19125e-06	2.06803e-04	0.00000e+00
1.122e-04	4.59563e-06	2.38973e-04	0.00000e+00
1.259e-04	4.59563e-06	2.38973e-04	0.00000e+00
1.412e-04	9.19125e-06	3.03311e-04	0.00000e+00
1.585e-04	1.83825e-05	3.30885e-04	0.00000e+00
1.778e-04	1.37869e-05	3.63054e-04	0.00000e+00
1.995e-04	9.19125e-06	4.27393e-04	0.00000e+00
2.239e-04	2.75738e-05	5.60667e-04	0.00000e+00
2.512e-04	4.59563e-06	5.37688e-04	0.00000e+00
2.818e-04	1.83825e-05	5.83645e-04	0.00000e+00
3.162e-04	3.21694e-05	6.98535e-04	0.00000e+00
3.548e-04	3.21694e-05	7.85852e-04	0.00000e+00
3.981e-04	3.21694e-05	8.77765e-04	0.00000e+00
4.467e-04	1.83825e-05	9.00742e-04	0.00000e+00
5.012e-04	1.83825e-05	1.08916e-03	0.00000e+00
5.623e-04	2.75738e-05	1.21325e-03	0.00000e+00
6.310e-04	5.51475e-05	1.23622e-03	0.00000e+00
7.079e-04	6.43388e-05	1.55332e-03	0.00000e+00
7.943e-04	7.35300e-05	1.71876e-03	0.00000e+00
8.913e-04	1.10295e-04	2.01288e-03	0.00000e+00
1.000e-03	9.19125e-05	2.09561e-03	0.00000e+00
1.122e-03	9.65082e-05	2.41730e-03	0.00000e+00
1.259e-03	1.74634e-04	2.69304e-03	0.00000e+00
1.412e-03	1.37869e-04	2.99175e-03	0.00000e+00
1.585e-03	1.65443e-04	3.57080e-03	0.00000e+00
1.778e-03	1.60847e-04	3.80518e-03	0.00000e+00
1.995e-03	2.29781e-04	4.43937e-03	0.00000e+00
2.239e-03	2.38973e-04	4.67375e-03	0.00000e+00
2.512e-03	2.98716e-04	5.24820e-03	0.00000e+00
2.818e-03	2.94120e-04	5.75832e-03	0.00000e+00
3.162e-03	3.95224e-04	6.74638e-03	0.00000e+00
3.548e-03	4.54967e-04	7.54142e-03	0.00000e+00
3.981e-03	5.42284e-04	8.09749e-03	0.00000e+00
4.467e-03	5.42284e-04	9.83464e-03	0.00000e+00
5.012e-03	5.83645e-04	1.05240e-02	0.00000e+00
5.623e-03	5.74453e-04	1.12869e-02	0.00000e+00
6.310e-03	7.99639e-04	1.32768e-02	0.00000e+00
7.079e-03	8.86956e-04	1.46738e-02	0.00000e+00
7.943e-03	9.60486e-04	1.66683e-02	0.00000e+00
8.913e-03	1.02023e-03	1.82584e-02	0.00000e+00
1.000e-02	1.03861e-03	2.11858e-02	0.00000e+00
1.122e-02	1.23163e-03	2.34147e-02	0.00000e+00
1.259e-02	1.42464e-03	2.67971e-02	0.00000e+00
1.413e-02	1.57170e-03	2.95453e-02	0.00000e+00
1.585e-02	1.87502e-03	3.33137e-02	0.00000e+00
1.778e-02	1.80149e-03	3.81529e-02	0.00000e+00
1.995e-02	1.97152e-03	4.20776e-02	0.00000e+00
2.239e-02	2.24726e-03	4.72752e-02	0.00000e+00
2.512e-02	2.56436e-03	5.33368e-02	0.00000e+00
2.818e-02	2.74818e-03	5.99729e-02	0.00000e+00
3.162e-02	3.07907e-03	6.63103e-02	0.00000e+00
3.548e-02	3.41915e-03	7.41458e-02	0.00000e+00
3.981e-02	3.46510e-03	8.40632e-02	0.00000e+00
4.467e-02	3.82356e-03	9.43252e-02	0.00000e+00
5.012e-02	3.97062e-03	1.04394e-01	0.00000e+00
5.623e-02	4.57724e-03	1.17510e-01	0.00000e+00
6.310e-02	4.59563e-03	1.33301e-01	0.00000e+00
7.079e-02	5.28957e-03	1.48917e-01	0.00000e+00
7.943e-02	5.75372e-03	1.68214e-01	0.00000e+00
8.912e-02	5.83645e-03	1.86275e-01	0.00000e+00
1.000e-01	6.42009e-03	2.11831e-01	0.00000e+00
1.122e-01	6.96237e-03	2.36211e-01	0.00000e+00
1.259e-01	7.42653e-03	2.64648e-01	0.00000e+00
1.412e-01	7.58278e-03	2.97121e-01	0.00000e+00
1.585e-01	8.15723e-03	3.32126e-01	0.00000e+00
1.778e-01	8.40540e-03	3.76120e-01	0.00000e+00
1.995e-01	8.26753e-03	4.21180e-01	0.00000e+00
2.239e-01	8.53867e-03	4.70551e-01	0.00000e+00
2.512e-01	9.36588e-03	5.27918e-01	0.00000e+00
2.818e-01	9.80247e-03	5.93938e-01	0.00000e+00
3.162e-01	9.79328e-03	6.65851e-01	0.00000e+00
3.548e-01	1.00966e-02	7.46683e-01	0.00000e+00
3.981e-01	9.96791e-03	8.36252e-01	0.00000e+00
4.467e-01	1.02253e-02	9.40150e-01	0.00000e+00
5.012e-01	9.54971e-03	1.05354e+00	0.00000e+00
5.623e-01	9.05338e-03	1.18137e+00	0.00000e+00
6.310e-01	8.55246e-03	1.32783e+00	0.00000e+00
7.079e-01	7.22432e-03	1.49001e+00	0.00000e+00
7.943e-01	5.55151e-03	1.67324e+00	0.00000e+00
8.912e-01	3.26289e-03	1.87320e+00	0.00000e+00
1.000e+00	4.59563e-04	1.01992e+00	0.00000e+00
