#                mSDM             lambdahs              omegah2               sigmav               con_tt               con_hh               con_zz               con_ww               con_bb             con_tata               con_cc               con_gg               con_aa 
                  110      0.0395729275331                 0.12             2.16e-26                  0.0                  0.0                0.284                0.713              0.00168             0.000198             6.81e-05             0.000799              4.2e-05 
                  120      0.0429849979011                0.119              2.1e-26                  0.0                  0.0                0.293                0.705              0.00123             0.000147             4.97e-05             0.000721             3.12e-05 
                  125      0.0403768707589                0.119             1.69e-26                  0.0                  0.0                0.296                0.702              0.00106             0.000129             4.31e-05             0.000696             2.72e-05 
                  126       0.039369329818                0.119             1.94e-26                  0.0                0.182                0.243                0.574             0.000848             0.000102             3.43e-05             0.000566             2.17e-05 
                  130      0.0382910447995                 0.12             2.04e-26                  0.0                0.313                0.205                0.481             0.000642              7.8e-05              2.6e-05             0.000466             1.64e-05 
                  135      0.0389327717498                0.119              2.1e-26                  0.0                0.362                0.192                0.445             0.000527             6.45e-05             2.14e-05             0.000424             1.35e-05 
                  140      0.0399381202139                0.119             2.12e-26                  0.0                0.381                0.187                 0.43             0.000455             5.59e-05             1.84e-05             0.000407             1.16e-05 
                  150      0.0423472182143                 0.12             2.12e-26                  0.0                0.393                0.186                 0.42              0.00036             4.48e-05             1.46e-05             0.000399             9.09e-06 
                  160      0.0454137100081                0.119             2.15e-26                  0.0                0.391                0.188                 0.42             0.000298             3.75e-05             1.21e-05             0.000415             7.42e-06 
                  170      0.0482625247002                 0.12             2.13e-26                  0.0                0.384                0.192                0.423             0.000253             3.21e-05             1.02e-05             0.000459             6.19e-06 
                  175      0.0496499681346                0.119             2.13e-26              0.00527                0.378                0.193                0.423             0.000233             2.97e-05             9.42e-06             0.000509             5.62e-06 
                  180      0.0507479696479                 0.12             2.13e-26               0.0196                0.369                0.192                0.419             0.000214             2.74e-05             8.64e-06             0.000555             4.86e-06 
                  190      0.0530429066986                 0.12             2.13e-26               0.0491                 0.35                 0.19                0.411             0.000181             2.34e-05             7.32e-06             0.000596             3.51e-06 
                  200       0.055445567807                 0.12             2.13e-26               0.0727                0.333                0.188                0.405             0.000156             2.03e-05             6.29e-06             0.000599             2.51e-06 
                  220      0.0606688266056                 0.12             2.15e-26                0.102                 0.31                0.188                0.399              0.00012             1.59e-05             4.85e-06             0.000556             1.26e-06 
                  240      0.0667967849638                0.118              2.2e-26                0.114                0.295                 0.19                  0.4             9.64e-05             1.29e-05              3.9e-06             0.000495              6.1e-07 
                  270      0.0749255286536                 0.12             2.16e-26                0.117                0.282                0.195                0.405             7.33e-05                1e-05             2.97e-06             0.000406             1.77e-07 
                  300      0.0842332977275                 0.12             2.18e-26                0.112                0.275                  0.2                0.413             5.81e-05             8.06e-06             2.35e-06             0.000332             3.81e-08 
                  350      0.0995458861259                 0.12             2.17e-26               0.0966                0.268                0.208                0.427             4.19e-05             5.95e-06             1.69e-06             0.000239             4.38e-08 
                  400       0.115275220164                 0.12             2.18e-26               0.0815                0.264                0.215                0.439             3.17e-05             4.59e-06             1.28e-06             0.000176             1.37e-07 
                  450         0.1312610094                 0.12             2.19e-26               0.0685                0.263                0.221                0.448             2.49e-05             3.66e-06             1.01e-06             0.000132              2.4e-07 
                  500       0.146608909698                 0.12             2.18e-26               0.0578                0.261                0.225                0.456                2e-05             2.99e-06             8.09e-07             0.000101             3.32e-07 
                  550       0.162439713158                 0.12             2.26e-26               0.0475                0.252                0.221                0.446             1.59e-05              2.4e-06             6.42e-07             7.63e-05             3.95e-07 
                  600       0.177827721842                 0.12             2.25e-26               0.0406                 0.25                0.223                 0.45             1.32e-05             2.03e-06             5.35e-07             6.04e-05             4.55e-07 
                  700       0.208788394286                 0.12             2.26e-26               0.0304                0.248                0.227                0.456             9.57e-06              1.5e-06             3.87e-07             3.95e-05             5.43e-07 
                  800       0.239387367205                 0.12             2.25e-26               0.0235                0.247                0.229                 0.46             7.22e-06             1.15e-06             2.92e-07             2.71e-05             6.01e-07 
                  900       0.270566282883                 0.12             2.27e-26               0.0186                0.246                 0.23                0.462             5.63e-06             9.12e-07             2.28e-07             1.93e-05              6.4e-07 
                 1000       0.301320429187                 0.12             2.27e-26                0.015                0.245                0.231                0.464              4.5e-06              7.4e-07             1.82e-07             1.42e-05             6.67e-07 
                 1200       0.361767872553                 0.12             2.26e-26               0.0103                0.243                0.233                0.466             3.06e-06             5.14e-07             1.24e-07             8.24e-06             6.99e-07 
                 1400       0.422534525551                 0.12             2.26e-26              0.00751                0.242                0.233                0.467              2.2e-06             3.78e-07             8.91e-08             5.16e-06             7.15e-07 
                 1600        0.48454266536                 0.12             2.28e-26              0.00569                0.241                0.233                0.467             1.66e-06             2.89e-07             6.71e-08             3.43e-06             7.24e-07 
                 1800       0.545181890253                 0.12             2.28e-26              0.00444                 0.24                0.233                0.467             1.29e-06             2.28e-07             5.22e-08             2.38e-06             7.29e-07 
                 2000       0.606426859799                 0.12             2.28e-26              0.00356                0.239                0.233                0.467             1.03e-06             1.85e-07             4.17e-08             1.71e-06             7.32e-07 
                 2200       0.668482245101                 0.12              2.3e-26              0.00291                0.238                0.233                0.467             8.42e-07             1.53e-07              3.4e-08             1.26e-06             7.33e-07 
                 2500       0.759684597367                 0.12              2.3e-26              0.00222                0.237                0.233                0.467             6.41e-07             1.18e-07             2.59e-08             8.42e-07             7.33e-07 
                 3000       0.916995611835                0.119             2.33e-26              0.00151                0.236                0.233                0.466             4.35e-07             8.18e-08             1.76e-08             4.69e-07             7.32e-07 
                 3500        1.06940838946                 0.12             2.33e-26              0.00109                0.235                0.232                0.465             3.13e-07                6e-08             1.27e-08             2.85e-07              7.3e-07 
                 4000        1.22264139212                 0.12             2.34e-26             0.000821                0.235                0.232                0.464             2.36e-07             4.58e-08                  0.0             1.84e-07             7.28e-07 
                 4500        1.38196606446                0.119             2.36e-26             0.000639                0.234                0.232                0.464             1.84e-07             3.62e-08                  0.0             1.25e-07             7.26e-07 
                 5000         1.5366179953                0.119             2.37e-26             0.000511                0.233                0.231                0.463             1.47e-07             2.92e-08                  0.0             8.81e-08             7.24e-07 
