# Matter power spectrum P(k) at redshift z=0
# for k=1.08243e-05 to 0.651284 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.082431557321e-05       4.630043795443e+01 
       2.418524333239e-05       1.005392909512e+02 
       3.759667334173e-05       1.538597526368e+02 
       5.109743623328e-05       2.068391669672e+02 
       6.472705279618e-05       2.598117975025e+02 
       7.852611301260e-05       3.130319011900e+02 
       9.253666808400e-05       3.667195839249e+02 
       1.068026410241e-04       4.210797264561e+02 
       1.213702614341e-04       4.763118013422e+02 
       1.362885301114e-04       5.326159297416e+02 
       1.516097191272e-04       5.901971905545e+02 
       1.673899128901e-04       6.492690531452e+02 
       1.836895953979e-04       7.100563889613e+02 
       2.005742882668e-04       7.727982698001e+02 
       2.181152430513e-04       8.377506953259e+02 
       2.363901896326e-04       9.051893136051e+02 
       2.554841397778e-04       9.754121719430e+02 
       2.754902410253e-04       1.048742479550e+03 
       2.965106703901e-04       1.125531366402e+03 
       3.186575495119e-04       1.206160545600e+03 
       3.420538522181e-04       1.291044782023e+03 
       3.668342614885e-04       1.380633980008e+03 
       3.931459150411e-04       1.475414675550e+03 
       4.211489571039e-04       1.575910591726e+03 
       4.510167888974e-04       1.682681903786e+03 
       4.829358835308e-04       1.796322698189e+03 
       5.171050056254e-04       1.917456124764e+03 
       5.537336574331e-04       2.046726583502e+03 
       5.930395694679e-04       2.184788473492e+03 
       6.352450749847e-04       2.332291024480e+03 
       6.805722652411e-04       2.489859014633e+03 
       7.292369255672e-04       2.658069631833e+03 
       7.814414032880e-04       2.837426268600e+03 
       8.373667474736e-04       3.028330695890e+03 
       8.971646604245e-04       3.231055764824e+03 
       9.609499681021e-04       3.445721206617e+03 
       1.028794399093e-03       3.672275392442e+03 
       1.100722414479e-03       3.910485572520e+03 
       1.176709636997e-03       4.159938145448e+03 
       1.256684111608e-03       4.420049672863e+03 
       1.340530255745e-03       4.690087478877e+03 
       1.428095012208e-03       4.969188254646e+03 
       1.519195477906e-03       5.256388645144e+03 
       1.613627189855e-03       5.550719034517e+03 
       1.711172303435e-03       5.851159247718e+03 
       1.811607057661e-03       6.156694201061e+03 
       1.914708132733e-03       6.466337016211e+03 
