# Matter power spectrum P(k) at redshift z=0
# for k=1.03817e-05 to 0.623064 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038166994683e-05       5.932658909821e+04 
       2.319496218807e-05       6.480291740252e+03 
       3.605280838041e-05       2.395708389096e+03 
       4.898944024373e-05       1.426571778674e+03 
       6.203964950264e-05       1.079217663664e+03 
       7.523909487629e-05       9.349421350573e+02 
       8.862461878208e-05       8.731016173917e+02 
       1.022345779247e-04       8.529603069197e+02 
       1.161091919748e-04       8.589021241997e+02 
       1.302909145734e-04       8.794861879815e+02 
       1.448248309084e-04       9.113648490516e+02 
       1.597590860543e-04       9.509679151389e+02 
       1.751453481017e-04       9.971764419587e+02 
       1.910393097627e-04       1.048815264994e+03 
       2.075012315209e-04       1.105314723591e+03 
       2.245965283913e-04       1.166454482727e+03 
       2.423964007989e-04       1.232096856795e+03 
       2.609785077688e-04       1.302181208465e+03 
       2.804276773008e-04       1.376882284866e+03 
       3.008366441527e-04       1.456338472629e+03 
       3.223067989337e-04       1.540800972100e+03 
       3.449489240233e-04       1.630610027058e+03 
       3.688838810179e-04       1.726129043637e+03 
       3.942432009081e-04       1.827791543158e+03 
       4.211695119911e-04       1.936059468215e+03 
       4.498167220622e-04       2.051453418073e+03 
       4.803498519007e-04       2.174534753239e+03 
       5.129443987335e-04       2.305882652830e+03 
       5.477850949569e-04       2.446119222286e+03 
       5.850639242820e-04       2.595871520996e+03 
       6.249772715353e-04       2.755755507645e+03 
       6.677221211627e-04       2.926367311810e+03 
       7.134912895407e-04       3.108258647131e+03 
       7.624677800524e-04       3.301915792456e+03 
       8.148184825950e-04       3.507718671013e+03 
       8.706875852580e-04       3.725945645379e+03 
       9.301901985277e-04       3.956705495638e+03 
       9.934067770385e-04       4.199973369937e+03 
       1.060378927227e-03       4.455523184563e+03 
       1.131107091303e-03       4.722987480453e+03 
       1.205550403142e-03       5.001799573446e+03 
       1.283628752622e-03       5.291273556439e+03 
       1.365226824959e-03       5.590579049849e+03 
       1.450199658519e-03       5.898758741023e+03 
       1.538379131761e-03       6.214876993074e+03 
       1.629580763662e-03       6.537922271761e+03 
       1.723610280089e-03       6.866868650163e+03 
       1.820269529579e-03       7.200695023522e+03 
       1.919361487688e-03       7.538440206647e+03 
       2.020694237064e-03       7.879188034714e+03 
       2.124083929643e-03       8.222086084727e+03 
       2.229356819493e-03       8.566310148582e+03 
       2.336350501182e-03       8.911192593494e+03 
       2.444914505755e-03       9.256022547604e+03 
       2.554910403288e-03       9.600238703251e+03 
       2.666211545703e-03       9.943291122400e+03 
       2.778702562424e-03       1.028472648795e+04 
       2.892278699132e-03       1.062414834837e+04 
       3.006845068936e-03       1.096115782728e+04 
       3.122315867149e-03       1.129545863284e+04 
       3.238613585902e-03       1.162675421309e+04 
       3.355668253136e-03       1.195483634692e+04 
       3.473416711538e-03       1.227949243792e+04 
       3.591801946398e-03       1.260048480279e+04 
       3.710772466661e-03       1.291770991925e+04 
       3.830281740181e-03       1.323106122329e+04 
       3.950287681996e-03       1.354038044333e+04 
       4.070752193092e-03       1.384555791795e+04 
       4.191640746319e-03       1.414658051596e+04 
       4.312922015727e-03       1.444335401780e+04 
       4.434567545465e-03       1.473580492492e+04 
       4.556551454468e-03       1.502394404441e+04 
       4.678850173292e-03       1.530768921398e+04 
       4.801442209725e-03       1.558705790289e+04 
       4.924307940059e-03       1.586196431975e+04 
       5.047429423194e-03       1.613252180412e+04 
       5.170790235004e-03       1.639867500363e+04 
       5.294375320696e-03       1.666039024028e+04 
       5.418170863091e-03       1.691772812534e+04 
       5.542164165034e-03       1.717066585970e+04 
       5.666343544314e-03       1.741925454292e+04 
       5.790698239656e-03       1.766351157181e+04 
       5.915218326549e-03       1.790339733434e+04 
       6.039894641783e-03       1.813904361439e+04 
       6.164718715716e-03       1.837038149103e+04 
       6.289682711415e-03       1.859752446024e+04 
       6.414779369902e-03       1.882040205599e+04 
       6.540001960832e-03       1.903918227175e+04 
       6.665344238013e-03       1.925377040672e+04 
       6.790800399242e-03       1.946422322559e+04 
       6.916365049995e-03       1.967065258883e+04 
       7.042033170558e-03       1.987307899274e+04 
       7.167800086245e-03       2.007145850838e+04 
       7.293661440374e-03       2.026592277145e+04 
       7.419613169712e-03       2.045639946372e+04 
       7.545651482156e-03       2.064300130240e+04 
       7.671772836406e-03       2.082589288458e+04 
       7.797973923431e-03       2.100479533874e+04 
       7.924251649570e-03       2.118006335947e+04 
       8.050603121084e-03       2.135147386799e+04 
       8.177025630036e-03       2.151924128643e+04 
       8.303516641364e-03       2.168343143965e+04 
       8.430073781032e-03       2.184391686695e+04 
       8.556694825170e-03       2.200084271973e+04 
       8.683377690099e-03       2.215428966731e+04 
       8.810120423161e-03       2.230425072820e+04 
       8.936921194294e-03       2.245071598501e+04 
       9.063778288266e-03       2.259373130384e+04 
       9.190690097527e-03       2.273337717878e+04 
       9.317655115617e-03       2.286968311777e+04 
       9.444671931075e-03       2.300267507527e+04 
       9.571739221827e-03       2.313239667356e+04 
       9.698855749984e-03       2.325888304655e+04 
       9.826020357046e-03       2.338217543293e+04 
       9.953231959447e-03       2.350232208390e+04 
       1.008048954445e-02       2.361931902245e+04 
       1.020779216631e-02       2.373322382644e+04 
       1.033513894277e-02       2.384409727749e+04 
       1.046252905174e-02       2.395189900348e+04 
       1.058996172829e-02       2.405676820466e+04 
       1.071743626178e-02       2.415867884606e+04 
       1.084495199328e-02       2.425762088399e+04 
       1.097250831309e-02       2.435370539169e+04 
       1.110010465848e-02       2.444694001693e+04 
       1.122774051159e-02       2.453734635521e+04 
       1.135541539748e-02       2.462500433954e+04 
       1.148312888224e-02       2.470985862329e+04 
       1.161088057139e-02       2.479204267359e+04 
       1.173867010821e-02       2.487148844103e+04 
       1.186649717232e-02       2.494829009912e+04 
       1.199436147830e-02       2.502247875715e+04 
       1.212226277443e-02       2.509406492961e+04 
       1.225020084149e-02       2.516309107570e+04 
       1.237817549165e-02       2.522957773932e+04 
       1.250618656749e-02       2.529356467839e+04 
       1.263423394102e-02       2.535507754690e+04 
       1.276231751282e-02       2.541415209871e+04 
       1.289043721120e-02       2.547080494601e+04 
       1.301859299147e-02       2.552504232034e+04 
       1.314678483523e-02       2.557695384497e+04 
       1.327501274974e-02       2.562652753095e+04 
       1.340327676730e-02       2.567382326119e+04 
       1.353157694471e-02       2.571885741003e+04 
       1.365991336281e-02       2.576163112825e+04 
       1.378828612595e-02       2.580215840094e+04 
       1.391669536164e-02       2.584052430693e+04 
       1.404514122010e-02       2.587671804553e+04 
       1.417362387399e-02       2.591078944925e+04 
       1.430214351805e-02       2.594274883867e+04 
       1.443070036881e-02       2.597260956784e+04 
       1.455929466439e-02       2.600042527534e+04 
       1.468792666427e-02       2.602621556837e+04 
       1.481659664908e-02       2.605004075891e+04 
       1.494530492045e-02       2.607183008971e+04 
       1.507405180088e-02       2.609169519928e+04 
       1.520283763364e-02       2.610964193533e+04 
       1.533166278266e-02       2.612569311424e+04 
       1.546052763248e-02       2.613984348758e+04 
       1.558943258824e-02       2.615217849128e+04 
       1.571837807560e-02       2.616267873725e+04 
       1.584736454082e-02       2.617135734825e+04 
       1.597639245070e-02       2.617823030910e+04 
       1.610546229271e-02       2.618338886426e+04 
       1.623457457499e-02       2.618680306302e+04 
       1.636372982647e-02       2.618850197005e+04 
       1.649292859695e-02       2.618845570730e+04 
       1.662217145724e-02       2.618690253444e+04 
       1.675145899928e-02       2.618361058945e+04 
       1.688079183631e-02       2.617876207485e+04 
       1.701017060303e-02       2.617224244449e+04 
       1.713959595580e-02       2.616416868665e+04 
       1.726906857285e-02       2.615463995751e+04 
       1.739858915449e-02       2.614347499689e+04 
       1.752815842338e-02       2.613090888584e+04 
       1.765777712474e-02       2.611676649274e+04 
       1.778744602668e-02       2.610123492642e+04 
       1.791716592045e-02       2.608420736320e+04 
       1.804693762076e-02       2.606574491481e+04 
       1.817676196612e-02       2.604596332004e+04 
       1.830663981916e-02       2.602478611365e+04 
       1.843657206698e-02       2.600220126012e+04 
       1.856655962156e-02       2.597831601512e+04 
       1.869660342012e-02       2.595316245818e+04 
       1.882670442554e-02       2.592665996823e+04 
       1.895686362679e-02       2.589889668213e+04 
       1.908708203936e-02       2.586990719354e+04 
       1.921736070573e-02       2.583964072124e+04 
       1.934770069585e-02       2.580818467470e+04 
       1.947810310763e-02       2.577556074103e+04 
       1.960856906747e-02       2.574172402249e+04 
       1.973909973076e-02       2.570676475043e+04 
       1.986969628250e-02       2.567062378109e+04 
       2.000035993778e-02       2.563337758858e+04 
       2.013109194245e-02       2.559504329165e+04 
       2.026189357371e-02       2.555564379681e+04 
       2.039276614073e-02       2.551520522955e+04 
       2.052371098532e-02       2.547365584383e+04 
       2.065472948259e-02       2.543113058394e+04 
       2.078582304166e-02       2.538757453728e+04 
       2.091699310641e-02       2.534306441679e+04 
       2.104824115616e-02       2.529756391233e+04 
       2.117956870649e-02       2.525111804555e+04 
       2.131097731003e-02       2.520372899979e+04 
       2.144246855724e-02       2.515541276839e+04 
       2.157404407731e-02       2.510621330003e+04 
       2.170570553898e-02       2.505613369155e+04 
       2.183745465148e-02       2.500513774890e+04 
       2.196929316542e-02       2.495331889953e+04 
       2.210122287378e-02       2.490069181770e+04 
       2.223324561286e-02       2.484729837272e+04 
       2.236536326334e-02       2.479303073402e+04 
       2.249757775129e-02       2.473796924267e+04 
       2.262989104926e-02       2.468215728480e+04 
       2.276230517741e-02       2.462559549074e+04 
       2.289482220466e-02       2.456829223268e+04 
       2.302744424984e-02       2.451027003742e+04 
       2.316017348297e-02       2.445150277424e+04 
       2.329301212647e-02       2.439207860721e+04 
       2.342596245648e-02       2.433202776785e+04 
       2.355902680424e-02       2.427123850687e+04 
       2.369220755740e-02       2.420984617638e+04 
       2.382550716152e-02       2.414781937976e+04 
       2.395892812151e-02       2.408513977803e+04 
       2.409247300316e-02       2.402187579336e+04 
       2.422614443471e-02       2.395805291485e+04 
       2.435994510848e-02       2.389361313880e+04 
       2.449387778252e-02       2.382861757799e+04 
       2.462794528239e-02       2.376309804006e+04 
       2.476215050290e-02       2.369703568391e+04 
       2.489649640996e-02       2.363040093101e+04 
       2.503098604251e-02       2.356333138112e+04 
       2.516562251448e-02       2.349573640597e+04 
       2.530040901681e-02       2.342767013752e+04 
       2.543534881958e-02       2.335915303828e+04 
       2.557044527415e-02       2.329014984639e+04 
       2.570570181544e-02       2.322072661452e+04 
       2.584112196425e-02       2.315087385292e+04 
       2.597670932965e-02       2.308052559818e+04 
       2.611246761148e-02       2.300985776929e+04 
       2.624840060291e-02       2.293879256204e+04 
       2.638451219313e-02       2.286731232392e+04 
       2.652080637009e-02       2.279545298779e+04 
       2.665728722336e-02       2.272309528408e+04 
       2.679395894708e-02       2.265070749491e+04 
       2.693082584305e-02       2.257782791155e+04 
       2.706789232387e-02       2.250458835369e+04 
       2.720516291626e-02       2.243102048579e+04 
       2.734264226444e-02       2.235706947160e+04 
       2.748033513372e-02       2.228306295295e+04 
       2.761824641408e-02       2.220869429504e+04 
       2.775638112408e-02       2.213388090332e+04 
       2.789474441473e-02       2.205904250186e+04 
       2.803334157361e-02       2.198383793727e+04 
       2.817217802914e-02       2.190836744044e+04 
       2.831125935498e-02       2.183265644053e+04 
       2.845059127465e-02       2.175676014618e+04 
       2.859017966625e-02       2.168060265033e+04 
       2.873003056746e-02       2.160424728992e+04 
       2.887015018070e-02       2.152771671401e+04 
       2.901054487843e-02       2.145100872727e+04 
       2.915122120882e-02       2.137409810350e+04 
       2.929218590148e-02       2.129701217934e+04 
       2.943344587353e-02       2.121978534889e+04 
       2.957500823590e-02       2.114234618138e+04 
       2.971688029988e-02       2.106480766093e+04 
       2.985906958394e-02       2.098702464962e+04 
       3.000158382087e-02       2.090925218197e+04 
       3.014443096518e-02       2.083133914099e+04 
       3.028761920086e-02       2.075328216933e+04 
       3.043115694949e-02       2.067509128768e+04 
       3.057505287863e-02       2.059681413842e+04 
       3.071931591063e-02       2.051843342264e+04 
       3.086395523190e-02       2.043998634643e+04 
       3.100898030244e-02       2.036140732612e+04 
       3.115440086597e-02       2.028280745606e+04 
       3.130022696040e-02       2.020404843604e+04 
       3.144646892888e-02       2.012535041970e+04 
       3.159313743127e-02       2.004643297064e+04 
       3.174024345624e-02       1.996746457119e+04 
       3.188779833390e-02       1.988871317164e+04 
       3.203581374903e-02       1.980977625133e+04 
       3.218430175500e-02       1.973070779243e+04 
       3.233327478833e-02       1.965173886459e+04 
       3.248274568397e-02       1.957268358391e+04 
       3.263272769136e-02       1.949359633538e+04 
       3.278323449133e-02       1.941449215683e+04 
       3.293428021378e-02       1.933533860125e+04 
       3.308587945637e-02       1.925628048159e+04 
       3.323804730411e-02       1.917718270813e+04 
       3.339079935000e-02       1.909804329080e+04 
       3.354415171681e-02       1.901894156569e+04 
       3.369812107996e-02       1.893979888444e+04 
       3.385272469169e-02       1.886064836283e+04 
       3.400798040654e-02       1.878169002018e+04 
       3.416390670826e-02       1.870261357961e+04 
       3.432052273822e-02       1.862355687012e+04 
       3.447784832542e-02       1.854451513631e+04 
       3.463590401822e-02       1.846543086069e+04 
       3.479471111797e-02       1.838660896080e+04 
       3.495429171452e-02       1.830765347794e+04 
       3.511466872392e-02       1.822877106679e+04 
       3.527586592832e-02       1.814986639667e+04 
       3.543790801838e-02       1.807106863719e+04 
       3.560082063818e-02       1.799227913981e+04 
       3.576463043302e-02       1.791349927587e+04 
       3.592936510017e-02       1.783469275452e+04 
       3.609505344291e-02       1.775600176799e+04 
       3.626172542802e-02       1.767750024330e+04 
