# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k)
# k [1/Mpc]                P_scalar(k)                P_gwb(k)                   ad x gwb                   P_tensor(k)
6.092349152400711479e-06   3.108472966703748450e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.818477997819399926e-10
6.191441755977847530e-06   3.106587792644086964e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.812322144970849705e-10
6.292146109610350494e-06   3.104703761872874674e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.806176216108849958e-10
6.394488428556936328e-06   3.102820873696748524e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.800040195234722095e-10
6.498495354469888561e-06   3.100939127422766494e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.793914066375580054e-10
6.604193962330304870e-06   3.099058522358407599e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.787797813584286871e-10
6.711611767496287034e-06   3.097179057811570233e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.781691420939415906e-10
6.820776732865692096e-06   3.095300733090572586e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.775594872545206899e-10
6.931717276155400522e-06   3.093423547504153055e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.769508152531526163e-10
7.044462277299036847e-06   3.091547500361467349e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.763431245053822641e-10
7.159041085964888522e-06   3.089672590972092213e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.757364134293090677e-10
7.275483529196232884e-06   3.087798818646022118e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.751306804455826081e-10
7.393819919175873038e-06   3.085926182693669674e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.745259239773986314e-10
7.514081061116962114e-06   3.084054682425867700e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.739221424504948096e-10
7.636298261282241959e-06   3.082184317153863431e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.733193342931466568e-10
7.760503335133570732e-06   3.080315086189325137e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.727174979361636513e-10
7.886728615614156015e-06   3.078446988844337163e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.721166318128849448e-10
8.015006961565413626e-06   3.076580024431400334e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.715167343591751751e-10
8.145371766280736623e-06   3.074714192263434034e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.709178040134210532e-10
8.277856966198472461e-06   3.072849491653773301e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.703198392165260393e-10
8.412497049736117495e-06   3.070985921916169661e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.697228384119076536e-10
8.549327066268385105e-06   3.069123482364790297e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.691268000454925655e-10
8.688382635251193879e-06   3.067262172314220532e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.685317225657129228e-10
8.829699955494083082e-06   3.065401991079458866e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.679376044235021639e-10
8.973315814583520257e-06   3.063542937975920285e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.673444440722908822e-10
9.119267598459298183e-06   3.061685012319434604e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.667522399680030003e-10
9.267593301146882451e-06   3.059828213426247711e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.661609905690517890e-10
9.418331534647961077e-06   3.057972540613018259e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.655706943363355766e-10
9.571521538991855843e-06   3.056117993196820971e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.649813497332340780e-10
9.727203192450536350e-06   3.054264570495143745e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.643929552256040523e-10
9.885417021919572908e-06   3.052412271825889314e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.638055092817755802e-10
1.004620421346813180e-05   3.050561096507372344e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.632190103725479801e-10
1.020960662306047607e-05   3.048711043858323574e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.626334569711858785e-10
1.037566678745184839e-05   3.046862113197885266e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.620488475534151783e-10
1.054442793526168364e-05   3.045014303845611615e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.614651805974188701e-10
1.071593399822671096e-05   3.043167615121470824e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.608824545838335696e-10
1.089022962263730465e-05   3.041322046345844269e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.603006679957452772e-10
1.106736018095974517e-05   3.039477596839524025e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.597198193186852429e-10
1.124737178364750747e-05   3.037634265923714512e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.591399070406264504e-10
1.143031129114478678e-05   3.035792052920032090e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.585609296519792227e-10
1.161622632608501823e-05   3.033950957150504226e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.579828856455878100e-10
1.180516528568805612e-05   3.032110977937569495e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.574057735167259439e-10
1.199717735435885557e-05   3.030272114604077995e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.568295917630933731e-10
1.219231251649109383e-05   3.028434366473289694e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.562543388848114176e-10
1.239062156947915659e-05   3.026597732868875252e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.556800133844197118e-10
1.259215613694150976e-05   3.024762213114915612e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.551066137668717063e-10
1.279696868215941599e-05   3.022927806535901585e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.545341385395313594e-10
1.300511252173409911e-05   3.021094512456734678e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.539625862121686912e-10
1.321664183946603801e-05   3.019262330202723783e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.533919552969562160e-10
1.343161170046015399e-05   3.017431259099588074e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.528222443084650136e-10
1.365007806546013744e-05   3.015601298473455353e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.522534517636609547e-10
1.387209780541621008e-05   3.013772447650862875e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.516855761819005142e-10
1.409772871628967692e-05   3.011944705958755283e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.511186160849273580e-10
1.432702953409829478e-05   3.010118072724487087e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.505525699968683630e-10
1.456005995020648581e-05   3.008292547275817702e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.499874364442292743e-10
1.479688062686396383e-05   3.006468128940917238e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.494232139558916029e-10
1.503755321299738461e-05   3.004644817048362366e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.488599010631085934e-10
1.528214036025870806e-05   3.002822610927135486e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.482974962995009848e-10
1.553070573933458561e-05   3.001001509906628455e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.477359982010538567e-10
1.578331405652116359e-05   2.999181513316637207e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.471754053061119250e-10
1.604003107056819902e-05   2.997362620487366302e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.466157161553768531e-10
1.630092360979741085e-05   2.995544830749425208e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.460569292919024444e-10
1.656605958949915094e-05   2.993728143433830775e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.454990432610915399e-10
1.683550802961200778e-05   2.991912557872003107e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.449420566106919861e-10
1.710933907269013374e-05   2.990098073395769694e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.443859678907924472e-10
1.738762400216250392e-05   2.988284689337363344e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.438307756538195617e-10
1.767043526088946659e-05   2.986472405029420114e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.432764784545331345e-10
1.795784647002096962e-05   2.984661219804983037e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.427230748500232932e-10
1.824993244816150412e-05   2.982851132997498807e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.421705633997061974e-10
1.854676923084697663e-05   2.981042143940817371e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.416189426653201094e-10
1.884843409033795474e-05   2.979234251969193166e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.410682112109222926e-10
1.915500555573527999e-05   2.977427456417285120e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.405183676028848233e-10
1.946656343342263208e-05   2.975621756620155827e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.399694104098909206e-10
1.978318882784162123e-05   2.973817151913269062e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.394213382029313790e-10
2.010496416260496873e-05   2.972013641632493506e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.388741495553004325e-10
2.043197320195270527e-05   2.970211225114100674e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.383278430425926527e-10
2.076430107255774669e-05   2.968409901694763682e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.377824172426987612e-10
2.110203428568596656e-05   2.966609670711558479e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.372378707358022691e-10
2.144526075971665420e-05   2.964810531501963025e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.366942021043754964e-10
2.179406984302953798e-05   2.963012483403856050e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.361514099331757976e-10
2.214855233726359179e-05   2.961215525755519533e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.356094928092423568e-10
2.250880052095461772e-05   2.959419657895635810e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.350684493218921549e-10
2.287490817355703940e-05   2.957624879163288812e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.345282780627162476e-10
2.324697059985645546e-05   2.955831188897962412e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.339889776255764563e-10
2.362508465477945136e-05   2.954038586439541665e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.334505466066010773e-10
2.400934876860651764e-05   2.952247071128311570e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.329129836041819867e-10
2.439986297259550131e-05   2.950456642304958307e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.323762872189705561e-10
2.479672892502160093e-05   2.948667299310566343e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.318404560538738786e-10
2.520004993764089510e-05   2.946879041486620915e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.313054887140516670e-10
2.560993100258456690e-05   2.945091868175005960e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.307713838069118076e-10
2.602647881969004482e-05   2.943305778718004532e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.302381399421076717e-10
2.644980182427719858e-05   2.941520772458299623e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.297057557315338767e-10
2.688001021537607461e-05   2.939736848738971689e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.291742297893227184e-10
2.731721598441373358e-05   2.937954006903499886e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.286435607318409145e-10
2.776153294436798261e-05   2.936172246295761655e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.281137471776855718e-10
2.821307675939470740e-05   2.934391566260031901e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.275847877476807738e-10
2.867196497493769796e-05   2.932611966140985055e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.270566810648741691e-10
2.913831704832788665e-05   2.930833445283689287e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.265294257545331456e-10
2.961225437988031288e-05   2.929056003033614361e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.260030204441413147e-10
3.009390034449724430e-05   2.927279638736623369e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.254774637633949441e-10
3.058338032378431524e-05   2.925504351738978101e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.249527543441994428e-10
3.108082173869063645e-05   2.923730141387336568e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.244288908206655863e-10
3.158635408267818854e-05   2.921957007028752586e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.239058718291064154e-10
3.210010895543168686e-05   2.920184948010675778e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.233836960080332549e-10
3.262222009711673420e-05   2.918413963680951572e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.228623619981520433e-10
3.315282342319423014e-05   2.916644053387822030e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.223418684423608509e-10
3.369205705980267201e-05   2.914875216479923365e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.218222139857445552e-10
3.424006137971425626e-05   2.913107452306286355e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.213033972755730313e-10
3.479697903887688269e-05   2.911340760216338411e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.207854169612968092e-10
3.536295501355046409e-05   2.909575139559899443e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.202682716945431964e-10
3.593813663804625562e-05   2.907810589687185163e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.197519601291141062e-10
3.652267364308175345e-05   2.906047109948804612e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.192364809209807853e-10
3.711671819475766804e-05   2.904284699695760151e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.187218327282817450e-10
3.772042493416993489e-05   2.902523358279449538e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.182080142113187805e-10
3.833395101766605309e-05   2.900763085051662197e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.176950240325529908e-10
3.895745615775500812e-05   2.899003879364582119e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.171828608566023479e-10
3.959110266468458876e-05   2.897245740570783311e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.166715233502370963e-10
