# Matter power spectrum P(k) at redshift z=0
# for k=1.49437e-05 to 0.897517 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.494374057022e-05       1.844504494377e+01 
       3.340441439774e-05       4.007006786192e+01 
       5.199800683729e-05       6.140108675310e+01 
       7.082752182411e-05       8.272188257708e+01 
       8.999942934294e-05       1.042212604136e+02 
       1.096256067791e-04       1.260597582361e+02 
       1.298254018734e-04       1.483896120285e+02 
       1.507278687437e-04       1.713640599997e+02 
       1.724742276541e-04       1.951431741863e+02 
       1.952205967284e-04       2.198983884027e+02 
       2.191410376666e-04       2.458165604016e+02 
       2.444309447489e-04       2.731039335362e+02 
       2.713107826392e-04       3.019901620609e+02 
       3.000301374724e-04       3.327324277134e+02 
       3.308719789765e-04       3.656195739697e+02 
       3.641569282999e-04       4.009760430781e+02 
       4.002471750662e-04       4.391652381977e+02 
       4.395494784301e-04       4.805917065491e+02 
       4.825164201817e-04       5.257012723798e+02 
       5.296447746068e-04       5.749779542001e+02 
       5.814695812868e-04       6.289362440003e+02 
       6.385523747867e-04       6.881072579780e+02 
       7.014622281595e-04       7.530175668948e+02 
       7.707490295116e-04       8.241603817374e+02 
       8.469098879701e-04       9.019603830548e+02 
       9.303516646392e-04       9.867356793934e+02 
       1.021354828616e-03       1.078662447425e+03 
       1.120045215292e-03       1.177749097882e+03 
       1.226379834982e-03       1.283825941921e+03 
       1.340150273176e-03       1.396553267255e+03 
       1.461003157026e-03       1.515446850763e+03 
       1.588473224259e-03       1.639915350734e+03 
       1.722022272312e-03       1.769302714321e+03 
       1.861077298178e-03       1.902928478643e+03 
       2.005062943458e-03       2.040121270987e+03 
       2.153425830092e-03       2.180243263942e+03 
       2.305650534008e-03       2.322705412518e+03 
       2.461268321838e-03       2.466975110004e+03 
       2.619860360986e-03       2.612578013586e+03 
       2.781057136725e-03       2.759096285090e+03 
       2.944535538940e-03       2.906164483813e+03 
       3.110014716028e-03       3.053464635754e+03 
       3.277251448473e-03       3.200720561354e+03 
       3.446035517054e-03       3.347693006398e+03 
       3.616185338660e-03       3.494174334243e+03 
       3.787544006160e-03       3.639984357792e+03 
       3.959975782289e-03       3.784966612033e+03 
       4.133363046248e-03       3.928984280482e+03 
       4.307603663898e-03       4.071918748111e+03 
       4.482608739400e-03       4.213665803416e+03 
       4.658300701976e-03       4.354138371120e+03 
       4.834611682349e-03       4.493275622040e+03 
       5.011482136843e-03       4.630979823842e+03 
       5.188859681692e-03       4.767188750289e+03 
       5.366698104956e-03       4.901848098925e+03 
       5.544956528044e-03       5.034908859714e+03 
       5.723598693106e-03       5.166327690519e+03 
       5.902592356268e-03       5.296066330110e+03 
       6.081908769896e-03       5.424090189227e+03 
       6.261522239830e-03       5.550368787422e+03 
       6.441409745815e-03       5.674873968218e+03 
       6.621550615314e-03       5.797582823957e+03 
       6.801926242487e-03       5.918478706152e+03 
       6.982519845467e-03       6.037532663335e+03 
       7.163316256188e-03       6.154730456170e+03 
       7.344301737933e-03       6.270065307161e+03 
       7.525463826560e-03       6.383517122624e+03 
       7.706791191989e-03       6.495079348587e+03 
       7.888273517068e-03       6.604741209395e+03 
       8.069901391397e-03       6.712495071429e+03 
       8.251666218039e-03       6.818336556121e+03 
       8.433560131372e-03       6.922261268252e+03 
       8.615575924588e-03       7.024264789607e+03 
       8.797706985574e-03       7.124345812622e+03 
       8.979947240083e-03       7.222504918459e+03 
       9.162291101262e-03       7.318738563579e+03 
       9.344733424743e-03       7.413051096957e+03 
       9.527269468601e-03       7.505445303703e+03 
       9.709894857585e-03       7.595920258245e+03 
       9.892605551118e-03       7.684482429782e+03 
       1.007539781460e-02       7.771132491601e+03 
       1.025826819364e-02       7.855883378414e+03 
       1.044121349089e-02       7.938732314529e+03 
       1.062423074518e-02       8.019682598269e+03 
       1.080731721266e-02       8.098768497949e+03 
       1.099047034977e-02       8.175969440580e+03 
       1.117368779787e-02       8.251307605075e+03 
       1.135696736926e-02       8.324783424808e+03 
       1.154030703451e-02       8.396417813231e+03 
       1.172370491095e-02       8.466214628496e+03 
       1.190715925221e-02       8.534187553695e+03 
       1.209066843868e-02       8.600348225190e+03 
       1.227423096879e-02       8.664706877185e+03 
       1.245784545110e-02       8.727277861320e+03 
       1.264151059701e-02       8.788075771218e+03 
       1.282522521416e-02       8.847111663909e+03 
       1.300898820030e-02       8.904401390527e+03 
       1.319279853777e-02       8.959957322034e+03 
       1.337665528833e-02       9.013797425251e+03 
       1.356055758852e-02       9.065933784883e+03 
       1.374450464532e-02       9.116380842900e+03 
       1.392849573218e-02       9.165158707394e+03 
       1.411253018538e-02       9.212277192446e+03 
       1.429660740066e-02       9.257757478697e+03 
       1.448072683014e-02       9.301613314149e+03 
       1.466488797945e-02       9.343864192896e+03 
       1.484909040513e-02       9.384526096481e+03 
       1.503333371217e-02       9.423613715515e+03 
       1.521761755177e-02       9.461146687011e+03 
       1.540194161932e-02       9.497145478324e+03 
       1.558630565244e-02       9.531623849904e+03 
       1.577070942926e-02       9.564601723633e+03 
       1.595515276678e-02       9.596097232249e+03 
       1.613963551938e-02       9.626127985334e+03 
       1.632415757743e-02       9.654710526678e+03 
       1.650871886601e-02       9.681866335152e+03 
       1.669331934377e-02       9.707613180806e+03 
       1.687795900182e-02       9.731970352550e+03 
       1.706263786272e-02       9.754952473115e+03 
       1.724735597963e-02       9.776582375510e+03 
       1.743211343542e-02       9.796878500045e+03 
       1.761691034190e-02       9.815856704165e+03 
       1.780174683914e-02       9.833538122775e+03 
       1.798662309485e-02       9.849943890801e+03 
       1.817153930373e-02       9.865087664088e+03 
       1.835649568703e-02       9.878986951634e+03 
       1.854149249198e-02       9.891672407440e+03 
       1.872652999145e-02       9.903147860939e+03 
       1.891160848348e-02       9.913442397246e+03 
       1.909672829103e-02       9.922569197555e+03 
       1.928188976161e-02       9.930552323863e+03 
       1.946709326703e-02       9.937402316184e+03 
       1.965233920321e-02       9.943145089074e+03 
       1.983762798996e-02       9.947796719681e+03 
       2.002296007082e-02       9.951374635024e+03 
       2.020833591295e-02       9.953896083860e+03 
       2.039375600704e-02       9.955381205753e+03 
       2.057922086721e-02       9.955847667217e+03 
       2.076473103102e-02       9.955311729464e+03 
       2.095028705940e-02       9.953793224632e+03 
       2.113588953673e-02       9.951307048667e+03 
       2.132153907082e-02       9.947873665875e+03 
       2.150723629302e-02       9.943509185714e+03 
       2.169298185826e-02       9.938230536225e+03 
       2.187877644522e-02       9.932053957816e+03 
       2.206462075639e-02       9.924999949815e+03 
       2.225051551828e-02       9.917080714947e+03 
       2.243646148157e-02       9.908317206920e+03 
       2.262245942130e-02       9.898727769601e+03 
       2.280851013711e-02       9.888320741378e+03 
       2.299461445345e-02       9.877124234706e+03 
       2.318077321983e-02       9.865143631036e+03 
       2.336698731114e-02       9.852402648416e+03 
       2.355325762789e-02       9.838910317849e+03 
       2.373958509653e-02       9.824683190635e+03 
       2.392597066984e-02       9.809741004713e+03 
       2.411241532720e-02       9.794093898173e+03 
       2.429892007501e-02       9.777758847404e+03 
       2.448548594707e-02       9.760753112836e+03 
       2.467211400497e-02       9.743085711465e+03 
       2.485880533854e-02       9.724773790694e+03 
       2.504556106628e-02       9.705836235660e+03 
       2.523238233583e-02       9.686284200280e+03 
       2.541927032443e-02       9.666132990626e+03 
       2.560622623948e-02       9.645390612426e+03 
       2.579325131901e-02       9.624074976674e+03 
       2.598034683221e-02       9.602205408481e+03 
       2.616751408006e-02       9.579784977351e+03 
       2.635475439586e-02       9.556833301936e+03 
       2.654206914583e-02       9.533365088884e+03 
       2.672945972975e-02       9.509381868279e+03 
       2.691692758162e-02       9.484900698026e+03 
       2.710447417029e-02       9.459948675023e+03 
       2.729210100016e-02       9.434523792641e+03 
       2.747980961192e-02       9.408641741933e+03 
       2.766760158324e-02       9.382307704165e+03 
       2.785547852955e-02       9.355539115850e+03 
       2.804344210482e-02       9.328348515385e+03 
       2.823149400235e-02       9.300758939955e+03 
       2.841963595562e-02       9.272766329724e+03 
       2.860786973914e-02       9.244382470733e+03 
       2.879619716931e-02       9.215615862825e+03 
       2.898462010534e-02       9.186481173681e+03 
       2.917314045021e-02       9.157003051967e+03 
       2.936176015160e-02       9.127165183704e+03 
       2.955048120289e-02       9.097001503954e+03 
       2.973930564418e-02       9.066505289482e+03 
       2.992823556337e-02       9.035692658248e+03 
       3.011727309720e-02       9.004578200942e+03 
       3.030642043239e-02       8.973163002525e+03 
       3.049567980680e-02       8.941472593210e+03 
       3.068505351059e-02       8.909502332577e+03 
       3.087454388744e-02       8.877260119542e+03 
       3.106415333582e-02       8.844772572753e+03 
       3.125388431029e-02       8.812009971131e+03 
       3.144373932278e-02       8.779020296678e+03 
       3.163372094402e-02       8.745795828088e+03 
       3.182383180493e-02       8.712339995423e+03 
       3.201407459804e-02       8.678666740100e+03 
       3.220445207906e-02       8.644804759555e+03 
       3.239496706834e-02       8.610739158857e+03 
       3.258562245251e-02       8.576471280702e+03 
       3.277642118612e-02       8.542028380435e+03 
       3.296736629328e-02       8.507409913330e+03 
       3.315846086945e-02       8.472631583051e+03 
       3.334970808320e-02       8.437663785637e+03 
       3.354111117808e-02       8.402564467647e+03 
       3.373267347449e-02       8.367299453865e+03 
       3.392439837166e-02       8.331908846270e+03 
       3.411628934970e-02       8.296384470825e+03 
       3.430834997163e-02       8.260731397915e+03 
       3.450058388558e-02       8.224957021033e+03 
       3.469299482698e-02       8.189069358471e+03 
       3.488558662086e-02       8.153074392936e+03 
       3.507836318422e-02       8.116962988334e+03 
       3.527132852846e-02       8.080777985597e+03 
       3.546448676191e-02       8.044492233566e+03 
       3.565784209240e-02       8.008124286067e+03 
       3.585139882998e-02       7.971700674169e+03 
       3.604516138964e-02       7.935166068683e+03 
       3.623913429425e-02       7.898590329300e+03 
       3.643332217743e-02       7.861952650431e+03 
       3.662772978668e-02       7.825255483713e+03 
       3.682236198647e-02       7.788500666542e+03 
       3.701722376157e-02       7.751705002074e+03 
       3.721232022037e-02       7.714877064214e+03 
       3.740765659842e-02       7.678011557043e+03 
       3.760323826199e-02       7.641100192753e+03 
       3.779907071184e-02       7.604156001148e+03 
       3.799515958708e-02       7.567228161442e+03 
       3.819151066916e-02       7.530251461790e+03 
       3.838812988603e-02       7.493272132893e+03 
       3.858502331639e-02       7.456279288702e+03 
       3.878219719419e-02       7.419270091476e+03 
       3.897965791317e-02       7.382266737195e+03 
       3.917741203170e-02       7.345270539412e+03 
       3.937546627766e-02       7.308295133255e+03 
       3.957382755360e-02       7.271310644179e+03 
