# Matter power spectrum P(k) at redshift z=0
# for k=1.31502e-05 to 0.791975 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.315016341013e-05       2.652067836774e+01 
       2.938874592572e-05       5.760145823171e+01 
       4.571788635658e-05       8.821063530105e+01 
       6.220750421928e-05       1.187194835657e+02 
       7.892934659091e-05       1.493611383733e+02 
       9.595800242483e-05       1.803251580995e+02 
       1.133719670588e-04       2.117848972572e+02 
       1.312547783430e-04       2.439094422803e+02 
       1.496962457984e-04       2.768704392077e+02 
       1.687937939167e-04       3.108468589098e+02 
       1.886539397015e-04       3.460288904153e+02 
       2.093939222095e-04       3.826214812566e+02 
       2.311434972724e-04       4.208477847326e+02 
       2.540469024942e-04       4.609526316572e+02 
       2.782649842549e-04       5.032060765590e+02 
       3.039774574787e-04       5.479069850542e+02 
       3.313852373664e-04       5.953865766840e+02 
       3.607127367038e-04       6.460117227411e+02 
       3.922099592297e-04       7.001877090835e+02 
       4.261541363594e-04       7.583600144324e+02 
       4.628505517318e-04       8.210144981341e+02 
       5.026320821312e-04       8.886751880908e+02 
       5.458568715145e-04       9.618987276172e+02 
       5.929034799679e-04       1.041264423480e+03 
       6.441628629741e-04       1.127358913958e+03 
       7.000267051337e-04       1.220754881759e+03 
       7.608720216564e-04       1.321983861406e+03 
       8.270425794014e-04       1.431504428149e+03 
       8.988285214526e-04       1.549668310295e+03 
       9.764464263128e-04       1.676688506444e+03 
       1.060022603234e-03       1.812614090743e+03 
       1.149582408563e-03       1.957315973193e+03 
       1.245047597255e-03       2.110487073948e+03 
       1.346242318062e-03       2.271657133965e+03 
       1.452906731410e-03       2.440219825937e+03 
       1.564715905454e-03       2.615468100125e+03 
       1.681301019065e-03       2.796632426691e+03 
       1.802270052427e-03       2.982917100935e+03 
       1.927225865471e-03       3.173531303834e+03 
       2.055780507091e-03       3.367712905335e+03 
       2.187565460392e-03       3.564744176390e+03 
       2.322238142679e-03       3.763962477835e+03 
       2.459485310924e-03       3.964763578726e+03 
       2.599024126382e-03       4.166604264208e+03 
       2.740601587445e-03       4.368997607145e+03 
       2.883992922131e-03       4.571511338435e+03 
       3.028999393259e-03       4.773763484781e+03 
       3.175445840231e-03       4.975416024374e+03 
       3.323178174729e-03       5.176171217459e+03 
       3.472060966290e-03       5.375767334593e+03 
       3.621975195323e-03       5.573973676237e+03 
       3.772816211254e-03       5.770586979853e+03 
       3.924491907590e-03       5.965429876951e+03 
       4.076921109805e-03       6.158343858339e+03 
       4.230032162883e-03       6.349215781742e+03 
       4.383761700861e-03       6.537895787790e+03 
       4.538053579043e-03       6.724278637053e+03 
       4.692857949672e-03       6.908266251236e+03 
       4.848130462881e-03       7.089778436769e+03 
       5.003831576368e-03       7.268739483133e+03 
       5.159925958941e-03       7.445087203739e+03 
       5.316381974913e-03       7.618764835768e+03 
       5.473171237954e-03       7.789722741240e+03 
       5.630268224598e-03       7.957918283628e+03 
       5.787649938922e-03       8.123314117522e+03 
       5.945295621177e-03       8.285884019235e+03 
       6.103186494156e-03       8.445595063700e+03 
       6.261305542016e-03       8.602428070550e+03 
       6.419637317029e-03       8.756369396951e+03 
       6.578167770426e-03       8.907404040272e+03 
       6.736884104016e-03       9.055523817877e+03 
       6.895774639796e-03       9.200715643355e+03 
       7.054828705126e-03       9.342985240368e+03 
       7.214036531429e-03       9.482327709134e+03 
       7.373389164640e-03       9.618744804323e+03 
       7.532878385891e-03       9.752241520902e+03 
       7.692496641135e-03       9.882829013684e+03 
       7.852236978572e-03       1.001051303356e+04 
