#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
90	-4.90	6.1039e+01	0.0000e+00	2.5551e+01	1.2589e-05	7.6843e-04	0.0000e+00	3.2166e-04	1.0901e-03
90	-4.85	8.2235e+01	1.2652e+00	2.7833e+01	1.4125e-05	1.1616e-03	1.7871e-05	3.9315e-04	1.5726e-03
90	-4.80	8.4567e+01	0.0000e+00	2.4807e+01	1.5849e-05	1.3403e-03	0.0000e+00	3.9316e-04	1.7335e-03
90	-4.75	9.2455e+01	1.0049e+00	4.0198e+01	1.7783e-05	1.6441e-03	1.7871e-05	7.1483e-04	2.3768e-03
90	-4.70	7.0758e+01	0.0000e+00	4.2991e+01	1.9953e-05	1.4118e-03	0.0000e+00	8.5779e-04	2.2696e-03
90	-4.65	6.3859e+01	7.9826e-01	6.0667e+01	2.2387e-05	1.4296e-03	1.7871e-05	1.3582e-03	2.8057e-03
90	-4.60	8.5374e+01	7.1144e-01	6.8299e+01	2.5119e-05	2.1445e-03	1.7871e-05	1.7156e-03	3.8779e-03
90	-4.55	6.7846e+01	0.0000e+00	8.2430e+01	2.8184e-05	1.9122e-03	0.0000e+00	2.3232e-03	4.2354e-03
90	-4.50	7.6856e+01	0.0000e+00	8.8159e+01	3.1623e-05	2.4304e-03	0.0000e+00	2.7878e-03	5.2182e-03
90	-4.45	8.0082e+01	0.0000e+00	1.0325e+02	3.5481e-05	2.8414e-03	0.0000e+00	3.6635e-03	6.5049e-03
90	-4.40	6.6885e+01	0.0000e+00	1.3556e+02	3.9811e-05	2.6628e-03	0.0000e+00	5.3969e-03	8.0597e-03
90	-4.35	7.8415e+01	0.0000e+00	1.4643e+02	4.4668e-05	3.5027e-03	0.0000e+00	6.5406e-03	1.0043e-02
90	-4.30	8.0227e+01	0.0000e+00	1.6794e+02	5.0119e-05	4.0209e-03	0.0000e+00	8.4171e-03	1.2438e-02
90	-4.25	6.3876e+01	0.0000e+00	1.8051e+02	5.6234e-05	3.5920e-03	0.0000e+00	1.0151e-02	1.3743e-02
90	-4.20	7.4491e+01	0.0000e+00	2.0591e+02	6.3096e-05	4.7000e-03	0.0000e+00	1.2992e-02	1.7692e-02
90	-4.15	6.9166e+01	0.0000e+00	2.4310e+02	7.0795e-05	4.8965e-03	0.0000e+00	1.7210e-02	2.2107e-02
90	-4.10	8.3017e+01	2.2497e-01	2.5985e+02	7.9433e-05	6.5942e-03	1.7870e-05	2.0641e-02	2.7253e-02
90	-4.05	7.3990e+01	4.0102e-01	2.9776e+02	8.9125e-05	6.5943e-03	3.5741e-05	2.6538e-02	3.3168e-02
90	-4.00	7.6843e+01	0.0000e+00	3.2131e+02	1.0000e-04	7.6843e-03	0.0000e+00	3.2131e-02	3.9816e-02
90	-3.95	7.1832e+01	1.5927e-01	3.7078e+02	1.1220e-04	8.0597e-03	1.7871e-05	4.1602e-02	4.9680e-02
90	-3.90	7.3815e+01	0.0000e+00	3.9703e+02	1.2589e-04	9.2928e-03	0.0000e+00	4.9983e-02	5.9276e-02
90	-3.85	7.6415e+01	1.2652e-01	4.2648e+02	1.4125e-04	1.0794e-02	1.7871e-05	6.0242e-02	7.1054e-02
90	-3.80	7.5208e+01	0.0000e+00	4.7684e+02	1.5849e-04	1.1920e-02	0.0000e+00	7.5575e-02	8.7494e-02
90	-3.75	7.4264e+01	2.0099e-01	5.2016e+02	1.7783e-04	1.3206e-02	3.5741e-05	9.2499e-02	1.0574e-01
90	-3.70	7.7654e+01	0.0000e+00	5.6632e+02	1.9953e-04	1.5494e-02	0.0000e+00	1.1300e-01	1.2849e-01
90	-3.65	7.0966e+01	7.9826e-02	5.9478e+02	2.2387e-04	1.5887e-02	1.7871e-05	1.3315e-01	1.4906e-01
90	-3.60	7.3279e+01	0.0000e+00	6.1213e+02	2.5119e-04	1.8407e-02	0.0000e+00	1.5376e-01	1.7217e-01
90	-3.55	7.5010e+01	0.0000e+00	6.5499e+02	2.8184e-04	2.1141e-02	0.0000e+00	1.8460e-01	2.0574e-01
90	-3.50	7.6066e+01	1.1302e-01	6.8124e+02	3.1623e-04	2.4054e-02	3.5741e-05	2.1543e-01	2.3952e-01
90	-3.45	7.4139e+01	5.0366e-02	6.8835e+02	3.5481e-04	2.6306e-02	1.7870e-05	2.4424e-01	2.7056e-01
90	-3.40	7.3125e+01	1.3467e-01	6.9178e+02	3.9811e-04	2.9112e-02	5.3612e-05	2.7540e-01	3.0457e-01
90	-3.35	7.3894e+01	1.2002e-01	6.9236e+02	4.4668e-04	3.3007e-02	5.3612e-05	3.0927e-01	3.4233e-01
90	-3.30	7.5592e+01	2.4960e-01	6.7798e+02	5.0119e-04	3.7886e-02	1.2510e-04	3.3979e-01	3.7781e-01
90	-3.25	7.3537e+01	2.2246e-01	6.5349e+02	5.6234e-04	4.1353e-02	1.2510e-04	3.6749e-01	4.0896e-01
90	-3.20	7.3555e+01	4.8150e-01	6.1887e+02	6.3096e-04	4.6410e-02	3.0381e-04	3.9048e-01	4.3719e-01
90	-3.15	7.6083e+01	4.7961e-01	5.7827e+02	7.0795e-04	5.3862e-02	3.3954e-04	4.0939e-01	4.6359e-01
90	-3.10	7.6561e+01	7.8743e-01	5.4225e+02	7.9433e-04	6.0814e-02	6.2548e-04	4.3073e-01	4.9217e-01
90	-3.05	7.2886e+01	7.0180e-01	5.0673e+02	8.9125e-04	6.4960e-02	6.2548e-04	4.5163e-01	5.1721e-01
90	-3.00	7.2393e+01	1.0186e+00	4.5993e+02	1.0000e-03	7.2393e-02	1.0186e-03	4.5993e-01	5.3334e-01
90	-2.95	7.3537e+01	1.1945e+00	4.1617e+02	1.1220e-03	8.2509e-02	1.3403e-03	4.6695e-01	5.5080e-01
90	-2.90	7.3771e+01	1.3769e+00	3.7976e+02	1.2589e-03	9.2873e-02	1.7335e-03	4.7809e-01	5.7269e-01
90	-2.85	7.3846e+01	1.6067e+00	3.3917e+02	1.4125e-03	1.0431e-01	2.2696e-03	4.7909e-01	5.8567e-01
90	-2.80	7.4971e+01	1.9620e+00	3.0813e+02	1.5849e-03	1.1882e-01	3.1095e-03	4.8836e-01	6.1029e-01
90	-2.75	7.4958e+01	2.8039e+00	2.7762e+02	1.7783e-03	1.3330e-01	4.9861e-03	4.9369e-01	6.3197e-01
90	-2.70	7.3516e+01	3.4035e+00	2.5210e+02	1.9953e-03	1.4668e-01	6.7909e-03	5.0300e-01	6.5648e-01
90	-2.65	7.3383e+01	4.1669e+00	2.3077e+02	2.2387e-03	1.6428e-01	9.3286e-03	5.1664e-01	6.9025e-01
90	-2.60	7.3185e+01	5.2789e+00	2.1506e+02	2.5119e-03	1.8383e-01	1.3260e-02	5.4021e-01	7.3730e-01
90	-2.55	7.3356e+01	5.6622e+00	2.0169e+02	2.8184e-03	2.0674e-01	1.5958e-02	5.6843e-01	7.9114e-01
90	-2.50	7.3029e+01	6.4707e+00	1.9267e+02	3.1623e-03	2.3094e-01	2.0462e-02	6.0927e-01	8.6067e-01
90	-2.45	7.3952e+01	7.2830e+00	1.8657e+02	3.5481e-03	2.6239e-01	2.5841e-02	6.6198e-01	9.5022e-01
90	-2.40	7.1799e+01	8.5155e+00	1.8349e+02	3.9811e-03	2.8584e-01	3.3901e-02	7.3048e-01	1.0502e+00
90	-2.35	7.2377e+01	9.4296e+00	1.8243e+02	4.4668e-03	3.2330e-01	4.2121e-02	8.1487e-01	1.1803e+00
