#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
95	-7.02	1.8433e+02	0.0000e+00	0.0000e+00	9.5499e-08	1.7603e-05	0.0000e+00	0.0000e+00	1.7603e-05
95	-6.97	0.0000e+00	0.0000e+00	0.0000e+00	1.0715e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.92	0.0000e+00	0.0000e+00	0.0000e+00	1.2023e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.87	0.0000e+00	0.0000e+00	0.0000e+00	1.3490e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.82	0.0000e+00	0.0000e+00	0.0000e+00	1.5136e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.77	0.0000e+00	0.0000e+00	0.0000e+00	1.6982e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.72	5.5430e+02	0.0000e+00	0.0000e+00	1.9055e-07	1.0562e-04	0.0000e+00	0.0000e+00	1.0562e-04
95	-6.67	0.0000e+00	0.0000e+00	0.0000e+00	2.1380e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.62	0.0000e+00	0.0000e+00	0.0000e+00	2.3988e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.57	0.0000e+00	0.0000e+00	0.0000e+00	2.6915e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.52	1.1658e+02	0.0000e+00	0.0000e+00	3.0200e-07	3.5207e-05	0.0000e+00	0.0000e+00	3.5207e-05
95	-6.47	0.0000e+00	0.0000e+00	0.0000e+00	3.3884e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.42	9.2604e+01	0.0000e+00	0.0000e+00	3.8019e-07	3.5207e-05	0.0000e+00	0.0000e+00	3.5207e-05
95	-6.37	0.0000e+00	0.0000e+00	0.0000e+00	4.2658e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.32	1.4712e+02	0.0000e+00	0.0000e+00	4.7863e-07	7.0414e-05	0.0000e+00	0.0000e+00	7.0414e-05
95	-6.27	0.0000e+00	0.0000e+00	0.0000e+00	5.3703e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.22	1.1686e+02	0.0000e+00	0.0000e+00	6.0256e-07	7.0414e-05	0.0000e+00	0.0000e+00	7.0414e-05
95	-6.17	1.3019e+02	0.0000e+00	0.0000e+00	6.7608e-07	8.8018e-05	0.0000e+00	0.0000e+00	8.8018e-05
95	-6.12	0.0000e+00	0.0000e+00	0.0000e+00	7.5858e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
95	-6.07	1.0341e+02	0.0000e+00	0.0000e+00	8.5114e-07	8.8017e-05	0.0000e+00	0.0000e+00	8.8017e-05
95	-6.02	1.8433e+02	0.0000e+00	0.0000e+00	9.5499e-07	1.7603e-04	0.0000e+00	0.0000e+00	1.7603e-04
95	-5.97	3.2856e+01	0.0000e+00	0.0000e+00	1.0715e-06	3.5206e-05	0.0000e+00	0.0000e+00	3.5206e-05
95	-5.92	5.8567e+01	0.0000e+00	0.0000e+00	1.2023e-06	7.0413e-05	0.0000e+00	0.0000e+00	7.0413e-05
95	-5.87	1.3050e+02	0.0000e+00	0.0000e+00	1.3490e-06	1.7603e-04	0.0000e+00	0.0000e+00	1.7603e-04
95	-5.82	5.8152e+01	0.0000e+00	0.0000e+00	1.5136e-06	8.8016e-05	0.0000e+00	0.0000e+00	8.8016e-05
95	-5.77	8.2925e+01	1.0366e+01	0.0000e+00	1.6982e-06	1.4083e-04	1.7603e-05	0.0000e+00	1.5843e-04
95	-5.72	3.6954e+01	0.0000e+00	0.0000e+00	1.9055e-06	7.0415e-05	0.0000e+00	0.0000e+00	7.0415e-05
95	-5.67	4.1169e+01	0.0000e+00	0.0000e+00	2.1380e-06	8.8018e-05	0.0000e+00	0.0000e+00	8.8018e-05
95	-5.62	8.0722e+01	0.0000e+00	0.0000e+00	2.3988e-06	1.9364e-04	0.0000e+00	0.0000e+00	1.9364e-04
95	-5.57	6.5402e+01	0.0000e+00	0.0000e+00	2.6915e-06	1.7603e-04	0.0000e+00	0.0000e+00	1.7603e-04
95	-5.52	4.0804e+01	0.0000e+00	0.0000e+00	3.0200e-06	1.2323e-04	0.0000e+00	0.0000e+00	1.2323e-04
95	-5.47	6.2342e+01	0.0000e+00	0.0000e+00	3.3884e-06	2.1124e-04	0.0000e+00	0.0000e+00	2.1124e-04
95	-5.42	7.4082e+01	0.0000e+00	9.2604e+00	3.8019e-06	2.8165e-04	0.0000e+00	3.5207e-05	3.1686e-04
95	-5.37	4.1266e+01	0.0000e+00	4.1266e+00	4.2658e-06	1.7603e-04	0.0000e+00	1.7603e-05	1.9364e-04
95	-5.32	8.4592e+01	0.0000e+00	7.3558e+00	4.7863e-06	4.0488e-04	0.0000e+00	3.5207e-05	4.4009e-04
95	-5.27	5.2447e+01	0.0000e+00	6.5557e+00	5.3703e-06	2.8166e-04	0.0000e+00	3.5206e-05	3.1686e-04
95	-5.22	7.5956e+01	2.9214e+00	0.0000e+00	6.0256e-06	4.5768e-04	1.7603e-05	0.0000e+00	4.7529e-04
