#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
70	-7.15	0.0000e+00	0.0000e+00	0.0000e+00	7.0795e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-7.10	0.0000e+00	0.0000e+00	0.0000e+00	7.9433e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-7.05	0.0000e+00	0.0000e+00	0.0000e+00	8.9125e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-7.00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.95	0.0000e+00	0.0000e+00	0.0000e+00	1.1220e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.90	0.0000e+00	0.0000e+00	0.0000e+00	1.2589e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.85	0.0000e+00	0.0000e+00	0.0000e+00	1.4125e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.80	0.0000e+00	0.0000e+00	0.0000e+00	1.5849e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.75	0.0000e+00	0.0000e+00	0.0000e+00	1.7783e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.70	0.0000e+00	0.0000e+00	0.0000e+00	1.9953e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.65	0.0000e+00	0.0000e+00	0.0000e+00	2.2387e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.60	0.0000e+00	0.0000e+00	0.0000e+00	2.5119e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.55	0.0000e+00	0.0000e+00	0.0000e+00	2.8184e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.50	0.0000e+00	0.0000e+00	0.0000e+00	3.1623e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.45	0.0000e+00	0.0000e+00	0.0000e+00	3.5481e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.40	0.0000e+00	0.0000e+00	0.0000e+00	3.9811e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.35	0.0000e+00	0.0000e+00	0.0000e+00	4.4668e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.30	0.0000e+00	0.0000e+00	0.0000e+00	5.0119e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.25	0.0000e+00	0.0000e+00	0.0000e+00	5.6234e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.20	0.0000e+00	0.0000e+00	0.0000e+00	6.3096e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.15	0.0000e+00	0.0000e+00	0.0000e+00	7.0795e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.10	0.0000e+00	0.0000e+00	0.0000e+00	7.9433e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.05	0.0000e+00	0.0000e+00	0.0000e+00	8.9125e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.95	0.0000e+00	0.0000e+00	0.0000e+00	1.1220e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.90	0.0000e+00	0.0000e+00	0.0000e+00	1.2589e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.85	0.0000e+00	0.0000e+00	0.0000e+00	1.4125e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.80	0.0000e+00	0.0000e+00	0.0000e+00	1.5849e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.75	0.0000e+00	0.0000e+00	0.0000e+00	1.7783e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.70	0.0000e+00	0.0000e+00	0.0000e+00	1.9953e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.65	0.0000e+00	0.0000e+00	0.0000e+00	2.2387e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.60	0.0000e+00	1.7121e+02	0.0000e+00	2.5119e-06	0.0000e+00	4.3006e-04	0.0000e+00	4.3006e-04
70	-5.55	0.0000e+00	6.1036e+02	0.0000e+00	2.8184e-06	0.0000e+00	1.7202e-03	0.0000e+00	1.7202e-03
70	-5.50	0.0000e+00	1.7680e+03	0.0000e+00	3.1623e-06	0.0000e+00	5.5908e-03	0.0000e+00	5.5908e-03
70	-5.45	4.8483e-01	1.4652e+03	0.0000e+00	3.5481e-06	1.7202e-06	5.1986e-03	0.0000e+00	5.2003e-03
70	-5.40	0.0000e+00	2.1822e+03	0.0000e+00	3.9811e-06	0.0000e+00	8.6875e-03	0.0000e+00	8.6875e-03
70	-5.35	0.0000e+00	1.2813e+03	0.0000e+00	4.4668e-06	0.0000e+00	5.7233e-03	0.0000e+00	5.7233e-03
70	-5.30	0.0000e+00	1.9907e+03	0.0000e+00	5.0119e-06	0.0000e+00	9.9771e-03	0.0000e+00	9.9771e-03
70	-5.25	0.0000e+00	1.5525e+03	0.0000e+00	5.6234e-06	0.0000e+00	8.7303e-03	0.0000e+00	8.7303e-03
70	-5.20	0.0000e+00	1.5222e+03	0.0000e+00	6.3096e-06	0.0000e+00	9.6041e-03	0.0000e+00	9.6041e-03
70	-5.15	0.0000e+00	2.0674e+03	0.0000e+00	7.0795e-06	0.0000e+00	1.4636e-02	0.0000e+00	1.4636e-02
70	-5.10	2.1657e-01	1.7908e+03	0.0000e+00	7.9433e-06	1.7203e-06	1.4225e-02	0.0000e+00	1.4227e-02
70	-5.05	0.0000e+00	1.5478e+03	1.9301e-01	8.9125e-06	0.0000e+00	1.3795e-02	1.7202e-06	1.3796e-02
70	-5.00	1.7202e-01	1.2549e+03	0.0000e+00	1.0000e-05	1.7202e-06	1.2549e-02	0.0000e+00	1.2551e-02
70	-4.95	0.0000e+00	1.3576e+03	1.5332e-01	1.1220e-05	0.0000e+00	1.5233e-02	1.7203e-06	1.5235e-02
70	-4.90	1.3664e-01	1.3596e+03	0.0000e+00	1.2589e-05	1.7202e-06	1.7116e-02	0.0000e+00	1.7118e-02
70	-4.85	2.4356e-01	1.1806e+03	0.0000e+00	1.4125e-05	3.4404e-06	1.6676e-02	0.0000e+00	1.6679e-02
70	-4.80	0.0000e+00	1.2525e+03	1.0854e-01	1.5849e-05	0.0000e+00	1.9850e-02	1.7202e-06	1.9852e-02
70	-4.75	9.6736e-02	1.1393e+03	0.0000e+00	1.7783e-05	1.7202e-06	2.0259e-02	0.0000e+00	2.0261e-02
70	-4.70	2.5866e-01	1.1061e+03	2.5866e-01	1.9953e-05	5.1609e-06	2.2069e-02	5.1609e-06	2.2079e-02
70	-4.65	0.0000e+00	9.0719e+02	1.5368e-01	2.2387e-05	0.0000e+00	2.0309e-02	3.4405e-06	2.0313e-02
70	-4.60	6.8483e-02	1.1027e+03	6.8483e-02	2.5119e-05	1.7202e-06	2.7699e-02	1.7202e-06	2.7703e-02
70	-4.55	1.8311e-01	8.5525e+02	6.1036e-02	2.8184e-05	5.1607e-06	2.4104e-02	1.7202e-06	2.4111e-02
70	-4.50	0.0000e+00	6.8946e+02	5.4398e-02	3.1623e-05	0.0000e+00	2.1803e-02	1.7202e-06	2.1804e-02
70	-4.45	4.8483e-02	6.8254e+02	4.8483e-02	3.5481e-05	1.7202e-06	2.4218e-02	1.7202e-06	2.4221e-02
70	-4.40	4.3211e-02	6.1497e+02	1.2963e-01	3.9811e-05	1.7203e-06	2.4482e-02	5.1607e-06	2.4489e-02
70	-4.35	7.7023e-02	5.3754e+02	7.7023e-02	4.4668e-05	3.4405e-06	2.4011e-02	3.4405e-06	2.4018e-02
70	-4.30	0.0000e+00	6.1123e+02	1.3729e-01	5.0119e-05	0.0000e+00	3.0634e-02	6.8810e-06	3.0641e-02
70	-4.25	3.0591e-02	5.0472e+02	6.1181e-02	5.6234e-05	1.7202e-06	2.8383e-02	3.4405e-06	2.8388e-02
70	-4.20	1.3632e-01	3.2038e+02	1.3632e-01	6.3096e-05	8.6013e-06	2.0214e-02	8.6013e-06	2.0232e-02
70	-4.15	2.4299e-02	3.9869e+02	1.2150e-01	7.0795e-05	1.7202e-06	2.8225e-02	8.6012e-06	2.8235e-02
70	-4.10	2.1657e-02	3.3027e+02	1.5160e-01	7.9433e-05	1.7203e-06	2.6234e-02	1.2042e-05	2.6248e-02
70	-4.05	3.8604e-02	3.1364e+02	9.6507e-02	8.9125e-05	3.4405e-06	2.7953e-02	8.6012e-06	2.7965e-02
70	-4.00	5.1608e-02	3.4834e+02	1.5482e-01	1.0000e-04	5.1608e-06	3.4834e-02	1.5482e-05	3.4855e-02
70	-3.95	3.0663e-02	3.2247e+02	9.1989e-02	1.1220e-04	3.4405e-06	3.6182e-02	1.0321e-05	3.6196e-02
70	-3.90	4.0993e-02	3.2831e+02	1.7764e-01	1.2589e-04	5.1607e-06	4.1332e-02	2.2363e-05	4.1359e-02
70	-3.85	1.3396e-01	2.5987e+02	1.2178e-01	1.4125e-04	1.8923e-05	3.6708e-02	1.7202e-05	3.6744e-02
70	-3.80	1.0854e-01	2.1291e+02	1.0854e-01	1.5849e-04	1.7202e-05	3.3744e-02	1.7202e-05	3.3779e-02
70	-3.75	1.1608e-01	2.0477e+02	9.6736e-02	1.7783e-04	2.0643e-05	3.6413e-02	1.7202e-05	3.6451e-02
70	-3.70	4.3107e-02	1.8672e+02	6.8973e-02	1.9953e-04	8.6011e-06	3.7255e-02	1.3762e-05	3.7278e-02
70	-3.65	6.1473e-02	1.9715e+02	1.1526e-01	2.2387e-04	1.3762e-05	4.4136e-02	2.5804e-05	4.4176e-02
70	-3.60	5.4788e-02	1.4894e+02	1.0273e-01	2.5119e-04	1.3762e-05	3.7412e-02	2.5804e-05	3.7451e-02
70	-3.55	8.5451e-02	1.5412e+02	1.0987e-01	2.8184e-04	2.4083e-05	4.3436e-02	3.0964e-05	4.3491e-02
