#m_DM	E	dN/dE (electrons)	dN/dE (photons)	dN/dE (others)
7.00e+01	3.981e-03	3.1997e-03	6.5161e-01	5.4505e-03
7.00e+01	4.467e-03	2.9894e-03	6.9326e-01	5.9788e-03
7.00e+01	5.012e-03	3.0324e-03	5.4616e-01	5.8720e-03
7.00e+01	5.623e-03	3.2494e-03	5.3170e-01	5.8270e-03
7.00e+01	6.310e-03	3.7453e-03	4.2750e-01	6.1262e-03
7.00e+01	7.079e-03	3.3877e-03	4.2211e-01	6.1921e-03
7.00e+01	7.943e-03	3.6275e-03	4.0244e-01	6.2597e-03
7.00e+01	8.913e-03	3.3020e-03	3.0520e-01	6.3774e-03
7.00e+01	1.000e-02	3.4173e-03	2.7492e-01	6.4657e-03
7.00e+01	1.122e-02	3.4137e-03	2.4343e-01	6.7413e-03
7.00e+01	1.259e-02	3.5170e-03	2.2231e-01	6.8176e-03
7.00e+01	1.413e-02	3.3957e-03	2.0573e-01	6.6359e-03
7.00e+01	1.585e-02	3.7359e-03	1.9212e-01	6.7956e-03
7.00e+01	1.778e-02	3.1666e-03	1.7612e-01	6.4913e-03
7.00e+01	1.995e-02	3.1657e-03	1.6219e-01	6.7452e-03
7.00e+01	2.239e-02	3.1000e-03	1.0404e-01	7.3263e-03
7.00e+01	2.512e-02	3.3190e-03	1.2601e-01	7.1521e-03
7.00e+01	2.818e-02	3.2417e-03	1.1798e-01	7.3374e-03
7.00e+01	3.162e-02	3.4087e-03	1.0195e-01	6.9618e-03
7.00e+01	3.548e-02	3.3276e-03	7.1747e-02	7.1307e-03
7.00e+01	3.981e-02	3.1048e-03	6.6165e-02	7.1651e-03
7.00e+01	4.467e-02	3.0051e-03	5.6771e-02	7.1175e-03
7.00e+01	5.012e-02	3.8194e-03	5.8472e-02	7.2251e-03
7.00e+01	5.623e-02	3.1900e-03	5.7169e-02	6.8815e-03
7.00e+01	6.310e-02	2.9559e-03	4.6004e-02	6.8140e-03
7.00e+01	7.079e-02	2.9149e-03	4.4975e-02	6.8721e-03
7.00e+01	7.943e-02	3.0204e-03	3.6800e-02	6.7574e-03
7.00e+01	8.913e-02	2.9630e-03	3.6832e-02	6.6307e-03
7.00e+01	1.000e-01	2.9096e-03	2.8430e-02	6.6519e-03
7.00e+01	1.122e-01	2.9306e-03	3.1433e-02	6.5267e-03
7.00e+01	1.259e-01	2.8561e-03	2.2627e-02	6.4882e-03
7.00e+01	1.413e-01	2.8391e-03	2.1073e-02	6.3921e-03
7.00e+01	1.585e-01	2.8158e-03	1.8367e-02	6.3793e-03
7.00e+01	1.778e-01	2.8351e-03	1.5213e-02	6.3436e-03
7.00e+01	1.995e-01	2.8205e-03	1.6944e-02	6.2266e-03
7.00e+01	2.239e-01	2.7343e-03	1.0311e-02	6.1204e-03
7.00e+01	2.512e-01	2.7297e-03	1.2632e-02	5.9647e-03
7.00e+01	2.818e-01	2.6878e-03	9.8819e-03	6.0495e-03
7.00e+01	3.162e-01	2.7375e-03	8.1888e-03	5.9300e-03
7.00e+01	3.548e-01	2.6787e-03	1.0869e-02	5.9368e-03
7.00e+01	3.981e-01	2.7007e-03	6.7838e-03	5.8592e-03
7.00e+01	4.467e-01	2.6110e-03	7.0949e-03	5.7530e-03
7.00e+01	5.012e-01	2.6136e-03	5.4152e-03	5.7719e-03
7.00e+01	5.623e-01	2.6468e-03	5.6247e-03	5.6849e-03
7.00e+01	6.310e-01	2.6642e-03	5.2958e-03	5.7086e-03
7.00e+01	7.079e-01	2.6787e-03	5.4276e-03	5.6399e-03
7.00e+01	7.943e-01	2.6026e-03	4.4459e-03	5.6274e-03
7.00e+01	8.913e-01	2.6015e-03	3.5421e-03	5.6333e-03
7.00e+01	1.000e+00	2.5279e-03	3.1885e-03	5.5783e-03
7.00e+01	1.122e+00	2.5796e-03	2.8712e-03	5.5607e-03
7.00e+01	1.259e+00	2.5573e-03	2.5478e-03	5.5806e-03
7.00e+01	1.413e+00	2.5474e-03	2.0988e-03	5.5622e-03
7.00e+01	1.585e+00	2.5343e-03	1.6562e-03	5.5332e-03
7.00e+01	1.778e+00	2.5207e-03	1.8935e-03	5.4858e-03
7.00e+01	1.995e+00	2.5252e-03	1.5036e-03	5.4937e-03
7.00e+01	2.239e+00	2.5101e-03	1.4572e-03	5.4557e-03
7.00e+01	2.512e+00	2.5093e-03	1.0997e-03	5.4700e-03
7.00e+01	2.818e+00	2.4865e-03	9.9535e-04	5.4365e-03
7.00e+01	3.162e+00	2.4905e-03	9.0675e-04	5.4263e-03
7.00e+01	3.548e+00	2.4796e-03	8.5009e-04	5.3982e-03
7.00e+01	3.981e+00	2.4744e-03	7.1225e-04	5.3885e-03
7.00e+01	4.467e+00	2.4658e-03	6.0543e-04	5.3784e-03
7.00e+01	5.012e+00	2.4524e-03	6.1615e-04	5.3636e-03
7.00e+01	5.623e+00	2.4540e-03	5.0790e-04	5.3228e-03
7.00e+01	6.310e+00	2.4303e-03	3.9398e-04	5.2983e-03
7.00e+01	7.079e+00	2.4236e-03	4.8673e-04	5.2451e-03
7.00e+01	7.943e+00	2.3848e-03	2.9561e-04	5.2049e-03
7.00e+01	8.913e+00	2.3740e-03	2.6641e-04	5.1555e-03
7.00e+01	1.000e+01	2.3513e-03	2.7432e-04	5.1213e-03
7.00e+01	1.122e+01	2.3297e-03	2.0823e-04	5.0433e-03
7.00e+01	1.259e+01	2.2947e-03	2.2316e-04	4.9564e-03
7.00e+01	1.413e+01	2.2662e-03	1.7684e-04	4.8564e-03
7.00e+01	1.585e+01	2.2105e-03	1.7599e-04	4.7196e-03
7.00e+01	1.778e+01	2.1571e-03	1.3483e-04	4.5782e-03
7.00e+01	1.995e+01	2.0932e-03	1.0989e-04	4.4073e-03
7.00e+01	2.239e+01	2.0129e-03	1.0791e-04	4.1970e-03
7.00e+01	2.512e+01	1.9197e-03	8.5685e-05	3.9494e-03
7.00e+01	2.818e+01	1.8116e-03	7.8309e-05	3.6500e-03
7.00e+01	3.162e+01	1.6777e-03	5.7428e-05	3.2935e-03
7.00e+01	3.548e+01	1.5198e-03	5.6602e-05	2.8954e-03
7.00e+01	3.981e+01	1.3363e-03	4.7443e-05	2.4428e-03
7.00e+01	4.467e+01	1.1162e-03	3.6384e-05	1.9487e-03
7.00e+01	5.012e+01	8.6362e-04	2.6731e-05	1.4257e-03
7.00e+01	5.623e+01	5.8804e-04	3.0463e-05	8.9255e-04
7.00e+01	6.310e+01	2.9294e-04	1.5778e-05	3.8583e-04
7.00e+01	7.079e+01	3.4882e-05	8.0659e-06	3.8510e-05
7.50e+01	7.586e-08	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	8.511e-08	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	9.550e-08	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.072e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.202e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.349e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.514e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.698e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.905e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	2.138e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	2.399e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	2.692e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	3.020e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	3.388e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	3.802e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	4.266e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	4.786e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	5.370e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	6.026e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	6.761e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	7.586e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	8.511e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	9.550e-07	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.072e-06	8.1993e-02	0.0000e+00	0.0000e+00
8.00e+01	7.943e-08	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	8.913e-08	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.000e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.122e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.259e-07	0.0000e+00	0.0000e+00	0.0000e+00
