#m_DM	E	dN/dE (electrons)	dN/dE (photons)	dN/dE (others)
8.00e+01	6.310e+00	2.1482e-03	4.1715e-04	4.6607e-03
8.00e+01	7.079e+00	2.1310e-03	4.2877e-04	4.6251e-03
8.00e+01	7.943e+00	2.1234e-03	3.6820e-04	4.6067e-03
8.00e+01	8.913e+00	2.0978e-03	2.4623e-04	4.5632e-03
8.00e+01	1.000e+01	2.0856e-03	2.2862e-04	4.5209e-03
8.00e+01	1.122e+01	2.0652e-03	2.7047e-04	4.4630e-03
8.00e+01	1.259e+01	2.0315e-03	1.9125e-04	4.4036e-03
8.00e+01	1.413e+01	2.0164e-03	1.7789e-04	4.3216e-03
8.00e+01	1.585e+01	1.9908e-03	1.6170e-04	4.2328e-03
8.00e+01	1.778e+01	1.9404e-03	1.3850e-04	4.1297e-03
8.00e+01	1.995e+01	1.8882e-03	1.1285e-04	3.9962e-03
8.00e+01	2.239e+01	1.8322e-03	1.0195e-04	3.8605e-03
8.00e+01	2.512e+01	1.7661e-03	8.8614e-05	3.6717e-03
8.00e+01	2.818e+01	1.6839e-03	6.9858e-05	3.4453e-03
8.00e+01	3.162e+01	1.5853e-03	6.9366e-05	3.1906e-03
8.00e+01	3.548e+01	1.4693e-03	5.7714e-05	2.8817e-03
8.00e+01	3.981e+01	1.3289e-03	5.1293e-05	2.5419e-03
8.00e+01	4.467e+01	1.1662e-03	3.9582e-05	2.1448e-03
8.00e+01	5.012e+01	9.7497e-04	3.1836e-05	1.7141e-03
8.00e+01	5.623e+01	7.5253e-04	2.5690e-05	1.2524e-03
8.00e+01	6.310e+01	5.1110e-04	2.7339e-05	7.7935e-04
8.00e+01	7.079e+01	2.5345e-04	1.4632e-05	3.3692e-04
8.00e+01	7.943e+01	2.9767e-05	6.5147e-06	3.3308e-05
7.50e+01	1.202e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.349e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.514e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.698e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	1.905e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	2.138e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	2.399e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	2.692e-06	0.0000e+00	0.0000e+00	0.0000e+00
7.50e+01	3.020e-06	0.0000e+00	3.4736e+01	0.0000e+00
7.50e+01	3.388e-06	0.0000e+00	2.7380e+01	0.0000e+00
7.50e+01	3.802e-06	0.0000e+00	7.5103e+01	0.0000e+00
7.50e+01	4.266e-06	0.0000e+00	6.6936e+01	0.0000e+00
7.50e+01	4.786e-06	0.0000e+00	6.8834e+01	0.0000e+00
7.50e+01	5.370e-06	0.0000e+00	7.7708e+01	0.0000e+00
7.50e+01	6.026e-06	0.0000e+00	9.4774e+01	0.0000e+00
7.50e+01	6.761e-06	0.0000e+00	6.4975e+01	0.0000e+00
7.50e+01	7.586e-06	0.0000e+00	1.0424e+02	0.0000e+00
7.50e+01	8.511e-06	0.0000e+00	7.4836e+01	0.0000e+00
7.50e+01	9.550e-06	9.1997e-03	1.0297e+02	0.0000e+00
7.50e+01	1.072e-05	0.0000e+00	6.9677e+01	0.0000e+00
7.50e+01	1.202e-05	1.4615e-02	5.8468e+01	0.0000e+00
7.50e+01	1.349e-05	0.0000e+00	6.6751e+01	6.5129e-03
7.50e+01	1.514e-05	0.0000e+00	5.8470e+01	0.0000e+00
7.50e+01	1.698e-05	0.0000e+00	6.3322e+01	5.1734e-03
7.50e+01	1.905e-05	0.0000e+00	4.6915e+01	0.0000e+00
7.50e+01	2.138e-05	0.0000e+00	4.3510e+01	4.1094e-03
7.50e+01	2.399e-05	0.0000e+00	4.5341e+01	0.0000e+00
7.50e+01	2.692e-05	3.2642e-03	3.7368e+01	6.5284e-03
7.50e+01	3.020e-05	0.0000e+00	3.6473e+01	2.9092e-03
7.50e+01	3.388e-05	0.0000e+00	3.7845e+01	7.7785e-03
7.50e+01	3.802e-05	2.3109e-03	4.0662e+01	2.3109e-03
7.50e+01	4.266e-05	0.0000e+00	3.3983e+01	4.1191e-03
7.50e+01	4.786e-05	0.0000e+00	3.0194e+01	1.8356e-03
7.50e+01	5.370e-05	4.9079e-03	2.6108e+01	1.1452e-02
7.50e+01	6.026e-05	0.0000e+00	2.3731e+01	8.7483e-03
7.50e+01	6.761e-05	6.4975e-03	2.4021e+01	6.4975e-03
7.50e+01	7.586e-05	0.0000e+00	1.8336e+01	5.7909e-03
7.50e+01	8.511e-05	2.0645e-03	1.3238e+01	5.1611e-03
7.50e+01	9.550e-05	2.7599e-03	1.2835e+01	2.7599e-03
7.50e+01	1.072e-04	1.6399e-03	1.2544e+01	5.7395e-03
7.50e+01	1.202e-04	4.3846e-03	1.3163e+01	5.1153e-03
7.50e+01	1.349e-04	3.9077e-03	1.4104e+01	3.9077e-03
7.50e+01	1.514e-04	3.4828e-03	1.3052e+01	5.2242e-03
7.50e+01	1.698e-04	3.1040e-03	1.1489e+01	3.6214e-03
7.50e+01	1.905e-04	1.3832e-03	9.3225e+00	5.9940e-03
7.50e+01	2.138e-04	2.8766e-03	8.0396e+00	4.5203e-03
7.50e+01	2.399e-04	2.1975e-03	8.1431e+00	2.5637e-03
7.50e+01	2.692e-04	3.5906e-03	6.8143e+00	4.2434e-03
7.50e+01	3.020e-04	3.2001e-03	7.8293e+00	6.6912e-03
7.50e+01	3.388e-04	3.6300e-03	5.9739e+00	4.6671e-03
7.50e+01	3.802e-04	1.1554e-03	6.2795e+00	4.8528e-03
7.50e+01	4.266e-04	4.3251e-03	4.8076e+00	4.7370e-03
7.50e+01	4.786e-04	3.6712e-03	5.0486e+00	5.8739e-03
7.50e+01	5.370e-04	3.2719e-03	4.0186e+00	6.5439e-03
7.50e+01	6.026e-04	3.0619e-03	3.8945e+00	3.9368e-03
7.50e+01	6.761e-04	3.3787e-03	3.7193e+00	4.4183e-03
7.50e+01	7.586e-04	3.0113e-03	3.3610e+00	5.0960e-03
7.50e+01	8.511e-04	2.6838e-03	2.7783e+00	5.9869e-03
7.50e+01	9.550e-04	2.7599e-03	2.5536e+00	5.5198e-03
7.50e+01	1.072e-03	3.0337e-03	3.0086e+00	4.7556e-03
7.50e+01	1.202e-03	2.9961e-03	2.0193e+00	4.8961e-03
7.50e+01	1.349e-03	3.6472e-03	1.8094e+00	5.0149e-03
7.50e+01	1.514e-03	2.6701e-03	1.9749e+00	5.6305e-03
7.50e+01	1.698e-03	3.0006e-03	1.4306e+00	4.5526e-03
7.50e+01	1.905e-03	2.9509e-03	1.2877e+00	5.6713e-03
7.50e+01	2.138e-03	2.8766e-03	1.5569e+00	5.6298e-03
7.50e+01	2.399e-03	2.9300e-03	1.1330e+00	4.9443e-03
7.50e+01	2.692e-03	2.8072e-03	9.9838e-01	4.7984e-03
7.50e+01	3.020e-03	2.6765e-03	9.7121e-01	5.2366e-03
7.50e+01	3.388e-03	3.2410e-03	8.7202e-01	4.8486e-03
7.50e+01	3.802e-03	2.5420e-03	6.0961e-01	5.0377e-03
7.50e+01	4.266e-03	2.7804e-03	7.4099e-01	5.3755e-03
7.50e+01	4.786e-03	2.9002e-03	6.4352e-01	5.3048e-03
7.50e+01	5.370e-03	3.1247e-03	4.9594e-01	5.5296e-03
7.50e+01	6.026e-03	2.6245e-03	4.7770e-01	5.7593e-03
7.50e+01	6.761e-03	2.6120e-03	3.9325e-01	5.4969e-03
7.50e+01	7.586e-03	3.0113e-03	3.6399e-01	5.8025e-03
7.50e+01	8.511e-03	3.3960e-03	3.7022e-01	5.5947e-03
7.50e+01	9.550e-03	2.8151e-03	2.9758e-01	6.2834e-03
7.50e+01	1.072e-02	3.1157e-03	2.7433e-01	6.1085e-03
7.50e+01	1.202e-02	3.0838e-03	2.2111e-01	6.0726e-03
7.50e+01	1.349e-02	3.0611e-03	2.2301e-01	6.2850e-03
7.50e+01	1.514e-02	3.0823e-03	1.8136e-01	6.2632e-03
7.50e+01	1.698e-02	3.0420e-03	1.7528e-01	6.2857e-03
7.50e+01	1.905e-02	2.8126e-03	1.6224e-01	6.1231e-03
7.50e+01	2.138e-02	2.7944e-03	1.2187e-01	5.8805e-03
7.50e+01	2.399e-02	2.8457e-03	1.2829e-01	6.2079e-03
7.50e+01	2.692e-02	2.9019e-03	9.6871e-02	6.1660e-03
7.50e+01	3.020e-02	2.9325e-03	1.0544e-01	6.1239e-03
7.50e+01	3.388e-02	2.8780e-03	8.9606e-02	6.4069e-03
7.50e+01	3.802e-02	3.0457e-03	7.8378e-02	6.5975e-03
7.50e+01	4.266e-02	2.9163e-03	5.8413e-02	6.3167e-03
7.50e+01	4.786e-02	3.0361e-03	6.4455e-02	6.3034e-03
7.50e+01	5.370e-02	2.9971e-03	5.6400e-02	6.3394e-03
7.50e+01	6.026e-02	2.8593e-03	4.6519e-02	6.3119e-03
7.50e+01	6.761e-02	2.7679e-03	4.5585e-02	6.2675e-03
7.50e+01	7.586e-02	2.9001e-03	3.8655e-02	6.3028e-03
7.50e+01	8.511e-02	2.6848e-03	3.4209e-02	6.0416e-03
7.50e+01	9.550e-02	2.7332e-03	3.2098e-02	6.0323e-03
7.50e+01	1.072e-01	2.7541e-03	2.4884e-02	6.0683e-03
7.50e+01	1.202e-01	2.6644e-03	2.7128e-02	5.8249e-03
7.50e+01	1.349e-01	2.5244e-03	2.3838e-02	5.7528e-03
7.50e+01	1.514e-01	2.5802e-03	1.9180e-02	5.8522e-03
7.50e+01	1.698e-01	2.5313e-03	1.8234e-02	5.7425e-03
7.50e+01	1.905e-01	2.5839e-03	1.6347e-02	5.6708e-03
7.50e+01	2.138e-01	2.5400e-03	1.3178e-02	5.7194e-03
7.50e+01	2.399e-01	2.5685e-03	1.1689e-02	5.6556e-03
7.50e+01	2.692e-01	2.4984e-03	1.1215e-02	5.5112e-03
7.50e+01	3.020e-01	2.5348e-03	9.3819e-03	5.5205e-03
7.50e+01	3.388e-01	2.5127e-03	9.1112e-03	5.5124e-03
7.50e+01	3.802e-01	2.6141e-03	7.3865e-03	5.3996e-03
7.50e+01	4.266e-01	2.4896e-03	7.5607e-03	5.3808e-03
7.50e+01	4.786e-01	2.4995e-03	6.0161e-03	5.3087e-03
7.50e+01	5.370e-01	2.4054e-03	5.4977e-03	5.3220e-03
7.50e+01	6.026e-01	2.4561e-03	5.2696e-03	5.3021e-03
7.50e+01	6.761e-01	2.4239e-03	5.1625e-03	5.2688e-03
7.50e+01	7.586e-01	2.4354e-03	4.6889e-03	5.2553e-03
7.50e+01	8.511e-01	2.4066e-03	4.1328e-03	5.2044e-03
7.50e+01	9.550e-01	2.3628e-03	3.3083e-03	5.1836e-03
7.50e+01	1.072e+00	2.4126e-03	3.4278e-03	5.1407e-03
7.50e+01	1.202e+00	2.3541e-03	2.8568e-03	5.1904e-03
7.50e+01	1.349e+00	2.3500e-03	2.5906e-03	5.1810e-03
7.50e+01	1.514e+00	2.3511e-03	1.8834e-03	5.1983e-03
7.50e+01	1.698e+00	2.3540e-03	1.8000e-03	5.1396e-03
7.50e+01	1.905e+00	2.3646e-03	1.7057e-03	5.1096e-03
7.50e+01	2.138e+00	2.3570e-03	1.3894e-03	5.1271e-03
7.50e+01	2.399e+00	2.3373e-03	1.3192e-03	5.0957e-03
7.50e+01	2.692e+00	2.3411e-03	1.1611e-03	5.0995e-03
7.50e+01	3.020e+00	2.3293e-03	9.5963e-04	5.0793e-03
7.50e+01	3.388e+00	2.3270e-03	8.6564e-04	5.0421e-03
7.50e+01	3.802e+00	2.3190e-03	8.2096e-04	5.0371e-03
7.50e+01	4.266e+00	2.2940e-03	6.7090e-04	5.0286e-03
7.50e+01	4.786e+00	2.2882e-03	6.2693e-04	5.0218e-03
7.50e+01	5.370e+00	2.2757e-03	5.6784e-04	4.9950e-03
7.50e+01	6.026e+00	2.2777e-03	4.3631e-04	4.9647e-03
7.50e+01	6.761e+00	2.2674e-03	4.2626e-04	4.9312e-03
7.50e+01	7.586e+00	2.2492e-03	4.0463e-04	4.9025e-03
7.50e+01	8.511e+00	2.2302e-03	2.6679e-04	4.8791e-03
7.50e+01	9.550e+00	2.2242e-03	2.4813e-04	4.8194e-03
7.50e+01	1.072e+01	2.2063e-03	2.8377e-04	4.7556e-03
7.50e+01	1.202e+01	2.1796e-03	1.8704e-04	4.6892e-03
7.50e+01	1.349e+01	2.1401e-03	1.8781e-04	4.6083e-03
7.50e+01	1.514e+01	2.1143e-03	1.5675e-04	4.5252e-03
7.50e+01	1.698e+01	2.0615e-03	1.4152e-04	4.4048e-03
7.50e+01	1.905e+01	2.0135e-03	1.1787e-04	4.2765e-03
7.50e+01	2.138e+01	1.9527e-03	1.1104e-04	4.1140e-03
7.50e+01	2.399e+01	1.8834e-03	1.0255e-04	3.9103e-03
7.50e+01	2.692e+01	1.8029e-03	8.1605e-05	3.6818e-03
7.50e+01	3.020e+01	1.6941e-03	6.8195e-05	3.4024e-03
7.50e+01	3.388e+01	1.5699e-03	5.5098e-05	3.0820e-03
7.50e+01	3.802e+01	1.4173e-03	5.2464e-05	2.7076e-03
7.50e+01	4.266e+01	1.2435e-03	4.4281e-05	2.2898e-03
7.50e+01	4.786e+01	1.0407e-03	3.7171e-05	1.8261e-03
7.50e+01	5.370e+01	8.0822e-04	2.5358e-05	1.3319e-03
7.50e+01	6.026e+01	5.4955e-04	2.4058e-05	8.2815e-04
7.50e+01	6.761e+01	2.7207e-04	1.6244e-05	3.5833e-04
7.50e+01	7.586e+01	3.2122e-05	7.2386e-06	3.5424e-05
