#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
50	-7.30	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.25	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.20	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.15	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.10	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.05	0.0000e+00	0.0000e+00	0.0000e+00
50	-7.00	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.95	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.90	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.85	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.80	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.75	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.70	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.65	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.60	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.55	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.50	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.45	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.40	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.35	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.30	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.25	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.20	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.15	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.10	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.05	0.0000e+00	0.0000e+00	0.0000e+00
50	-6.00	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.95	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.90	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.85	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.80	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.75	0.0000e+00	0.0000e+00	0.0000e+00
50	-5.70	4.3636e-02	2.6182e+00	0.0000e+00
50	-5.65	0.0000e+00	1.1123e+01	0.0000e+00
50	-5.60	0.0000e+00	5.3344e+01	0.0000e+00
50	-5.55	0.0000e+00	7.1607e+01	0.0000e+00
50	-5.50	2.7532e-02	1.2767e+02	0.0000e+00
50	-5.45	0.0000e+00	1.0149e+02	0.0000e+00
50	-5.40	2.1870e-02	1.2606e+02	0.0000e+00
50	-5.35	0.0000e+00	1.2706e+02	0.0000e+00
50	-5.30	0.0000e+00	1.2223e+02	0.0000e+00
50	-5.25	0.0000e+00	9.4738e+01	0.0000e+00
50	-5.20	0.0000e+00	8.3635e+01	0.0000e+00
50	-5.15	0.0000e+00	6.1737e+01	0.0000e+00
50	-5.10	0.0000e+00	7.7581e+01	0.0000e+00
50	-5.05	0.0000e+00	9.8431e+01	0.0000e+00
50	-5.00	0.0000e+00	8.2921e+01	0.0000e+00
50	-4.95	7.7597e-03	8.6288e+01	0.0000e+00
50	-4.90	0.0000e+00	8.0894e+01	0.0000e+00
50	-4.85	0.0000e+00	6.4781e+01	0.0000e+00
50	-4.80	5.4934e-03	4.5321e+01	0.0000e+00
50	-4.75	1.4688e-02	5.8752e+01	4.8960e-03
50	-4.70	0.0000e+00	5.1521e+01	0.0000e+00
50	-4.65	3.8891e-03	5.7142e+01	0.0000e+00
50	-4.60	0.0000e+00	5.4806e+01	6.9323e-03
50	-4.55	0.0000e+00	4.1302e+01	6.1784e-03
50	-4.50	5.5065e-03	4.0899e+01	2.7532e-03
50	-4.45	9.8153e-03	3.4084e+01	0.0000e+00
50	-4.40	2.1870e-03	3.6792e+01	4.3740e-03
50	-4.35	5.8474e-03	2.9923e+01	3.8983e-03
50	-4.30	5.2115e-03	4.2158e+01	8.6859e-03
50	-4.25	1.5483e-03	2.7335e+01	4.6448e-03
50	-4.20	1.1039e-02	2.4958e+01	8.2793e-03
50	-4.15	3.6895e-03	2.3299e+01	6.1491e-03
50	-4.10	3.2883e-03	1.9053e+01	8.7687e-03
50	-4.05	3.9075e-03	2.1553e+01	4.8844e-03
50	-4.00	1.7413e-03	1.7430e+01	3.4826e-03
50	-3.95	3.8798e-03	1.2592e+01	3.1039e-03
50	-3.90	4.8411e-03	1.4893e+01	7.6074e-03
50	-3.85	7.3965e-03	1.5573e+01	1.0478e-02
50	-3.80	6.0428e-03	1.1332e+01	7.6908e-03
50	-3.75	2.9376e-03	9.2153e+00	7.8337e-03
