#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
65	-7.19	0.0000e+00	0.0000e+00	0.0000e+00
65	-7.14	0.0000e+00	0.0000e+00	0.0000e+00
65	-7.09	0.0000e+00	0.0000e+00	0.0000e+00
65	-7.04	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.99	2.5291e+01	0.0000e+00	0.0000e+00
65	-6.94	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.89	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.84	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.79	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.74	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.69	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.64	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.59	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.54	8.9736e+00	0.0000e+00	0.0000e+00
65	-6.49	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.44	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.39	6.3528e+00	0.0000e+00	0.0000e+00
65	-6.34	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.29	5.0462e+00	0.0000e+00	0.0000e+00
65	-6.24	1.4991e+00	1.4991e+00	0.0000e+00
65	-6.19	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.14	2.3816e+00	0.0000e+00	0.0000e+00
65	-6.09	1.0613e+00	0.0000e+00	0.0000e+00
65	-6.04	7.5672e+00	0.0000e+00	0.0000e+00
65	-5.99	8.4303e-01	0.0000e+00	0.0000e+00
65	-5.94	3.0054e+00	0.0000e+00	0.0000e+00
65	-5.89	2.6786e+00	0.0000e+00	0.0000e+00
65	-5.84	4.1777e+00	0.0000e+00	0.0000e+00
65	-5.79	3.1915e+00	0.0000e+00	0.0000e+00
65	-5.74	1.4222e+00	0.0000e+00	0.0000e+00
65	-5.69	2.1126e+00	0.0000e+00	0.0000e+00
65	-5.64	4.8954e+00	0.0000e+00	0.0000e+00
65	-5.59	3.3562e+00	0.0000e+00	0.0000e+00
65	-5.54	4.4868e+00	0.0000e+00	0.0000e+00
65	-5.49	2.9325e+00	0.0000e+00	0.0000e+00
65	-5.44	2.3760e+00	2.3760e-01	4.7520e-01
65	-5.39	4.4470e+00	0.0000e+00	2.1176e-01
65	-5.34	3.9634e+00	0.0000e+00	1.8873e-01
65	-5.29	4.2052e+00	0.0000e+00	1.6821e-01
65	-5.24	2.6985e+00	0.0000e+00	1.4991e-01
65	-5.19	2.6722e+00	1.3361e-01	5.3445e-01
65	-5.14	4.6442e+00	0.0000e+00	3.5724e-01
65	-5.09	2.5472e+00	0.0000e+00	4.2453e-01
65	-5.04	2.9323e+00	0.0000e+00	5.6754e-01
65	-4.99	3.7093e+00	0.0000e+00	4.2152e-01
65	-4.94	3.3060e+00	7.5135e-02	6.0108e-01
65	-4.89	3.8839e+00	0.0000e+00	6.0268e-01
65	-4.84	3.4616e+00	0.0000e+00	9.5491e-01
65	-4.79	2.7128e+00	5.3192e-02	1.7021e+00
65	-4.74	3.5555e+00	0.0000e+00	1.8489e+00
65	-4.69	2.6196e+00	0.0000e+00	2.1548e+00
65	-4.64	3.6904e+00	0.0000e+00	2.1841e+00
65	-4.59	3.2555e+00	3.3562e-02	2.7185e+00
65	-4.54	3.8287e+00	0.0000e+00	2.8715e+00
65	-4.49	3.5990e+00	0.0000e+00	3.2257e+00
65	-4.44	3.8491e+00	0.0000e+00	3.4214e+00
65	-4.39	3.7270e+00	0.0000e+00	4.9340e+00
65	-4.34	3.5859e+00	0.0000e+00	5.6242e+00
65	-4.29	2.9604e+00	0.0000e+00	6.5264e+00
65	-4.24	3.4031e+00	0.0000e+00	7.5557e+00
65	-4.19	3.3136e+00	2.6722e-02	8.6714e+00
65	-4.14	3.5129e+00	0.0000e+00	9.5622e+00
65	-4.09	2.9823e+00	0.0000e+00	1.1133e+01
65	-4.04	3.6133e+00	0.0000e+00	1.2543e+01
65	-3.99	3.4143e+00	1.6861e-02	1.4930e+01
65	-3.94	3.2984e+00	0.0000e+00	1.6079e+01
65	-3.89	3.3750e+00	6.6964e-03	1.8047e+01
65	-3.84	3.2527e+00	0.0000e+00	1.9928e+01
65	-3.79	3.4468e+00	0.0000e+00	2.1069e+01
65	-3.74	3.4086e+00	4.7407e-03	2.3476e+01
65	-3.69	3.2534e+00	4.2252e-03	2.4789e+01
65	-3.64	3.4494e+00	0.0000e+00	2.6198e+01
65	-3.59	3.4535e+00	0.0000e+00	2.8091e+01
65	-3.54	3.3142e+00	0.0000e+00	2.9287e+01
65	-3.49	3.5483e+00	2.6659e-03	2.9997e+01
65	-3.44	3.4167e+00	4.7520e-03	3.0177e+01
