#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
70	-2.10	3.6275e-03	4.0244e-01	6.2597e-03
70	-2.05	3.3020e-03	3.0520e-01	6.3774e-03
70	-2.00	3.4173e-03	2.7492e-01	6.4657e-03
70	-1.95	3.4137e-03	2.4343e-01	6.7413e-03
70	-1.90	3.5170e-03	2.2231e-01	6.8176e-03
70	-1.85	3.3957e-03	2.0573e-01	6.6359e-03
70	-1.80	3.7359e-03	1.9212e-01	6.7956e-03
70	-1.75	3.1666e-03	1.7612e-01	6.4913e-03
70	-1.70	3.1657e-03	1.6219e-01	6.7452e-03
70	-1.65	3.1000e-03	1.0404e-01	7.3263e-03
70	-1.60	3.3190e-03	1.2601e-01	7.1521e-03
70	-1.55	3.2417e-03	1.1798e-01	7.3374e-03
70	-1.50	3.4087e-03	1.0195e-01	6.9618e-03
70	-1.45	3.3276e-03	7.1747e-02	7.1307e-03
70	-1.40	3.1048e-03	6.6165e-02	7.1651e-03
70	-1.35	3.0051e-03	5.6771e-02	7.1175e-03
70	-1.30	3.8194e-03	5.8472e-02	7.2251e-03
70	-1.25	3.1900e-03	5.7169e-02	6.8815e-03
70	-1.20	2.9559e-03	4.6004e-02	6.8140e-03
70	-1.15	2.9149e-03	4.4975e-02	6.8721e-03
70	-1.10	3.0204e-03	3.6800e-02	6.7574e-03
70	-1.05	2.9630e-03	3.6832e-02	6.6307e-03
70	-1.00	2.9096e-03	2.8430e-02	6.6519e-03
70	-0.95	2.9306e-03	3.1433e-02	6.5267e-03
70	-0.90	2.8561e-03	2.2627e-02	6.4882e-03
70	-0.85	2.8391e-03	2.1073e-02	6.3921e-03
70	-0.80	2.8158e-03	1.8367e-02	6.3793e-03
70	-0.75	2.8351e-03	1.5213e-02	6.3436e-03
70	-0.70	2.8205e-03	1.6944e-02	6.2266e-03
70	-0.65	2.7343e-03	1.0311e-02	6.1204e-03
70	-0.60	2.7297e-03	1.2632e-02	5.9647e-03
70	-0.55	2.6878e-03	9.8819e-03	6.0495e-03
70	-0.50	2.7375e-03	8.1888e-03	5.9300e-03
70	-0.45	2.6787e-03	1.0869e-02	5.9368e-03
70	-0.40	2.7007e-03	6.7838e-03	5.8592e-03
