#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
95	-1.97	3.4149e+00	1.0410e+00	1.0605e+01
95	-1.92	3.4245e+00	1.1297e+00	1.0955e+01
95	-1.87	3.3485e+00	1.2335e+00	1.1184e+01
95	-1.82	3.3723e+00	1.3328e+00	1.1534e+01
95	-1.77	3.3434e+00	1.4319e+00	1.1720e+01
95	-1.72	3.2952e+00	1.5422e+00	1.1977e+01
95	-1.67	3.2672e+00	1.6340e+00	1.2058e+01
95	-1.62	3.2146e+00	1.7385e+00	1.2176e+01
95	-1.57	3.1765e+00	1.8413e+00	1.2194e+01
95	-1.52	3.1108e+00	1.9157e+00	1.2187e+01
95	-1.47	3.0594e+00	2.0074e+00	1.2126e+01
95	-1.42	2.9954e+00	2.0835e+00	1.1942e+01
95	-1.37	2.9247e+00	2.1350e+00	1.1750e+01
95	-1.32	2.8553e+00	2.1810e+00	1.1519e+01
95	-1.27	2.7610e+00	2.2293e+00	1.1182e+01
95	-1.22	2.6896e+00	2.2482e+00	1.0809e+01
95	-1.17	2.5992e+00	2.2590e+00	1.0385e+01
95	-1.12	2.5030e+00	2.2605e+00	9.9362e+00
95	-1.07	2.3860e+00	2.2373e+00	9.4287e+00
95	-1.02	2.2769e+00	2.2046e+00	8.9356e+00
95	-0.97	2.1620e+00	2.1569e+00	8.3830e+00
95	-0.92	2.0442e+00	2.1040e+00	7.8509e+00
95	-0.87	1.9280e+00	2.0359e+00	7.2904e+00
95	-0.82	1.8075e+00	1.9556e+00	6.7455e+00
95	-0.77	1.6866e+00	1.8652e+00	6.2095e+00
95	-0.72	1.5662e+00	1.7722e+00	5.6759e+00
95	-0.67	1.4413e+00	1.6770e+00	5.1595e+00
95	-0.62	1.3285e+00	1.5765e+00	4.6821e+00
95	-0.57	1.2162e+00	1.4737e+00	4.2067e+00
95	-0.52	1.1052e+00	1.3679e+00	3.7855e+00
95	-0.47	9.9894e-01	1.2684e+00	3.3742e+00
95	-0.42	8.9901e-01	1.1631e+00	3.0011e+00
95	-0.37	8.0108e-01	1.0660e+00	2.6597e+00
95	-0.32	7.1642e-01	9.6970e-01	2.3467e+00
95	-0.27	6.3605e-01	8.7874e-01	2.0536e+00
95	-0.22	5.6071e-01	7.9343e-01	1.7926e+00
95	-0.17	4.9279e-01	7.1301e-01	1.5614e+00
95	-0.12	4.2921e-01	6.3816e-01	1.3484e+00
95	-0.07	3.7368e-01	5.6683e-01	1.1600e+00
95	-0.02	3.2312e-01	5.0062e-01	9.9281e-01
95	0.03	2.7710e-01	4.3866e-01	8.4617e-01
95	0.08	2.3731e-01	3.7887e-01	7.1734e-01
95	0.13	2.0167e-01	3.2010e-01	6.0418e-01
95	0.18	1.7011e-01	2.6835e-01	5.0788e-01
95	0.23	1.4280e-01	2.2855e-01	4.2301e-01
95	0.28	1.1880e-01	1.9434e-01	3.4987e-01
95	0.33	9.8356e-02	1.6442e-01	2.8793e-01
95	0.38	8.1015e-02	1.3780e-01	2.3614e-01
95	0.43	6.6076e-02	1.1501e-01	1.9196e-01
95	0.48	5.3386e-02	9.4679e-02	1.5509e-01
95	0.53	4.2836e-02	7.7644e-02	1.2382e-01
95	0.58	3.4240e-02	6.3098e-02	9.8531e-02
95	0.63	2.7094e-02	5.0737e-02	7.7730e-02
95	0.68	2.1199e-02	4.0468e-02	6.0783e-02
95	0.73	1.6309e-02	3.1891e-02	4.7241e-02
95	0.78	1.2541e-02	2.4908e-02	3.6475e-02
95	0.83	9.5632e-03	1.9203e-02	2.8050e-02
95	0.88	7.2449e-03	1.4552e-02	2.1558e-02
95	0.93	5.4531e-03	1.0903e-02	1.6465e-02
95	0.98	4.0778e-03	8.1074e-03	1.2681e-02
95	1.03	2.9719e-03	5.8863e-03	9.7870e-03
95	1.08	2.1847e-03	4.2049e-03	7.5054e-03
95	1.13	1.6241e-03	2.9459e-03	5.7771e-03
95	1.18	1.2020e-03	2.0200e-03	4.3108e-03
95	1.23	8.9072e-04	1.3604e-03	3.1714e-03
95	1.28	6.6080e-04	8.9505e-04	2.3132e-03
95	1.33	4.9662e-04	5.8053e-04	1.6676e-03
95	1.38	3.7618e-04	3.6373e-04	1.1713e-03
95	1.43	2.7774e-04	2.2456e-04	8.0405e-04
95	1.48	2.0141e-04	1.3802e-04	5.4415e-04
95	1.53	1.5059e-04	7.7912e-05	3.5685e-04
95	1.58	1.0615e-04	4.2403e-05	2.2332e-04
95	1.63	6.9114e-05	2.2151e-05	1.2664e-04
95	1.68	4.2951e-05	1.0838e-05	6.5029e-05
95	1.73	1.9173e-05	4.8135e-06	2.5775e-05
95	1.78	6.8988e-06	2.4494e-06	7.9568e-06
95	1.83	1.5759e-06	1.3175e-06	1.3692e-06
95	1.88	1.3815e-07	7.7133e-07	9.2099e-08
95	1.93	1.0260e-08	5.1302e-07	2.0521e-08
95	1.98	0.0000e+00	1.9204e-07	0.0000e+00
