#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
65	-7.19	0.0000e+00	0.0000e+00	0.0000e+00
65	-7.14	0.0000e+00	0.0000e+00	0.0000e+00
65	-7.09	0.0000e+00	0.0000e+00	0.0000e+00
65	-7.04	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.99	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.94	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.89	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.84	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.79	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.74	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.69	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.64	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.59	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.54	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.49	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.44	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.39	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.34	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.29	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.24	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.19	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.14	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.09	0.0000e+00	0.0000e+00	0.0000e+00
65	-6.04	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.99	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.94	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.89	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.84	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.79	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.74	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.69	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.64	0.0000e+00	0.0000e+00	0.0000e+00
65	-5.59	0.0000e+00	4.3972e+01	0.0000e+00
65	-5.54	0.0000e+00	5.8037e+01	0.0000e+00
65	-5.49	0.0000e+00	1.0665e+02	0.0000e+00
65	-5.44	2.3763e-02	7.1289e+01	0.0000e+00
65	-5.39	2.1179e-02	9.5305e+01	0.0000e+00
65	-5.34	1.8876e-02	8.4940e+01	0.0000e+00
65	-5.29	0.0000e+00	1.0514e+02	0.0000e+00
65	-5.24	0.0000e+00	1.0870e+02	0.0000e+00
65	-5.19	0.0000e+00	6.6815e+01	0.0000e+00
65	-5.14	1.1910e-02	9.5552e+01	0.0000e+00
65	-5.09	0.0000e+00	8.2868e+01	0.0000e+00
65	-5.04	0.0000e+00	9.3211e+01	0.0000e+00
65	-4.99	8.4314e-03	8.6169e+01	0.0000e+00
65	-4.94	0.0000e+00	6.5632e+01	0.0000e+00
65	-4.89	0.0000e+00	7.4863e+01	0.0000e+00
65	-4.84	5.9690e-03	7.1616e+01	0.0000e+00
65	-4.79	5.3199e-03	6.8419e+01	5.3199e-03
65	-4.74	0.0000e+00	6.2002e+01	4.7413e-03
65	-4.69	4.2257e-03	4.8634e+01	0.0000e+00
65	-4.64	3.7662e-03	3.8084e+01	3.7662e-03
65	-4.59	3.3566e-03	5.2491e+01	6.7132e-03
65	-4.54	2.9916e-03	4.4712e+01	0.0000e+00
65	-4.49	5.3325e-03	3.3768e+01	5.3325e-03
65	-4.44	4.7526e-03	2.9440e+01	7.1289e-03
65	-4.39	8.4715e-03	2.8591e+01	6.3536e-03
65	-4.34	0.0000e+00	2.2264e+01	1.8876e-03
65	-4.29	1.6823e-03	2.9622e+01	6.7292e-03
65	-4.24	4.4980e-03	2.2070e+01	1.4993e-03
65	-4.19	6.6815e-03	2.1453e+01	4.0089e-03
65	-4.14	3.5729e-03	2.6050e+01	8.3368e-03
65	-4.09	0.0000e+00	1.8257e+01	4.2458e-03
65	-4.04	4.7301e-03	2.1079e+01	9.4602e-03
65	-3.99	2.5294e-03	1.8808e+01	1.0118e-02
65	-3.94	2.2544e-03	1.7304e+01	3.0058e-03
65	-3.89	3.3487e-03	1.0633e+01	5.3579e-03
65	-3.84	4.1783e-03	1.2236e+01	7.1628e-03
65	-3.79	3.7239e-03	1.2309e+01	6.3838e-03
65	-3.74	1.8965e-03	1.0504e+01	4.7413e-03
65	-3.69	3.3806e-03	9.6123e+00	3.8032e-03
65	-3.64	4.5194e-03	8.7432e+00	5.2727e-03
65	-3.59	2.3496e-03	7.6860e+00	4.6993e-03
65	-3.54	4.7865e-03	7.8068e+00	5.0857e-03
65	-3.49	3.4661e-03	5.9548e+00	5.0659e-03
65	-3.44	2.3763e-03	6.7523e+00	4.9902e-03
