# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.045e-05 to 1.09048 h/Mpc,
# number of wavenumbers equal to 603
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.045004358465e-05      -8.002103144670e-04      -6.003316370010e-04      -6.003316606047e-04      -8.002015025907e-04      -6.004490246069e-04       5.736419599803e-01       5.732913381889e-01 
       2.333031646003e-05      -3.983874655958e-03      -2.992223887331e-03      -2.992224473576e-03      -3.983655937700e-03      -2.992806632474e-03       5.736381126695e-01       5.732880850880e-01 
       3.625588232309e-05      -9.601299446082e-03      -7.226132684317e-03      -7.226136101872e-03      -9.600025882498e-03      -7.227529975729e-03       5.736313638858e-01       5.732823862088e-01 
       4.926151484748e-05      -1.767263280341e-02      -1.334009563351e-02      -1.334010727340e-02      -1.766830237898e-02      -1.334264851506e-02       5.736216301524e-01       5.732741643161e-01 
       6.238256282054e-05      -2.823035471235e-02      -2.139254853878e-02      -2.139257844727e-02      -2.821925211890e-02      -2.139658633430e-02       5.736088230170e-01       5.732633406775e-01 
       7.565526530539e-05      -4.131871654992e-02      -3.146337252915e-02      -3.146343715870e-02      -4.129479074008e-02      -3.146920849160e-02       5.735928279473e-01       5.732498141198e-01 
       8.911707687974e-05      -5.699298132896e-02      -4.365537845010e-02      -4.365550271803e-02      -5.694713041133e-02      -4.366330433067e-02       5.735734980553e-01       5.732334547170e-01 
       1.028070072767e-04      -7.531838426647e-02      -5.809626793228e-02      -5.809648768739e-02      -7.523762093277e-02      -5.810654710352e-02       5.735506519848e-01       5.732141016173e-01 
       1.167659797859e-04      -9.636871418244e-02      -7.494112389810e-02      -7.494148893199e-02      -9.623517522224e-02      -7.495398260433e-02       5.735240685678e-01       5.731915580373e-01 
       1.310372128073e-04      -1.202243764991e-01      -9.437549939616e-02      -9.437607715970e-02      -1.200141374715e-01      -9.439111560163e-02       5.734934861973e-01       5.731655906230e-01 
       1.456666289547e-04      -1.469697563391e-01      -1.166191895320e-01      -1.166200697439e-01      -1.466514091121e-01      -1.166376787024e-01       5.734585977718e-01       5.731359243746e-01 
       1.607032960497e-04      -1.766896568083e-01      -1.419307914032e-01      -1.419320917998e-01      -1.762225990152e-01      -1.419521884132e-01       5.734190450286e-01       5.731022370320e-01 
       1.761999041630e-04      -2.094645465124e-01      -1.706131794306e-01      -1.706150530309e-01      -2.087969042630e-01      -1.706374156572e-01       5.733744138939e-01       5.730641544556e-01 
       1.922132824965e-04      -2.453642238446e-01      -2.030200470793e-01      -2.030226913130e-01      -2.444303570745e-01      -2.030469214076e-01       5.733242262256e-01       5.730212420693e-01 
       2.088049592348e-04      -2.844394570813e-01      -2.395636964886e-01      -2.395673646092e-01      -2.831569971999e-01      -2.395928386522e-01       5.732679334159e-01       5.729729980622e-01 
       2.260417664219e-04      -3.267112122485e-01      -2.807242858675e-01      -2.807293017127e-01      -3.249774450839e-01      -2.807551107044e-01       5.732049071672e-01       5.729188438055e-01 
       2.439964902501e-04      -3.721566375547e-01      -3.270607802467e-01      -3.270675567050e-01      -3.698442739512e-01      -3.270924302780e-01       5.731344289470e-01       5.728581121331e-01 
       2.627485646742e-04      -4.206912399565e-01      -3.792238866264e-01      -3.792329488610e-01      -4.176435294968e-01      -3.792551604357e-01       5.730556807905e-01       5.727900367938e-01 
       2.823848027128e-04      -4.721468760376e-01      -4.379712834541e-01      -4.379832992885e-01      -4.681717398165e-01      -4.380005480138e-01       5.729677314364e-01       5.727137367466e-01 
       3.030001548299e-04      -5.262442177408e-01      -5.041854939561e-01      -5.042013114431e-01      -5.211078719019e-01      -5.042105762372e-01       5.728695256325e-01       5.726282024549e-01 
       3.246984770434e-04      -5.825601530533e-01      -5.788947596823e-01      -5.789154554683e-01      -5.759799725743e-01      -5.789128158017e-01       5.727598702795e-01       5.725322783208e-01 
       3.475932824573e-04      -6.404897391237e-01      -6.632972804507e-01      -6.633242209734e-01      -6.321268261299e-01      -6.633046390139e-01       5.726374213714e-01       5.724246444998e-01 
       3.718084384017e-04      -6.992041630824e-01      -7.587891516659e-01      -7.588240712118e-01      -6.886560127632e-01      -7.587811302861e-01       5.725006720962e-01       5.723037983679e-01 
       3.974787570252e-04      -7.576067531235e-01      -8.669962541442e-01      -8.670413515917e-01      -7.444014821741e-01      -8.669669475654e-01       5.723479422341e-01       5.721680355178e-01 
       4.247504100439e-04      -8.142935796029e-01      -9.898101978927e-01      -9.898682604552e-01      -7.978863987916e-01      -9.897522452200e-01       5.721773711726e-01       5.720154325141e-01 
       4.537810789379e-04      -8.675256599194e-01      -1.129428187794e+00      -1.129502742879e+00      -8.473008096841e-01      -1.129332525056e+00       5.719869151332e-01       5.718438320151e-01 
       4.847397315668e-04      -9.152278522422e-01      -1.288396301601e+00      -1.288491805376e+00      -8.905086431317e-01      -1.288251921208e+00       5.717743517959e-01       5.716508339691e-01 
       5.178058974855e-04      -9.550323846731e-01      -1.469655157918e+00      -1.469777222757e+00      -9.251043823317e-01      -1.469448902863e+00       5.715372917126e-01       5.714337933343e-01 
       5.531683013105e-04      -9.843930314123e-01      -1.676586272696e+00      -1.676741939786e+00      -9.485452180188e-01      -1.676302713051e+00       5.712732031938e-01       5.711898329487e-01 
       5.910227121702e-04      -1.000797017066e+00      -1.913056537424e+00      -1.913254596168e+00      -9.583871630923e-01      -1.912677990492e+00       5.709794432882e-01       5.709158673191e-01 
       6.315688849627e-04      -1.002098949524e+00      -2.183457346533e+00      -2.183708693149e+00      -9.526488895418e-01      -2.182964110409e+00       5.706533040629e-01       5.706086510010e-01 
       6.750065137884e-04      -9.869853727108e-01      -2.492733895138e+00      -2.493051916338e+00      -9.303086426240e-01      -2.492104766809e+00       5.702920612246e-01       5.702648441601e-01 
       7.215301959429e-04      -9.555440730663e-01      -2.846399430806e+00      -2.846800402693e+00      -8.918999117149e-01      -2.845612569367e+00       5.698930254800e-01       5.698811015522e-01 
       7.713235180257e-04      -9.098467853120e-01      -3.250528929440e+00      -3.251032380244e+00      -8.401061062362e-01      -3.249563037523e+00       5.694535859625e-01       5.694541788339e-01 
       8.245525173319e-04      -8.543795009975e-01      -3.711727018666e+00      -3.712356027592e+00      -7.801683646548e-01      -3.710562735998e+00       5.689712395287e-01       5.689810500863e-01 
       8.813589235833e-04      -7.960653671703e-01      -4.237066364298e+00      -4.237847698215e+00      -7.198385399672e-01      -4.235687557118e+00       5.684435925104e-01       5.684590156168e-01 
       9.418537183337e-04      -7.436055181831e-01      -4.833995108333e+00      -4.834959178225e+00      -6.685830302086e-01      -4.832389640930e+00       5.678683446953e-01       5.678857911535e-01 
       1.006111625261e-03      -7.059355058992e-01      -5.510215348043e+00      -5.511395901170e+00      -6.358456893215e-01      -5.508374749521e+00       5.672432630953e-01       5.672595562809e-01 
       1.074167130425e-03      -6.898697420020e-01      -6.273538335013e+00      -6.274971853270e+00      -6.284725724104e-01      -6.271455866939e+00       5.665661719308e-01       5.665789523173e-01 
       1.146012510269e-03      -6.974448666424e-01      -7.131725550038e+00      -7.133450378650e+00      -6.478783657898e-01      -7.129392537124e+00       5.658349914999e-01       5.658430317447e-01 
       1.221598126720e-03      -7.239567954968e-01      -8.092327164629e+00      -8.094382456826e+00      -6.880424951453e-01      -8.089728102328e+00       5.650478510845e-01       5.650511764505e-01 
       1.300834972303e-03      -7.579326440342e-01      -9.162530284214e+00      -9.164954837176e+00      -7.356522493933e-01      -9.159637968194e+00       5.642032884326e-01       5.642030275648e-01 
