# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558506339190e-26       4.634785000235e-09       2.157545173956e+22       1.417360642168e+04       1.417360642168e-10       1.417360642168e+18       2.675959123169e-09       2.751560535470e+44       2.451390603497e+33       1.331842117096e+34       1.899441285023e+44       6.331470950076e+43       3.493499587839e-08       3.999357008578e+41       4.655001177659e+44       5.610859987729e-20       2.000000000000e+14 
       9.930486593843e+13       7.664695794749e-26       4.667526809499e-09       2.127653766195e+22       1.417360642168e+04       1.427282166663e-10       1.407508085569e+18       2.694690837031e-09       2.675846458098e+44       2.400623788821e+33       1.304260473502e+34       1.847174782955e+44       6.157249276517e+43       3.493499587839e-08       3.889307594044e+41       4.526910548802e+44       7.827838400717e-08       1.433565615564e+02 
       9.861456399050e+13       7.772377105969e-26       4.700268618762e-09       2.098176484760e+22       1.417360642168e+04       1.437273141830e-10       1.397724017447e+18       2.713553672891e-09       2.602215788102e+44       2.350908324129e+33       1.277250029041e+34       1.796346486564e+44       5.987821621879e+43       3.493499587839e-08       3.782286384697e+41       4.402344561201e+44       1.565567680143e-07       7.167828077820e+01 
       9.792906056653e+13       7.881571231931e-26       4.733010428026e-09       2.069107592198e+22       1.417360642168e+04       1.447334053823e-10       1.388007961715e+18       2.732548548601e-09       2.530611196824e+44       2.302222436600e+33       1.250798954525e+34       1.746916821064e+44       5.823056070214e+43       3.493499587839e-08       3.678210054091e+41       4.281206228091e+44       2.348351520214e-07       4.778552051880e+01 
       9.724832231036e+13       7.992299426168e-26       4.765752237290e-09       2.040441430540e+22       1.417360642168e+04       1.457465392200e-10       1.378359445596e+18       2.751676388441e-09       2.460976933110e+44       2.254544804314e+33       1.224895665743e+34       1.698847300643e+44       5.662824335475e+43       3.493499587839e-08       3.576997568655e+41       4.163401231466e+44       3.131135360284e-07       3.583914038910e+01 
       9.657231609767e+13       8.104583240806e-26       4.800313035958e-09       2.012172420209e+22       1.417360642168e+04       1.467667649945e-10       1.368777999599e+18       2.770938123160e-09       2.393258779894e+44       2.207854546917e+33       1.199528818382e+34       1.652100498490e+44       5.507001661632e+43       3.493499587839e-08       3.478570124599e+41       4.048837848650e+44       3.913919200355e-07       2.867131231128e+01 
       9.590100903443e+13       8.218444530757e-26       4.833054845221e-09       1.984295058927e+22       1.417360642168e+04       1.477941323495e-10       1.359263157496e+18       2.790334690022e-09       2.327404011992e+44       2.162131216471e+33       1.174687303066e+34       1.606640017662e+44       5.355466725541e+43       3.493499587839e-08       3.382851086562e+41       3.937426880880e+44       4.696703040426e-07       2.389276025940e+01 
       9.523436845525e+13       8.333905457969e-26       4.867615643889e-09       1.956803920646e+22       1.417360642168e+04       1.488286912759e-10       1.349814456302e+18       2.809867032852e-09       2.263361355047e+44       2.117354788506e+33       1.150360240487e+34       1.562430462743e+44       5.208101542478e+43       3.493499587839e-08       3.289765927939e+41       3.829081583854e+44       5.479486880497e-07       2.047950879377e+01 
       9.457236192179e+13       8.450988495748e-26       4.900357453153e-09       1.929693654494e+22       1.417360642168e+04       1.498704921148e-10       1.340431436248e+18       2.829536102082e-09       2.201080945604e+44       2.073505653244e+33       1.126536976640e+34       1.519437412284e+44       5.064791374280e+43       3.493499587839e-08       3.199242172859e+41       3.723717600194e+44       6.262270720567e-07       1.791957019455e+01 
       9.391495722125e+13       8.569716433125e-26       4.934918251820e-09       1.902958983732e+22       1.417360642168e+04       1.509195855596e-10       1.331113640763e+18       2.849342854796e-09       2.140514292293e+44       2.030564607016e+33       1.103207078158e+34       1.477627392002e+44       4.925424640007e+43       3.493499587839e-08       3.111209339750e+41       3.621252893765e+44       7.045054560637e-07       1.592850683960e+01 
