# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04437e-05 to 1.08871 h/Mpc,
# number of wavenumbers equal to 603
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.044373164702e-05      -3.334088213810e-04      -2.500858833512e-04      -2.500858917123e-04      -3.334073416138e-04      -2.518553224987e-04      -2.501663806959e-04       5.986775674263e-01       5.980742125282e-01 
       2.330863079174e-05      -1.659950785846e-03      -1.245689076311e-03      -1.245689283729e-03      -1.659914083850e-03      -1.254404305232e-03      -1.246089054274e-03       5.986745416337e-01       5.980715579872e-01 
       3.621867756780e-05      -4.004661523856e-03      -3.007726905432e-03      -3.007728114274e-03      -4.004447689940e-03      -3.028349383525e-03      -3.008688457111e-03       5.986691775646e-01       5.980668501586e-01 
       4.920852089118e-05      -7.383459442390e-03      -5.552002417281e-03      -5.552006534545e-03      -7.382731465457e-03      -5.588949246072e-03      -5.553766175195e-03       5.986614345803e-01       5.980600540730e-01 
       6.231338151706e-05      -1.182102726741e-02      -8.902790119450e-03      -8.902800700322e-03      -1.181915758616e-02      -8.959670189656e-03      -8.905594760309e-03       5.986512414331e-01       5.980511060296e-01 
       7.556936531419e-05      -1.735103016148e-02      -1.309327031146e-02      -1.309329318129e-02      -1.734699202613e-02      -1.317257574415e-02      -1.309735173455e-02       5.986385003270e-01       5.980399189893e-01 
       8.901378653462e-05      -2.401642801938e-02      -1.816614480023e-02      -1.816618878794e-02      -2.400866820849e-02      -1.826887920441e-02      -1.817173484688e-02       5.986230858452e-01       5.980263815247e-01 
       1.026855053684e-04      -3.186987509095e-02      -2.417445023054e-02      -2.417452805011e-02      -3.185616194227e-02      -2.429967147128e-02      -2.418177477768e-02       5.986048424580e-01       5.980103548835e-01 
       1.166252841059e-04      -4.097419802543e-02      -3.118259107528e-02      -3.118272040201e-02      -4.095143713349e-02      -3.132684093198e-02      -3.119186729328e-02       5.985835819506e-01       5.979916710588e-01 
       1.308761662632e-04      -5.140293993929e-02      -3.926762050775e-02      -3.926782531920e-02      -5.136694673026e-02      -3.942420644348e-02      -3.927905302427e-02       5.985590791971e-01       5.979701297524e-01 
       1.454838830341e-04      -6.324094560844e-02      -4.852080462214e-02      -4.852111685655e-02      -6.318616585464e-02      -4.867888925869e-02      -4.853458022280e-02       5.985310686449e-01       5.979454934925e-01 
       1.604972913723e-04      -7.658496102021e-02      -5.904951341308e-02      -5.904997504562e-02      -7.650412396889e-02      -5.919295476236e-02      -5.906579383152e-02       5.984992393890e-01       5.979174838503e-01 
       1.759688478325e-04      -9.154420496133e-02      -7.097949105652e-02      -7.098015674046e-02      -9.142788712465e-02      -7.108535971838e-02      -7.099840328614e-02       5.984632280869e-01       5.978857755360e-01 
       1.919551219372e-04      -1.082408414539e-01      -8.445756873381e-02      -8.445850913436e-02      -1.080769214664e-01      -8.449424626364e-02      -8.447919205982e-02       5.984226127900e-01       5.978499899838e-01 
       2.085173521843e-04      -1.268102613434e-01      -9.965489444896e-02      -9.965620044922e-02      -1.265832394073e-01      -9.957962792251e-02      -9.967924316513e-02       5.983769039246e-01       5.978096867143e-01 
       2.257220467534e-04      -1.474010497752e-01      -1.167707679214e-01      -1.167725559883e-01      -1.470911920044e-01      -1.165265174114e-01      -1.167977684282e-01       5.983255355307e-01       5.977643554457e-01 
       2.436416293239e-04      -1.701744655081e-01      -1.360371817056e-01      -1.360396007934e-01      -1.697567181786e-01      -1.355485467106e-01      -1.360666422904e-01       5.982678525329e-01       5.977134044149e-01 
       2.623551279844e-04      -1.953031498492e-01      -1.577241854305e-01      -1.577274256809e-01      -1.947457940153e-01      -1.568921297995e-01      -1.577557562822e-01       5.982030984406e-01       5.976561477217e-01 
       2.819489017107e-04      -2.229687929166e-01      -1.821462033227e-01      -1.821505073218e-01      -2.222317354842e-01      -1.808412103927e-01      -1.821793239985e-01       5.981303999938e-01       5.975917913111e-01 
       3.025173939994e-04      -2.533582565421e-01      -2.096694480870e-01      -2.096751252222e-01      -2.523908987171e-01      -2.077226234544e-01      -2.097032783912e-01       5.980487498149e-01       5.975194156565e-01 
       3.241638965918e-04      -2.866576060994e-01      -2.407205830340e-01      -2.407280278282e-01      -2.853961837773e-01      -2.379120718764e-01      -2.407539122472e-01       5.979569879615e-01       5.974379575191e-01 
       3.470012974069e-04      -3.230433958064e-01      -2.757967823762e-01      -2.758064985837e-01      -3.214075936861e-01      -2.718406763114e-01      -2.758279109622e-01       5.978537785831e-01       5.973461870807e-01 
       3.711527754502e-04      -3.626700494947e-01      -3.154773332884e-01      -3.154899638308e-01      -3.605589251475e-01      -3.100019891704e-01      -3.155039174850e-01       5.977375883878e-01       5.972426845233e-01 
       3.967523913204e-04      -4.056525379475e-01      -3.604368841532e-01      -3.604532494748e-01      -4.029395132911e-01      -3.529592647515e-01      -3.604557337433e-01       5.976066608909e-01       5.971258132866e-01 
       4.239455050124e-04      -4.520432801932e-01      -4.114603868912e-01      -4.114815355054e-01      -4.485698443286e-01      -4.013526409055e-01      -4.114672046796e-01       5.974589905223e-01       5.969936923509e-01 
       4.528889335270e-04      -5.018013439231e-01      -4.694596867481e-01      -4.694869566061e-01      -4.973698743654e-01      -4.559057000901e-01      -4.694487301068e-01       5.972922984949e-01       5.968441665179e-01 
       4.837507406505e-04      -5.547541210356e-01      -5.354915482041e-01      -5.355266465764e-01      -5.491191713326e-01      -5.174306455209e-01      -5.354551984599e-01       5.971040103170e-01       5.966747788869e-01 
       5.167095326656e-04      -6.105500675324e-01      -6.107767077994e-01      -6.108218092153e-01      -6.034087051952e-01      -5.868310417993e-01      -6.107049225999e-01       5.968912389646e-01       5.964827445925e-01 
       5.519531207021e-04      -6.686042011303e-01      -6.967192490493e-01      -6.967771162291e-01      -6.595854824619e-01      -6.651007629944e-01      -6.965988764696e-01       5.966507777776e-01       5.962649321903e-01 
       5.896764086937e-04      -7.280395186474e-01      -7.949252449227e-01      -7.949993780645e-01      -7.166935465911e-01      -7.533174970940e-01      -7.947391793723e-01       5.963791056401e-01       5.960178536460e-01 
       6.300783827469e-04      -7.876297808068e-01      -9.072192324820e-01      -9.073140409641e-01      -7.734183511609e-01      -8.526289552277e-01      -9.069453870577e-01       5.960724146202e-01       5.957376728736e-01 
       6.733581210050e-04      -8.457563409096e-01      -1.035656643566e+00      -1.035777646778e+00      -8.280462783673e-01      -9.642299374295e-01      -1.035266736899e+00       5.957266568005e-01       5.954202310069e-01 
       7.197098192591e-04      -9.003948512374e-01      -1.182530027036e+00      -1.182684080294e+00      -8.784566813465e-01      -1.089328771789e+00      -1.181988192396e+00       5.953376244677e-01       5.950611031529e-01 
       7.693169385710e-04      -9.491531237218e-01      -1.350366729482e+00      -1.350562257584e+00      -9.221692569258e-01      -1.229102506338e+00      -1.349627970998e+00       5.949010602362e-01       5.946556858901e-01 
       8.223457207545e-04      -9.893864168250e-01      -1.541915837366e+00      -1.542163062363e+00      -9.564725873455e-01      -1.384641731633e+00      -1.540924400383e+00       5.944127975043e-01       5.941993204975e-01 
       8.789384681578e-04      -1.018414303647e+00      -1.760122750492e+00      -1.760433893488e+00      -9.786570699048e-01      -1.556888022423e+00      -1.758810510935e+00       5.938689277850e-01       5.936874533447e-01 
       9.392071166369e-04      -1.033848680561e+00      -2.008090760372e+00      -2.008480171365e+00      -9.863633187740e-01      -1.746569501720e+00      -2.006375753172e+00       5.932659765803e-01       5.931158218287e-01 
       1.003227708614e-03      -1.034026861408e+00      -2.289030383889e+00      -2.289514579230e+00      -9.780323079573e-01      -1.954142486761e+00      -2.286815639050e+00       5.926010763128e-01       5.924806599169e-01 
       1.071036363096e-03      -1.018499214249e+00      -2.606198833461e+00      -2.606796395877e+00      -9.534061946697e-01      -2.179748838245e+00      -2.603371654742e+00       5.918721107961e-01       5.917789019133e-01 
       1.142627223650e-03      -9.884822125306e-01      -2.962833485022e+00      -2.963564775886e+00      -9.139846118569e-01      -2.423198735467e+00      -2.959265247807e+00       5.910778094993e-01       5.910083621504e-01 
       1.217952652281e-03      -9.471588526518e-01      -3.362084127293e+00      -3.362970881674e+00      -8.633035391589e-01      -2.683986497020e+00      -3.357630679908e+00       5.902177752630e-01       5.901678664875e-01 
       1.296925664591e-03      -8.996665723415e-01      -3.806949355316e+00      -3.808014080455e+00      -8.068909632286e-01      -2.961342696925e+00      -3.801451828966e+00       5.892924401083e-01       5.892573184119e-01 
       1.379424326888e-03      -8.526812978585e-01      -4.300215797687e+00      -4.301481291533e+00      -7.517833910704e-01      -3.254317714173e+00      -4.293501868269e+00       5.883021873303e-01       5.882769159919e-01 
       1.465297617994e-03      -8.135203467188e-01      -4.844419559508e+00      -4.845908237273e+00      -7.055754684992e-01      -3.561891543597e+00      -4.836304480317e+00       5.872481272749e-01       5.872279890502e-01 
       1.554372138595e-03      -7.888995462639e-01      -5.441834422636e+00      -5.443567855049e+00      -6.751064280475e-01      -3.883098107666e+00      -5.432121787288e+00       5.861337652425e-01       5.861146716884e-01 
       1.646459041173e-03      -7.835007190866e-01      -6.094431569392e+00      -6.096430521771e+00      -6.650007674201e-01      -4.217124587380e+00      -6.082913923804e+00       5.849614072029e-01       5.849402502628e-01 
       1.741360637172e-03      -7.987267466495e-01      -6.803886547864e+00      -6.806171385342e+00      -6.764346041470e-01      -4.563393789134e+00      -6.790345566671e+00       5.837334738596e-01       5.837083569019e-01 
       1.838876280163e-03      -8.319873105372e-01      -7.571587456421e+00      -7.574179044314e+00      -7.064905599193e-01      -4.921601470070e+00      -7.555794040839e+00       5.824524442865e-01       5.824227478543e-01 
       1.938807285105e-03      -8.768179530842e-01      -8.398650987068e+00      -8.401572080710e+00      -7.483890383492e-01      -5.291703947289e+00      -8.380365733565e+00       5.811208512991e-01       5.810871167644e-01 
       2.040960792329e-03      -9.239448349199e-01      -9.285943651093e+00      -9.289220688489e+00      -7.926829772588e-01      -5.673856782327e+00      -9.264918188005e+00       5.797413087878e-01       5.797049581235e-01 
       2.145152601220e-03      -9.631585028989e-01      -1.023410600489e+01      -1.023777108748e+01      -8.292410525826e-01      -6.068313898645e+00      -1.021008552240e+01       5.783165536529e-01       5.782794960170e-01 
       2.251209076149e-03      -9.856086137928e-01      -1.124357820979e+01      -1.124767090805e+01      -8.495877022101e-01      -6.475302770060e+00      -1.121630512718e+01       5.768494809136e-01       5.768136796652e-01 
       2.358968268635e-03      -9.859649147954e-01      -1.231462533287e+01      -1.231919437297e+01      -8.490034968832e-01      -6.894895115831e+00      -1.228384401480e+01       5.753431559686e-01       5.753102375130e-01 
       2.468280412775e-03      -9.638429234449e-01      -1.344736115625e+01      -1.345246540919e+01      -8.278085539277e-01      -7.326893336258e+00      -1.341282263311e+01       5.738007516567e-01       5.737717258648e-01 
       2.579007944657e-03      -9.240429624575e-01      -1.464177048286e+01      -1.464747927211e+01      -7.913814553413e-01      -7.770749213565e+00      -1.460323631317e+01       5.722254728648e-01       5.722006115270e-01 
       2.691025179021e-03      -8.754858902720e-01      -1.589772995326e+01      -1.590412261404e+01      -7.488721602560e-01      -8.225528316670e+00      -1.585497425639e+01       5.706204801395e-01       5.705993611606e-01 
       2.804217754108e-03      -8.289878000815e-01      -1.721502406097e+01      -1.722218896468e+01      -7.108318772530e-01      -8.689920111631e+00      -1.716783312595e+01       5.689887202947e-01       5.689704139376e-01 
       2.918481932731e-03      -7.945030799365e-01      -1.859336203142e+01      -1.860139490310e+01      -6.864318320819e-01      -9.162297804179e+00      -1.854153111803e+01       5.673328961603e-01       5.673162363432e-01 
       3.033723826546e-03      -7.785048091646e-01      -2.003239001311e+01      -2.004139224078e+01      -6.809880094634e-01      -9.640810819652e+00      -1.997571822650e+01       5.656553948237e-01       5.656392678415e-01 
       3.149858592448e-03      -7.822900020080e-01      -2.153170248721e+01      -2.154177918703e+01      -6.945413369718e-01      -1.012350153527e+01      -2.146998644667e+01       5.639582956383e-01       5.639418784112e-01 
       3.266809635419e-03      -8.016691509545e-01      -2.309085006067e+01      -2.310210866809e+01      -7.218875138005e-01      -1.060842489953e+01      -2.302387824536e+01       5.622433850942e-01       5.622262845773e-01 
       3.384507840689e-03      -8.281987232650e-01      -2.470934667679e+01      -2.472189602912e+01      -7.541067432528e-01      -1.109375944983e+01      -2.463689572377e+01       5.605122304417e-01       5.604945022787e-01 
       3.502890849470e-03      -8.516086070789e-01      -2.638667574637e+01      -2.640062572703e+01      -7.811423014010e-01      -1.157789458259e+01      -2.630850969548e+01       5.587662670677e-01       5.587483232807e-01 
       3.621902386186e-03      -8.627645525923e-01      -2.812229690764e+01      -2.813775915750e+01      -7.947071486945e-01      -1.205948790927e+01      -2.803817014220e+01       5.570069159532e-01       5.569893568994e-01 
       3.741491640682e-03      -8.563069864762e-01      -2.991564509274e+01      -2.993273361020e+01      -7.906457472287e-01      -1.253748522424e+01      -2.982530757575e+01       5.552355138378e-01       5.552189347555e-01 
       3.861612705792e-03      -8.321983647568e-01      -3.176613698297e+01      -3.178497042642e+01      -7.700694465517e-01      -1.301111464268e+01      -3.166934220531e+01       5.534534207631e-01       5.534382445207e-01 
       3.982224068664e-03      -7.957226513226e-01      -3.367317236600e+01      -3.369387575830e+01      -7.389167591235e-01      -1.347985328087e+01      -3.356968463166e+01       5.516619603883e-01       5.516483358617e-01 
       4.103288152968e-03      -7.559220043672e-01      -3.563614387723e+01      -3.565885035672e+01      -7.060923996682e-01      -1.394338670801e+01      -3.552574403054e+01       5.498624993580e-01       5.498502844366e-01 
       4.224770908425e-03      -7.229297436788e-01      -3.765443106344e+01      -3.767928500694e+01      -6.807342090035e-01      -1.440155467830e+01      -3.753692083529e+01       5.480562738929e-01       5.480450980761e-01 
