* Transition rates using the hydrogenic formulae for (n, l)-->(np, lp)
* A^He_nl n'l'=(Dnu^He / Dnu^H )^3 A^H_nl n'l'
* To obtain the j-resolve value one has
* A^He_nlj-->n'l'j'=(2j'+1)/(2l'+1)(2S'+1) A^He_nl-->n'l'
*
* Transition  Lower  Upper    Freq       Rate       Rate Hydro 
* i    (nSlJ)  (nSlJ)     Dnu (Hz)   Aul(s^-1)  Aul^H(s^-1)
54   8 1 6 7   10 1 7 8   1.8502643333e+13   2.7563244622e+04 2.7552877210e+04
55   9 1 6 5   10 1 7 6   7.7156147591e+12   2.1453766087e+04 2.1447074009e+04
56   9 1 6 5   10 1 7 7   7.7156147591e+12   2.1453766087e+04 2.1447074009e+04
57   9 1 6 5   10 1 7 8   7.7156147591e+12   2.1453766087e+04 2.1447074009e+04
58   9 1 6 6   10 1 7 6   7.7156271876e+12   2.5354573355e+04 2.5346542011e+04
59   9 1 6 6   10 1 7 7   7.7156271876e+12   2.5354573355e+04 2.5346542011e+04
60   9 1 6 6   10 1 7 8   7.7156271876e+12   2.5354573355e+04 2.5346542011e+04
61   9 1 6 7   10 1 7 6   7.7156206832e+12   2.9255202960e+04 2.9246010013e+04
62   9 1 6 7   10 1 7 7   7.7156206832e+12   2.9255202960e+04 2.9246010013e+04
63   9 1 6 7   10 1 7 8   7.7156206832e+12   2.9255202960e+04 2.9246010013e+04
64   9 1 8 7   10 1 7 6   7.7158554488e+12   6.4110485722e+01 6.4084490164e+01
65   9 1 8 7   10 1 7 7   7.7158554488e+12   6.4110485722e+01 6.4084490164e+01
66   9 1 8 7   10 1 7 8   7.7158554488e+12   6.4110485722e+01 6.4084490164e+01
67   9 1 8 8   10 1 7 6   7.7158554488e+12   7.2658550485e+01 7.2629088852e+01
68   9 1 8 8   10 1 7 7   7.7158554488e+12   7.2658550485e+01 7.2629088852e+01
69   9 1 8 8   10 1 7 8   7.7158554488e+12   7.2658550485e+01 7.2629088852e+01
70   9 1 8 9   10 1 7 6   7.7158554488e+12   8.1206615247e+01 8.1173687541e+01
71   9 1 8 9   10 1 7 7   7.7158554488e+12   8.1206615247e+01 8.1173687541e+01
72   9 1 8 9   10 1 7 8   7.7158554488e+12   8.1206615247e+01 8.1173687541e+01
73   8 1 7 6   10 1 8 7   1.8502524175e+13   1.5464171285e+04 1.5458653383e+04
74   8 1 7 6   10 1 8 8   1.8502524175e+13   1.5464171285e+04 1.5458653383e+04
75   8 1 7 6   10 1 8 9   1.8502524175e+13   1.5464171285e+04 1.5458653383e+04
76   8 1 7 7   10 1 8 7   1.8502824415e+13   1.7844143203e+04 1.7836907749e+04
77   8 1 7 7   10 1 8 8   1.8502824415e+13   1.7844143203e+04 1.7836907749e+04
78   8 1 7 7   10 1 8 9   1.8502824415e+13   1.7844143203e+04 1.7836907749e+04
79   8 1 7 8   10 1 8 7   1.8502824415e+13   2.0223362297e+04 2.0215162116e+04
80   8 1 7 8   10 1 8 8   1.8502824415e+13   2.0223362297e+04 2.0215162116e+04
81   8 1 7 8   10 1 8 9   1.8502824415e+13   2.0223362297e+04 2.0215162116e+04
82   9 1 7 6   10 1 8 7   7.7155342885e+12   2.7539964108e+04 2.7532235002e+04
83   9 1 7 6   10 1 8 8   7.7155342885e+12   2.7539964108e+04 2.7532235002e+04
84   9 1 7 6   10 1 8 9   7.7155342885e+12   2.7539964108e+04 2.7532235002e+04
85   9 1 7 7   10 1 8 7   7.7155435010e+12   3.1776995491e+04 3.1767963464e+04
86   9 1 7 7   10 1 8 8   7.7155435010e+12   3.1776995491e+04 3.1767963464e+04
87   9 1 7 7   10 1 8 9   7.7155435010e+12   3.1776995491e+04 3.1767963464e+04
88   9 1 7 8   10 1 8 7   7.7155386892e+12   3.6013860842e+04 3.6003691926e+04
89   9 1 7 8   10 1 8 8   7.7155386892e+12   3.6013860842e+04 3.6003691926e+04
90   9 1 7 8   10 1 8 9   7.7155386892e+12   3.6013860842e+04 3.6003691926e+04
91   9 1 8 7   10 1 9 8   7.7158554488e+12   3.4955309985e+04 3.4941136285e+04
92   9 1 8 7   10 1 9 9   7.7158554488e+12   3.4955309985e+04 3.4941136285e+04
93   9 1 8 7   10 1 9 10   7.7158554488e+12   3.4955309985e+04 3.4941136285e+04
94   9 1 8 8   10 1 9 8   7.7158554488e+12   3.9616017983e+04 3.9599954456e+04
95   9 1 8 8   10 1 9 9   7.7158554488e+12   3.9616017983e+04 3.9599954456e+04
96   9 1 8 8   10 1 9 10   7.7158554488e+12   3.9616017983e+04 3.9599954456e+04
97   9 1 8 9   10 1 9 8   7.7158554488e+12   4.4276725981e+04 4.4258772628e+04
98   9 1 8 9   10 1 9 9   7.7158554488e+12   4.4276725981e+04 4.4258772628e+04
99   9 1 8 9   10 1 9 10   7.7158554488e+12   4.4276725981e+04 4.4258772628e+04
