* He4 energy levels from quantum defect formulae. 
* Tables taken from Drake.
* 
* nmax =       30
* lmax =        6
* 
*  n   S   L   J            Energy [eV]  
  24   0   4   4        2.362123691537e-02
  24   0   5   5        2.362108298104e-02
  24   0   6   6        2.362103417291e-02
  25   0   0   0        2.201459166432e-02
  25   0   1   1        2.174799980729e-02
  25   0   2   2        2.177277809618e-02
  25   0   3   3        2.176986784064e-02
  25   0   4   4        2.176932306313e-02
  25   0   5   5        2.176918687194e-02
  25   0   6   6        2.176914368964e-02
  26   0   0   0        2.034492436623e-02
  26   0   1   1        2.010799553986e-02
  26   0   2   2        2.013002976005e-02
  26   0   3   3        2.012744256810e-02
  26   0   4   4        2.012695531037e-02
  26   0   5   5        2.012683423695e-02
  26   0   6   6        2.012679584805e-02
  27   0   0   0        1.885824451131e-02
  27   0   1   1        1.864674158795e-02
  27   0   2   2        1.866641753882e-02
  27   0   3   3        1.866410730979e-02
  27   0   4   4        1.866367221191e-02
  27   0   5   5        1.866356409904e-02
  27   0   6   6        1.866352981954e-02
  28   0   0   0        1.752876268066e-02
  28   0   1   1        1.733916948174e-02
  28   0   2   2        1.735681440114e-02
  28   0   3   3        1.735474297220e-02
  28   0   4   4        1.735435284729e-02
  28   0   5   5        1.735425590920e-02
  28   0   6   6        1.735422517290e-02
  29   0   0   0        1.633507090230e-02
  29   0   1   1        1.616446490549e-02
  29   0   2   2        1.618034700144e-02
  29   0   3   3        1.617848256279e-02
  29   0   4   4        1.617813142034e-02
  29   0   5   5        1.617804416854e-02
  29   0   6   6        1.617801650348e-02
  30   0   0   0        1.525928729107e-02
  30   0   1   1        1.510521559796e-02
  30   0   2   2        1.511956208417e-02
  30   0   3   3        1.511787795104e-02
  30   0   4   4        1.511756076568e-02
  30   0   5   5        1.511748195147e-02
  30   0   6   6        1.511745696173e-02
   2   1   0   1        4.534327027042e+00
   2   1   1   0        3.623666777325e+00
   2   1   1   1        3.623789394686e+00
   2   1   1   2        3.623798758450e+00
   3   1   0   1        1.866478885974e+00
   3   1   1   0        1.580496151719e+00
