# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.04437e-05 to 8.47306 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.044373177903e-05      -7.997802188885e-04      -6.000091073567e-04      -6.000091310021e-04      -7.997713939611e-04      -6.007276236466e-04      -6.000818569742e-04       5.735119625980e-01       5.732938524828e-01 
       2.330863537068e-05      -3.979143693079e-03      -2.988671088866e-03      -2.988671675386e-03      -3.978924934885e-03      -2.992073301898e-03      -2.989031452535e-03       5.735086503562e-01       5.732908864516e-01 
       3.621868663117e-05      -9.588054385455e-03      -7.216162524633e-03      -7.216165942448e-03      -9.586781087193e-03      -7.223622094513e-03      -7.217024065570e-03       5.735028139261e-01       5.732856616055e-01 
       4.920853451248e-05      -1.764653614076e-02      -1.332038251732e-02      -1.332039415567e-02      -1.764220750148e-02      -1.333214039778e-02      -1.332195007217e-02       5.734943899391e-01       5.732781182224e-01 
       6.231339980672e-05      -2.818687298129e-02      -2.135954728542e-02      -2.135957718668e-02      -2.817577623195e-02      -2.137415503983e-02      -2.136201292749e-02       5.734833041328e-01       5.732681879047e-01 
       7.556938842102e-05      -4.125304885871e-02      -3.141323100971e-02      -3.141329561659e-02      -4.122913814344e-02      -3.142690996392e-02      -3.141676925453e-02       5.734694524584e-01       5.732557741287e-01 
       8.901381464780e-05      -5.689999016038e-02      -4.358384165457e-02      -4.358396586510e-02      -5.685417284030e-02      -4.358972315797e-02      -4.358860360879e-02       5.734527049718e-01       5.732407569859e-01 
       1.026855387201e-04      -7.519253027576e-02      -5.799857031612e-02      -5.799878994937e-02      -7.511183318937e-02      -5.798577537783e-02      -5.800467640564e-02       5.734329012133e-01       5.732229880155e-01 
       1.166253229746e-04      -9.620399549667e-02      -7.481186646866e-02      -7.481223127119e-02      -9.607057618863e-02      -7.476437343078e-02      -7.481939730820e-02       5.734098437350e-01       5.732022840357e-01 
       1.308762109776e-04      -1.200142711146e-01      -9.420850781401e-02      -9.420908515209e-02      -1.198042401626e-01      -9.410374371916e-02      -9.421749266076e-02       5.733832990750e-01       5.731784280195e-01 
       1.454839339779e-04      -1.467071848040e-01      -1.164073484905e-01      -1.164082279582e-01      -1.463891845094e-01      -1.162144225406e-01      -1.164177506322e-01       5.733529924041e-01       5.731511639566e-01 
       1.604973489896e-04      -1.763669685928e-01      -1.416658499080e-01      -1.416671490783e-01      -1.759004606816e-01      -1.413433246702e-01      -1.416775481109e-01       5.733186022328e-01       5.731201915093e-01 
       1.759689126343e-04      -2.090735150445e-01      -1.702855204093e-01      -1.702873920371e-01      -2.084067236080e-01      -1.697785862992e-01      -1.702982853409e-01       5.732797555972e-01       5.730851610525e-01 
       1.919551945090e-04      -2.448960925908e-01      -2.026184139501e-01      -2.026210550506e-01      -2.439635227278e-01      -2.018552931289e-01      -2.026318782407e-01       5.732360205893e-01       5.730456662344e-01 
       2.085174331949e-04      -2.838850836378e-01      -2.390748672619e-01      -2.390785306072e-01      -2.826045362195e-01      -2.379622212015e-01      -2.390884875194e-01       5.731868996408e-01       5.730012370629e-01 
       2.257221369641e-04      -3.260612124556e-01      -2.801326839661e-01      -2.801376925913e-01      -3.243302285284e-01      -2.785497306895e-01      -2.801456925336e-01       5.731318192168e-01       5.729513292135e-01 
       2.436417296000e-04      -3.714016592511e-01      -3.263480106347e-01      -3.263547761487e-01      -3.690933385057e-01      -3.241389682646e-01      -3.263593543504e-01       5.730701214812e-01       5.728953151822e-01 
       2.623552393076e-04      -4.198225605628e-01      -3.783681798010e-01      -3.783772260170e-01      -4.167805496812e-01      -3.753325362472e-01      -3.783764428255e-01       5.730010513799e-01       5.728324706934e-01 
       2.819490251928e-04      -4.711568447831e-01      -4.369468344697e-01      -4.369588268871e-01      -4.671896964674e-01      -4.328267886341e-01      -4.369501402479e-01       5.729237443162e-01       5.727619610849e-01 
