# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       9.326212236469e+13       8.690106546382e-26       4.969479050487e-09       1.876595964320e+22       1.417360624252e+04       1.519760207375e-10       1.321860599739e+18       2.869286328878e-09       2.081614238068e+44       1.988512843847e+33       1.080360327744e+34       1.436967848720e+44       4.789892829068e+43       3.493499587214e-08       3.030326384731e+41       3.521612413301e+44       7.827848436559e-07       1.433565615564e+01 
       9.261382558559e+13       8.812193853252e-26       5.004039849155e-09       1.850596928077e+22       1.417360624252e+04       1.530398528827e-10       1.312671896464e+18       2.889371333180e-09       2.024334923495e+44       1.947331947224e+33       1.057986719693e+34       1.397427125020e+44       4.658090416733e+43       3.493499587214e-08       2.946941569679e+41       3.424708990210e+44       8.610633280215e-07       1.303241468694e+01 
       9.197003533823e+13       8.935996364696e-26       5.040419637226e-09       1.824958091845e+22       1.417360624252e+04       1.541111318529e-10       1.303547066995e+18       2.909596932512e-09       1.968631751041e+44       1.907003882029e+33       1.036076455514e+34       1.358974434592e+44       4.529914781972e+43       3.493499587214e-08       2.865851235979e+41       3.330472036992e+44       9.393418123870e-07       1.194638012970e+01 
       9.133072029615e+13       9.061538177624e-26       5.074980435893e-09       1.799674465283e+22       1.417360624252e+04       1.551899097758e-10       1.294485667323e+18       2.929964111040e-09       1.914461350357e+44       1.867510986638e+33       1.014619939636e+34       1.321579838267e+44       4.405266127557e+43       3.493499587214e-08       2.786992246900e+41       3.238828180991e+44       1.017620296753e-06       1.102742781203e+01 
       9.069584935070e+13       9.188843727481e-26       5.109541234560e-09       1.774741127187e+22       1.417360624252e+04       1.562762391443e-10       1.285487256528e+18       2.950473859817e-09       1.861781544502e+44       1.828835965191e+33       9.936077752061e+33       1.285214220707e+44       4.284047402356e+43       3.493499587214e-08       2.710303203030e+41       3.149706068530e+44       1.095898781118e-06       1.023975439688e+01 
       9.006539160943e+13       9.317937793008e-26       5.145921022631e-09       1.750153224536e+22       1.417360624252e+04       1.573701728183e-10       1.276551396751e+18       2.971127176836e-09       1.810551317112e+44       1.790961880015e+33       9.730307599754e+33       1.249849267731e+44       4.166164225771e+43       3.493499587214e-08       2.635724394471e+41       3.063036309353e+44       1.174177265484e-06       9.557104103757e+00 
       8.943931639467e+13       9.448845501062e-26       5.182300810702e-09       1.725905971542e+22       1.417360624252e+04       1.584717640280e-10       1.267677653178e+18       2.991925067073e-09       1.760730780460e+44       1.753872144203e+33       9.528798822673e+33       1.215457444277e+44       4.051524814257e+43       3.493499587214e-08       2.563197754348e+41       2.978751422604e+44       1.252455749849e-06       8.959785097272e+00 
       8.881759324197e+13       9.581592331506e-26       5.218680598773e-09       1.701994648722e+22       1.417360624252e+04       1.595810663762e-10       1.258865594020e+18       3.012868542543e-09       1.712281144399e+44       1.717550514356e+33       9.331463170318e+33       1.182011972956e+44       3.940039909853e+43       3.493499587214e-08       2.492666813600e+41       2.896785784279e+44       1.330734234215e-06       8.432738915079e+00 
       8.820019189868e+13       9.716204122171e-26       5.255060386844e-09       1.678414601979e+22       1.417360624252e+04       1.606981338408e-10       1.250114790487e+18       3.033958622340e-09       1.665164686165e+44       1.681981083465e+33       9.138214219804e+33       1.149486813207e+44       3.831622710690e+43       3.493499587214e-08       2.424076657013e+41       2.817075576137e+44       1.409012718580e-06       7.964253419797e+00 
       8.758708232243e+13       9.852707073883e-26       5.291440174915e-09       1.655161241695e+22       1.417360624252e+04       1.618230207777e-10       1.241424816769e+18       3.055196332697e-09       1.619344721000e+44       1.647148273944e+33       8.948967338012e+33       1.117856641023e+44       3.726188803409e+43       3.493499587214e-08       2.357373880462e+41       2.739558736009e+44       1.487291202946e-06       7.545082187175e+00 
       8.697823467967e+13       9.991127755564e-26       5.329638952389e-09       1.632230041837e+22       1.417360624252e+04       1.629557819231e-10       1.232795250019e+18       3.076582707025e-09       1.574785573594e+44       1.613036830811e+33       8.763639644521e+33       1.087096829230e+44       3.623656097432e+43       3.493499587214e-08       2.292506549332e+41       2.664174909476e+44       1.565569687311e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149310940e-25       5.366018740460e-09       1.609616539080e+22       1.417360624252e+04       1.640964723966e-10       1.224225670327e+18       3.098118785974e-09       1.531452550306e+44       1.579631815005e+33       8.582149975315e+33       1.057183428315e+44       3.523944761049e+43       3.493499587214e-08       2.229424158081e+41       2.590865402880e+44       1.643848171676e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383045610e-25       5.404217517935e-09       1.587316331933e+22       1.417360624252e+04       1.652451477034e-10       1.215715660702e+18       3.119805617476e-09       1.489311912151e+44       1.546918596845e+33       8.404418847237e+33       1.028093147779e+44       3.426977159264e+43       3.493499587214e-08       2.168077590915e+41       2.519573137621e+44       1.722126656042e-06       6.516207343469e+00 
       8.517696811915e+13       1.041816750017e-25       5.440597306006e-09       1.565325079886e+22       1.417360624252e+04       1.664018637373e-10       1.207264807053e+18       3.141644256798e-09       1.448330848536e+44       1.514882849619e+33       8.230368423176e+33       9.998033380031e+43       3.332677793344e+43       3.493499587214e-08       2.108419083552e+41       2.450242605720e+44       1.800405140407e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453233538e-25       5.478796083480e-09       1.543638502564e+22       1.417360624252e+04       1.675666767835e-10       1.198872698165e+18       3.163635766596e-09       1.408477451704e+44       1.483510543315e+33       8.059922477980e+33       9.722919726110e+43       3.240973242037e+43       3.493499587214e-08       2.050402186026e+41       2.382819826597e+44       1.878683624773e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295345016e-25       5.518813850358e-09       1.522252378893e+22       1.417360624252e+04       1.687396435210e-10       1.190538925686e+18       3.185781216962e-09       1.369720691902e+44       1.452787938474e+33       7.893006365077e+33       9.455376313225e+43       3.151792104408e+43       3.493499587214e-08       1.993981726525e+41       2.317252305045e+44       1.956962109138e-06       5.734262462252e+00 
       8.341300469814e+13       1.086345973318e-25       5.557012627833e-09       1.501162546280e+22       1.417360624252e+04       1.699208210256e-10       1.182263084097e+18       3.208081685480e-09       1.332030393213e+44       1.422701580172e+33       7.729546983776e+33       9.195194832743e+43       3.065064944248e+43       3.493499587214e-08       1.939113776221e+41       2.253488990355e+44       2.035240593504e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608047897e-25       5.595211405307e-09       1.480364899803e+22       1.417360624252e+04       1.711102667728e-10       1.174044770702e+18       3.230538257279e-09       1.295377210063e+44       1.393238292127e+33       7.569472747261e+33       8.942172708011e+43       2.980724236004e+43       3.493499587214e-08       1.885755615064e+41       2.191480236569e+44       2.113519077869e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084539362e-25       5.635229172185e-09       1.459855391409e+22       1.417360624252e+04       1.723080386402e-10       1.165883585603e+18       3.253152025079e-09       1.259732604377e+44       1.364385170934e+33       7.412713551232e+33       8.696112936635e+43       2.898704312212e+43       3.493499587214e-08       1.833865698523e+41       2.131177763827e+44       2.191797562235e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778460056e-25       5.673427949660e-09       1.439630029130e+22       1.417360624252e+04       1.735141949107e-10       1.157779131681e+18       3.275924089255e-09       1.225068823353e+44       1.336129580404e+33       7.259200743210e+33       8.456823937092e+43       2.818941312364e+43       3.493499587214e-08       1.783403625239e+41       2.072534620774e+44       2.270076046600e-06       4.943329708838e+00 
