# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
   70       2.685842878291e-10       4.954666918274e-14      -8.567095779200e-13       0.000000000000e+00 
   71       2.720671750669e-10       5.147760392165e-14      -9.219981469407e-13       0.000000000000e+00 
   72       2.755854962305e-10       5.343783865859e-14      -9.889495406186e-13       0.000000000000e+00 
   73       2.791389932072e-10       5.542594479889e-14      -1.057528651436e-12       0.000000000000e+00 
   74       2.827267990620e-10       5.744040563393e-14      -1.127697995306e-12       0.000000000000e+00 
   75       2.863474048611e-10       5.947961488150e-14      -1.199417706957e-12       0.000000000000e+00 
   76       2.899993223512e-10       6.154193545432e-14      -1.272646535928e-12       0.000000000000e+00 
   77       2.936832848470e-10       6.362589136450e-14      -1.347345054429e-12       0.000000000000e+00 
   78       2.974003892761e-10       6.573000832452e-14      -1.423473028785e-12       0.000000000000e+00 
   79       3.011514173262e-10       6.785275640264e-14      -1.500988486380e-12       0.000000000000e+00 
   80       3.049368165377e-10       6.999254979833e-14      -1.579847731561e-12       0.000000000000e+00 
   81       3.087566813963e-10       7.214774661762e-14      -1.660005361545e-12       0.000000000000e+00 
   82       3.126107344261e-10       7.431664864854e-14      -1.741414282324e-12       0.000000000000e+00 
   83       3.164983072817e-10       7.649750113652e-14      -1.824025724574e-12       0.000000000000e+00 
   84       3.204187079500e-10       7.868850794207e-14      -1.907788970514e-12       0.000000000000e+00 
   85       3.243724337147e-10       8.088788039311e-14      -1.992650447604e-12       0.000000000000e+00 
   86       3.283601255445e-10       8.309379615717e-14      -2.078554513069e-12       0.000000000000e+00 
   87       3.323821876284e-10       8.530438461264e-14      -2.165443740470e-12       0.000000000000e+00 
   88       3.364387749570e-10       8.751772688262e-14      -2.253258930754e-12       0.000000000000e+00 
   89       3.405297809048e-10       8.973185586893e-14      -2.341939123301e-12       0.000000000000e+00 
   90       3.446548248120e-10       9.194475628598e-14      -2.431421606974e-12       0.000000000000e+00 
   91       3.488132395662e-10       9.415436469471e-14      -2.521641931167e-12       0.000000000000e+00 
   92       3.530040591845e-10       9.635856953655e-14      -2.612533916856e-12       0.000000000000e+00 
   93       3.572263356073e-10       9.855525577702e-14      -2.704030436141e-12       0.000000000000e+00 
   94       3.614801705552e-10       1.007424464437e-13      -2.796065861016e-12       0.000000000000e+00 
   95       3.657658166255e-10       1.029181825375e-13      -2.888574005039e-12       0.000000000000e+00 
   96       3.700833541152e-10       1.050804809570e-13      -2.981487408952e-12       0.000000000000e+00 
   97       3.744326831218e-10       1.072273351451e-13      -3.074737362287e-12       0.000000000000e+00 
   98       3.788135156440e-10       1.093567157349e-13      -3.168253924955e-12       0.000000000000e+00 
   99       3.832253676828e-10       1.114665711963e-13      -3.261965948847e-12       0.000000000000e+00 
  100       3.876675513425e-10       1.135548284821e-13      -3.355801099436e-12       0.000000000000e+00 
  101       3.921391669317e-10       1.156193936745e-13      -3.449685877364e-12       0.000000000000e+00 
  102       3.966390950636e-10       1.176581526311e-13      -3.543545640052e-12       0.000000000000e+00 
  103       4.011659887580e-10       1.196689716312e-13      -3.637304623289e-12       0.000000000000e+00 
  104       4.057185605887e-10       1.216497450897e-13      -3.730886643562e-12       0.000000000000e+00 
  105       4.102965053197e-10       1.235985446469e-13      -3.824217266582e-12       0.000000000000e+00 
  106       4.148996877583e-10       1.255134915168e-13      -3.917221973324e-12       0.000000000000e+00 
  107       4.195278542361e-10       1.273927123681e-13      -4.009825534178e-12       0.000000000000e+00 
  108       4.241806279530e-10       1.292343404873e-13      -4.101952038033e-12       0.000000000000e+00 
  109       4.288575043198e-10       1.310365169424e-13      -4.193524921350e-12       0.000000000000e+00 
  110       4.335578463017e-10       1.327973917464e-13      -4.284466997241e-12       0.000000000000e+00 
  111       4.382808797613e-10       1.345151250207e-13      -4.374700484550e-12       0.000000000000e+00 
  112       4.430256888020e-10       1.361878881589e-13      -4.464147036930e-12       0.000000000000e+00 
  113       4.477912111111e-10       1.378138649898e-13      -4.552727771918e-12       0.000000000000e+00 
  114       4.525762333031e-10       1.393912529412e-13      -4.640363300018e-12       0.000000000000e+00 
  115       4.573793862628e-10       1.409182642036e-13      -4.726973753776e-12       0.000000000000e+00 
  116       4.621993331009e-10       1.423931743456e-13      -4.812479503615e-12       0.000000000000e+00 
  117       4.670353689017e-10       1.438144723800e-13      -4.896803341914e-12       0.000000000000e+00 
  118       4.718868854881e-10       1.451807312127e-13      -4.979868620311e-12       0.000000000000e+00 
  119       4.767531824119e-10       1.464905633890e-13      -5.061598621476e-12       0.000000000000e+00 
  120       4.816334640004e-10       1.477426226765e-13      -5.141916594262e-12       0.000000000000e+00 
  121       4.865268364024e-10       1.489356056486e-13      -5.220745788854e-12       0.000000000000e+00 
  122       4.914323046345e-10       1.500682532667e-13      -5.298009491919e-12       0.000000000000e+00 
  123       4.963487696273e-10       1.511393524642e-13      -5.373631061757e-12       0.000000000000e+00 
  124       5.012750252717e-10       1.521477377290e-13      -5.447533963452e-12       0.000000000000e+00 
  125       5.062097554651e-10       1.530922926868e-13      -5.519641804022e-12       0.000000000000e+00 
  126       5.111515311574e-10       1.539719516839e-13      -5.589878367567e-12       0.000000000000e+00 
  127       5.160988073978e-10       1.547857013705e-13      -5.658167650422e-12       0.000000000000e+00 
  128       5.210499203805e-10       1.555325822839e-13      -5.724433896305e-12       0.000000000000e+00 
  129       5.260032618416e-10       1.562117270738e-13      -5.788602377738e-12       0.000000000000e+00 
  130       5.309578301535e-10       1.568224765587e-13      -5.850601762544e-12       0.000000000000e+00 
  131       5.359127343860e-10       1.573642794520e-13      -5.910362074597e-12       0.000000000000e+00 
  132       5.408670207063e-10       1.578366586881e-13      -5.967814010906e-12       0.000000000000e+00 
  133       5.458196706946e-10       1.582392132670e-13      -6.022888982116e-12       0.000000000000e+00 
  134       5.507695996594e-10       1.585716201003e-13      -6.075519152993e-12       0.000000000000e+00 
  135       5.557156549527e-10       1.588336358559e-13      -6.125637482915e-12       0.000000000000e+00 
  136       5.606566142853e-10       1.590250988038e-13      -6.173177766364e-12       0.000000000000e+00 
  137       5.655911840422e-10       1.591459306608e-13      -6.218074673413e-12       0.000000000000e+00 
  138       5.705179975978e-10       1.591961384360e-13      -6.260263790221e-12       0.000000000000e+00 
  139       5.754356136312e-10       1.591758162763e-13      -6.299681659518e-12       0.000000000000e+00 
  140       5.803425144413e-10       1.590851473113e-13      -6.336265821099e-12       0.000000000000e+00 
  141       5.852371042625e-10       1.589244054988e-13      -6.369954852313e-12       0.000000000000e+00 
  142       5.901177075797e-10       1.586939574700e-13      -6.400688408553e-12       0.000000000000e+00 
  143       5.949825674437e-10       1.583942643746e-13      -6.428407263748e-12       0.000000000000e+00 
  144       5.998299857435e-10       1.580258895059e-13      -6.453053810645e-12       0.000000000000e+00 
