Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
You are working in Slatyer et al. Formalism. 
pann(600)= 3.921510e-06
f_halo= 1.612549e-02
3.815210e-01 6.358684e-06 9.938000e+03 
3.815190e-01 6.358650e-06 9.937500e+03 
3.815170e-01 6.358616e-06 9.937000e+03 
3.815149e-01 6.358582e-06 9.936500e+03 
3.815129e-01 6.358548e-06 9.936000e+03 
3.815108e-01 6.358514e-06 9.935500e+03 
3.815088e-01 6.358480e-06 9.935000e+03 
3.815067e-01 6.358446e-06 9.934500e+03 
3.815047e-01 6.358412e-06 9.934000e+03 
3.815027e-01 6.358378e-06 9.933500e+03 
3.815006e-01 6.358344e-06 9.933000e+03 
3.814986e-01 6.358310e-06 9.932500e+03 
3.814965e-01 6.358275e-06 9.932000e+03 
3.814945e-01 6.358241e-06 9.931500e+03 
3.814924e-01 6.358207e-06 9.931000e+03 
3.814904e-01 6.358173e-06 9.930500e+03 
3.814884e-01 6.358139e-06 9.930000e+03 
3.814863e-01 6.358105e-06 9.929500e+03 
3.814843e-01 6.358071e-06 9.929000e+03 
3.814822e-01 6.358037e-06 9.928500e+03 
3.814802e-01 6.358003e-06 9.928000e+03 
3.814781e-01 6.357969e-06 9.927500e+03 
3.814761e-01 6.357935e-06 9.927000e+03 
3.814740e-01 6.357901e-06 9.926500e+03 
3.814720e-01 6.357867e-06 9.926000e+03 
3.814700e-01 6.357833e-06 9.925500e+03 
3.814679e-01 6.357798e-06 9.925000e+03 
3.814659e-01 6.357764e-06 9.924500e+03 
3.814638e-01 6.357730e-06 9.924000e+03 
3.814618e-01 6.357696e-06 9.923500e+03 
3.814597e-01 6.357662e-06 9.923000e+03 
3.814577e-01 6.357628e-06 9.922500e+03 
3.814556e-01 6.357594e-06 9.922000e+03 
3.814536e-01 6.357560e-06 9.921500e+03 
3.814515e-01 6.357526e-06 9.921000e+03 
3.814495e-01 6.357492e-06 9.920500e+03 
3.814475e-01 6.357458e-06 9.920000e+03 
3.814454e-01 6.357423e-06 9.919500e+03 
3.814434e-01 6.357389e-06 9.919000e+03 
3.814413e-01 6.357355e-06 9.918500e+03 
3.814393e-01 6.357321e-06 9.918000e+03 
3.814372e-01 6.357287e-06 9.917500e+03 
3.814352e-01 6.357253e-06 9.917000e+03 
3.814331e-01 6.357219e-06 9.916500e+03 
3.814311e-01 6.357185e-06 9.916000e+03 
3.814290e-01 6.357151e-06 9.915500e+03 
3.814270e-01 6.357116e-06 9.915000e+03 
3.814249e-01 6.357082e-06 9.914500e+03 
3.814229e-01 6.357048e-06 9.914000e+03 
3.814208e-01 6.357014e-06 9.913500e+03 
3.814188e-01 6.356980e-06 9.913000e+03 
3.814168e-01 6.356946e-06 9.912500e+03 
3.814147e-01 6.356912e-06 9.912000e+03 
3.814127e-01 6.356878e-06 9.911500e+03 
3.814106e-01 6.356843e-06 9.911000e+03 
3.814086e-01 6.356809e-06 9.910500e+03 
3.814065e-01 6.356775e-06 9.910000e+03 
3.814045e-01 6.356741e-06 9.909500e+03 
3.814024e-01 6.356707e-06 9.909000e+03 
3.814004e-01 6.356673e-06 9.908500e+03 
3.813983e-01 6.356639e-06 9.908000e+03 
3.813963e-01 6.356604e-06 9.907500e+03 
3.813942e-01 6.356570e-06 9.907000e+03 
3.813922e-01 6.356536e-06 9.906500e+03 
3.813901e-01 6.356502e-06 9.906000e+03 
3.813881e-01 6.356468e-06 9.905500e+03 
3.813860e-01 6.356434e-06 9.905000e+03 
3.813840e-01 6.356400e-06 9.904500e+03 
3.813819e-01 6.356365e-06 9.904000e+03 
3.813799e-01 6.356331e-06 9.903500e+03 
3.813778e-01 6.356297e-06 9.903000e+03 
3.813758e-01 6.356263e-06 9.902500e+03 
3.813737e-01 6.356229e-06 9.902000e+03 
3.813717e-01 6.356195e-06 9.901500e+03 
3.813696e-01 6.356160e-06 9.901000e+03 
3.813676e-01 6.356126e-06 9.900500e+03 
3.813655e-01 6.356092e-06 9.900000e+03 
3.813635e-01 6.356058e-06 9.899500e+03 
3.813614e-01 6.356024e-06 9.899000e+03 
3.813594e-01 6.355990e-06 9.898500e+03 
3.813573e-01 6.355955e-06 9.898000e+03 
3.813553e-01 6.355921e-06 9.897500e+03 
3.813532e-01 6.355887e-06 9.897000e+03 
3.813512e-01 6.355853e-06 9.896500e+03 
3.813491e-01 6.355819e-06 9.896000e+03 
3.813471e-01 6.355785e-06 9.895500e+03 
3.813450e-01 6.355750e-06 9.895000e+03 
3.813430e-01 6.355716e-06 9.894500e+03 
3.813409e-01 6.355682e-06 9.894000e+03 
3.813389e-01 6.355648e-06 9.893500e+03 
3.813368e-01 6.355614e-06 9.893000e+03 
3.813348e-01 6.355579e-06 9.892500e+03 
3.813327e-01 6.355545e-06 9.892000e+03 
3.813307e-01 6.355511e-06 9.891500e+03 
3.813286e-01 6.355477e-06 9.891000e+03 
3.813266e-01 6.355443e-06 9.890500e+03 
3.813245e-01 6.355408e-06 9.890000e+03 
3.813224e-01 6.355374e-06 9.889500e+03 
3.813204e-01 6.355340e-06 9.889000e+03 
3.813183e-01 6.355306e-06 9.888500e+03 
3.813163e-01 6.355272e-06 9.888000e+03 
3.813142e-01 6.355237e-06 9.887500e+03 
3.813122e-01 6.355203e-06 9.887000e+03 
3.813101e-01 6.355169e-06 9.886500e+03 
3.813081e-01 6.355135e-06 9.886000e+03 
3.813060e-01 6.355100e-06 9.885500e+03 
3.813040e-01 6.355066e-06 9.885000e+03 
3.813019e-01 6.355032e-06 9.884500e+03 
3.812999e-01 6.354998e-06 9.884000e+03 
3.812978e-01 6.354964e-06 9.883500e+03 
3.812958e-01 6.354929e-06 9.883000e+03 
3.812937e-01 6.354895e-06 9.882500e+03 
3.812917e-01 6.354861e-06 9.882000e+03 
3.812896e-01 6.354827e-06 9.881500e+03 
3.812875e-01 6.354792e-06 9.881000e+03 
3.812855e-01 6.354758e-06 9.880500e+03 
3.812834e-01 6.354724e-06 9.880000e+03 
3.812814e-01 6.354690e-06 9.879500e+03 
3.812793e-01 6.354655e-06 9.879000e+03 
3.812773e-01 6.354621e-06 9.878500e+03 
3.812752e-01 6.354587e-06 9.878000e+03 
3.812732e-01 6.354553e-06 9.877500e+03 
3.812711e-01 6.354518e-06 9.877000e+03 
3.812690e-01 6.354484e-06 9.876500e+03 
3.812670e-01 6.354450e-06 9.876000e+03 
3.812649e-01 6.354416e-06 9.875500e+03 
3.812629e-01 6.354381e-06 9.875000e+03 
3.812608e-01 6.354347e-06 9.874500e+03 
3.812588e-01 6.354313e-06 9.874000e+03 
3.812567e-01 6.354279e-06 9.873500e+03 
3.812547e-01 6.354244e-06 9.873000e+03 
3.812526e-01 6.354210e-06 9.872500e+03 
3.812505e-01 6.354176e-06 9.872000e+03 
3.812485e-01 6.354142e-06 9.871500e+03 
3.812464e-01 6.354107e-06 9.871000e+03 
3.812444e-01 6.354073e-06 9.870500e+03 
3.812423e-01 6.354039e-06 9.870000e+03 
3.812403e-01 6.354004e-06 9.869500e+03 
3.812382e-01 6.353970e-06 9.869000e+03 
3.812362e-01 6.353936e-06 9.868500e+03 
3.812341e-01 6.353902e-06 9.868000e+03 
3.812320e-01 6.353867e-06 9.867500e+03 
3.812300e-01 6.353833e-06 9.867000e+03 
3.812279e-01 6.353799e-06 9.866500e+03 
3.812259e-01 6.353764e-06 9.866000e+03 
3.812238e-01 6.353730e-06 9.865500e+03 
3.812218e-01 6.353696e-06 9.865000e+03 
3.812197e-01 6.353662e-06 9.864500e+03 
3.812176e-01 6.353627e-06 9.864000e+03 
3.812156e-01 6.353593e-06 9.863500e+03 
3.812135e-01 6.353559e-06 9.863000e+03 
3.812115e-01 6.353524e-06 9.862500e+03 
3.812094e-01 6.353490e-06 9.862000e+03 
3.812073e-01 6.353456e-06 9.861500e+03 
3.812053e-01 6.353421e-06 9.861000e+03 
3.812032e-01 6.353387e-06 9.860500e+03 
3.812012e-01 6.353353e-06 9.860000e+03 
3.811991e-01 6.353319e-06 9.859500e+03 
3.811971e-01 6.353284e-06 9.859000e+03 
3.811950e-01 6.353250e-06 9.858500e+03 
3.811929e-01 6.353216e-06 9.858000e+03 
3.811909e-01 6.353181e-06 9.857500e+03 
3.811888e-01 6.353147e-06 9.857000e+03 
3.811868e-01 6.353113e-06 9.856500e+03 
3.811847e-01 6.353078e-06 9.856000e+03 
3.811826e-01 6.353044e-06 9.855500e+03 
3.811806e-01 6.353010e-06 9.855000e+03 
3.811785e-01 6.352975e-06 9.854500e+03 
3.811765e-01 6.352941e-06 9.854000e+03 
3.811744e-01 6.352907e-06 9.853500e+03 
3.811723e-01 6.352872e-06 9.853000e+03 
3.811703e-01 6.352838e-06 9.852500e+03 
3.811682e-01 6.352804e-06 9.852000e+03 
3.811662e-01 6.352769e-06 9.851500e+03 
3.811641e-01 6.352735e-06 9.851000e+03 
3.811620e-01 6.352701e-06 9.850500e+03 
3.811600e-01 6.352666e-06 9.850000e+03 
3.811579e-01 6.352632e-06 9.849500e+03 
3.811559e-01 6.352598e-06 9.849000e+03 
3.811538e-01 6.352563e-06 9.848500e+03 
3.811517e-01 6.352529e-06 9.848000e+03 
3.811497e-01 6.352495e-06 9.847500e+03 
3.811476e-01 6.352460e-06 9.847000e+03 
3.811456e-01 6.352426e-06 9.846500e+03 
3.811435e-01 6.352391e-06 9.846000e+03 
3.811414e-01 6.352357e-06 9.845500e+03 
3.811394e-01 6.352323e-06 9.845000e+03 
3.811373e-01 6.352288e-06 9.844500e+03 
3.811352e-01 6.352254e-06 9.844000e+03 
3.811332e-01 6.352220e-06 9.843500e+03 
3.811311e-01 6.352185e-06 9.843000e+03 
3.811291e-01 6.352151e-06 9.842500e+03 
3.811270e-01 6.352117e-06 9.842000e+03 
3.811249e-01 6.352082e-06 9.841500e+03 
3.811229e-01 6.352048e-06 9.841000e+03 
3.811208e-01 6.352013e-06 9.840500e+03 
3.811187e-01 6.351979e-06 9.840000e+03 
3.811167e-01 6.351945e-06 9.839500e+03 
3.811146e-01 6.351910e-06 9.839000e+03 
3.811126e-01 6.351876e-06 9.838500e+03 
3.811105e-01 6.351842e-06 9.838000e+03 
3.811084e-01 6.351807e-06 9.837500e+03 
3.811064e-01 6.351773e-06 9.837000e+03 
3.811043e-01 6.351738e-06 9.836500e+03 
3.811022e-01 6.351704e-06 9.836000e+03 
3.811002e-01 6.351670e-06 9.835500e+03 
3.810981e-01 6.351635e-06 9.835000e+03 
3.810960e-01 6.351601e-06 9.834500e+03 
3.810940e-01 6.351566e-06 9.834000e+03 
3.810919e-01 6.351532e-06 9.833500e+03 
3.810899e-01 6.351498e-06 9.833000e+03 
3.810878e-01 6.351463e-06 9.832500e+03 
3.810857e-01 6.351429e-06 9.832000e+03 
3.810837e-01 6.351394e-06 9.831500e+03 
3.810816e-01 6.351360e-06 9.831000e+03 
3.810795e-01 6.351325e-06 9.830500e+03 
3.810775e-01 6.351291e-06 9.830000e+03 
3.810754e-01 6.351257e-06 9.829500e+03 
3.810733e-01 6.351222e-06 9.829000e+03 
3.810713e-01 6.351188e-06 9.828500e+03 
3.810692e-01 6.351153e-06 9.828000e+03 
3.810671e-01 6.351119e-06 9.827500e+03 
3.810651e-01 6.351085e-06 9.827000e+03 
3.810630e-01 6.351050e-06 9.826500e+03 
3.810609e-01 6.351016e-06 9.826000e+03 
3.810589e-01 6.350981e-06 9.825500e+03 
3.810568e-01 6.350947e-06 9.825000e+03 
3.810547e-01 6.350912e-06 9.824500e+03 
3.810527e-01 6.350878e-06 9.824000e+03 
3.810506e-01 6.350844e-06 9.823500e+03 
3.810485e-01 6.350809e-06 9.823000e+03 
3.810465e-01 6.350775e-06 9.822500e+03 
3.810444e-01 6.350740e-06 9.822000e+03 
3.810423e-01 6.350706e-06 9.821500e+03 
3.810403e-01 6.350671e-06 9.821000e+03 
3.810382e-01 6.350637e-06 9.820500e+03 
3.810361e-01 6.350602e-06 9.820000e+03 
3.810341e-01 6.350568e-06 9.819500e+03 
3.810320e-01 6.350533e-06 9.819000e+03 
3.810299e-01 6.350499e-06 9.818500e+03 
3.810279e-01 6.350465e-06 9.818000e+03 
3.810258e-01 6.350430e-06 9.817500e+03 
3.810237e-01 6.350396e-06 9.817000e+03 
3.810217e-01 6.350361e-06 9.816500e+03 
3.810196e-01 6.350327e-06 9.816000e+03 
3.810175e-01 6.350292e-06 9.815500e+03 
3.810155e-01 6.350258e-06 9.815000e+03 
3.810134e-01 6.350223e-06 9.814500e+03 
3.810113e-01 6.350189e-06 9.814000e+03 
3.810093e-01 6.350154e-06 9.813500e+03 
3.810072e-01 6.350120e-06 9.813000e+03 
3.810051e-01 6.350085e-06 9.812500e+03 
3.810031e-01 6.350051e-06 9.812000e+03 
3.810010e-01 6.350016e-06 9.811500e+03 
3.809989e-01 6.349982e-06 9.811000e+03 
3.809969e-01 6.349948e-06 9.810500e+03 
3.809948e-01 6.349913e-06 9.810000e+03 
3.809927e-01 6.349879e-06 9.809500e+03 
3.809906e-01 6.349844e-06 9.809000e+03 
3.809886e-01 6.349810e-06 9.808500e+03 
3.809865e-01 6.349775e-06 9.808000e+03 
3.809844e-01 6.349741e-06 9.807500e+03 
3.809824e-01 6.349706e-06 9.807000e+03 
3.809803e-01 6.349672e-06 9.806500e+03 
3.809782e-01 6.349637e-06 9.806000e+03 
3.809762e-01 6.349603e-06 9.805500e+03 
3.809741e-01 6.349568e-06 9.805000e+03 
3.809720e-01 6.349534e-06 9.804500e+03 
3.809699e-01 6.349499e-06 9.804000e+03 
3.809679e-01 6.349465e-06 9.803500e+03 
3.809658e-01 6.349430e-06 9.803000e+03 
3.809637e-01 6.349396e-06 9.802500e+03 
3.809617e-01 6.349361e-06 9.802000e+03 
3.809596e-01 6.349326e-06 9.801500e+03 
3.809575e-01 6.349292e-06 9.801000e+03 
3.809554e-01 6.349257e-06 9.800500e+03 
3.809534e-01 6.349223e-06 9.800000e+03 
3.809513e-01 6.349188e-06 9.799500e+03 
3.809492e-01 6.349154e-06 9.799000e+03 
3.809472e-01 6.349119e-06 9.798500e+03 
3.809451e-01 6.349085e-06 9.798000e+03 
3.809430e-01 6.349050e-06 9.797500e+03 
3.809409e-01 6.349016e-06 9.797000e+03 
3.809389e-01 6.348981e-06 9.796500e+03 
